term_str,0,1,2,3,4
a,-0.0052900215314250175,-0.0023173565594492044,-0.0009515181058807281,0.0032983434175005498,0.002314084283941346
a',-0.005549158787984955,-0.003715807633594027,-0.007198890065625356,-0.002230694439203804,0.0015221226133469905
ab'aj,0.004501154380265759,-0.0015426731859203686,0.0009186790962204338,-2.575830890675569e-05,-0.0001317346738244117
achij,0.0012038600505558438,0.007233831404739782,0.0021432163113553155,-0.0002916831310966767,-0.0014209053424144712
achijab',0.0008313253082581477,0.0006863236222724715,-0.0008746271012741489,-0.00018362254726931462,-0.0007832376850882529
ah,0.004554743065142217,-0.002218015094009901,0.0001304277580205008,-0.0001486319760957335,-0.00031071361931348266
aj,0.03805529105477534,0.03232059451732373,0.025108061056290387,-0.02324467210548154,0.008934814942061758
ajal,-0.011589144190892178,0.005628085642474646,-0.008735607818406639,-0.00929926261553459,-0.01795396490872858
ajam,-0.0013566668188662587,-0.0013852491125043802,0.00691987242991896,-0.005349166824029683,-0.005053572659039354
ajaw,0.010172855960056374,0.06839693221190678,-0.03047039663900276,0.019131415102600628,-0.006028814922036928
ajawab',0.005661688421522282,0.049095496699816596,-0.033171794433202624,0.000685990652449538,-0.005066947959145357
ajawarem,0.010510558814554588,0.01680260710523379,-0.002790052819060744,0.003638401252547436,0.002092861325555346
ajilan,0.00043161055613891343,-0.004350750417786411,-0.0007037525622973975,-0.0026424254880159444,0.004208842985797174
akarok,0.004650148248584906,-0.002468714810750994,-9.0960358390519e-05,-0.0004489492329424033,-0.002075484798557984
akul,0.002895601557690724,0.0009852961417830277,0.0003238101836085867,5.064906553643566e-06,-0.0010120256500106622
akutek,0.004212001818809373,0.0010887998103120016,-0.0017600901021074897,0.0010549699361867104,0.0003255693106758789
al,-0.0009712257977996202,0.0033909957098914555,0.005955878402079812,0.004356398536939433,-5.306342140552432e-06
alom,0.003935249113724339,-0.0013148909499398286,0.019868196377089586,-0.01140946653938005,-0.006510221579318163
amaq',0.06094932143141118,-0.01597379559044536,-0.022635953259937367,0.008953578570253803,0.008691723221472913
amaq'el,0.0015155504852980319,-0.00236680100456568,0.0015367431038162784,-0.0009049591321366048,-0.0005407148747666307
anim,-0.002343381884104176,0.00021297202170807896,0.0005416686899557998,0.0008536385877524729,0.0027069866698618073
apa,-0.006560300914309196,-0.004814048931096252,-0.005241051615178497,0.0030821852075159817,0.0015328431608128182
apanoq,-0.004751458538500509,-0.001015484690363799,-0.00013017362356264285,-0.0016104156312597275,1.973206405137005e-05
aponoq,-0.0008391362969501267,4.6978199784916005e-06,-0.0028227530768978764,0.0008057344701403286,-0.0030656520165131826
aq,-0.0025517551685616613,-0.00044401268258028605,0.003322132368372327,-0.0014796207108253205,0.001771022129299374
aq'ab',0.027653536583430862,-0.024752324858733916,-0.010043174519688254,0.0006796248992967121,-0.006766051881934562
aq'ab'al,0.0015922693258640533,-0.002091216483608253,0.005899487164334288,-0.0013123320097557247,-0.0020070912669172027
aq'anoq,-0.007000892548359344,-0.0014676839106031112,-0.0010912061554343795,0.00044029752131316557,0.0042274766756282755
are,0.017887107564068243,-0.01275366821493361,-0.0070242712552338726,0.004829031720938463,-0.0003441550320951005
at,0.0004976931451476141,0.0019336497060958348,0.014535486796352186,-0.0006736611015550903,-0.0047344417389481395
ati't,-0.02092247139149894,-0.0014366848755674115,0.0037682338441384976,-0.0021443713673937365,0.017518990716030868
awe,0.004438007047093993,0.007970053683657004,0.0013993352619214646,-0.00017878122764934147,0.0005229341504233298
awilix,0.020791600524608607,-0.010936773284057556,-0.008730354328394866,0.0014294771231310487,0.006946493496825877
awumal,-0.002263579928677488,-0.0009161759498614325,0.0015390579464423504,0.00370843588718951,0.001295086075175397
b'a,-0.02855061760778723,-0.011957925740638087,-0.019738223010559403,0.004201461354333753,-0.00554059053525336
