topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, alom, k'ajolom, tz'aqol, b'itol, xpiyakok, tz'aq, chawaxoq, q'ukumatz, saqil",b'it,0
B,7,"q'apojib', k'ul, sita'l, wonon, amaq', tojil, xpuch', xtaj, ch'ab', pokob'",q'apojib',5
C,4,"sipakna, kab'raqan, kaqix, k'ajolab', much', o', tap, lal, kab'al, jul",sipakna,6
D,6,"q'apoj, kame, ajal, tukur, b'atz', chowen, ch'ami'ya, kuchuma, xkik', echa'",q'apoj,15
E,1,"kame, xpeq, chaj, xib'alb'a, samajel, xajoj, kaqaj, uk', k'ajolab', sotz'",kame,17
F,5,"kati't, qati't, chowen, b'atz', iwati't, je', kochoch, su', tze', xa'n",kati't,24
G,0,"amaq', b'alam, tulan, tojil, ik'i, kitze, jaq'awitz, tamub', majukutaj, xawi",amaq',43
H,2,"q'alel, pop, ajawarem, k'iq'ab', le', ismachi', tuja, k'iche', tzik', tinamit",q'alel,69
