doc_id,A,B,C,D,E,F,G,H
0,1.088127242435632,1.3134942774525982,1.3241882834752425,1.3246701550565503,1.3214428726343455,1.3152197912628578,1.318830207248285,1.292325713189925
1,1.0707912712515981,1.3133812989818443,1.3388901270951754,1.3369495348723468,1.330332895117716,1.301916503831381,1.3309824610837746,1.3093041470982618
2,1.1035397744726603,1.3046159050984216,1.3404755800662282,1.3103246324670135,1.272902339449277,1.311446215725618,1.3219105929231378,1.3477650090052675
3,1.058996350762634,1.3164621345007843,1.3401351326577797,1.3197044941364808,1.2935627987623028,1.3140578422886073,1.3141993422428961,1.3056032257544137
4,1.043278113592033,1.2936701002488926,1.3091899796580486,1.3162182055634346,1.2812717522450294,1.2923732035638456,1.3076933054321778,1.310108640875827
5,1.1197188575275305,1.300634612614524,1.3058337442145056,1.2913568944926077,1.2676987034062108,1.2822821405167306,1.3004717108925055,1.3189108364385977
6,1.2575602221360838,1.0748298236157519,1.304901234553836,1.3113255251521285,1.3275093393823607,1.2999061737716404,1.3177981630192492,1.3157022158496632
7,1.3378532263405218,1.0014041625630783,1.288595903406672,1.3027937318914633,1.3105397020303169,1.3328432565253316,1.3482474757668557,1.360899012748636
8,1.329932561100135,1.0878188277317296,1.2579702430562347,1.273562379386402,1.28722540220747,1.341232509911337,1.334840561056862,1.3203279463844684
9,1.3114002540361203,0.9908320055507611,1.2887016207603874,1.2847873227895108,1.290447318434263,1.3408545147988282,1.3347880452366694,1.351080840021992
10,1.3313563168904572,1.0996553756806344,1.3227777077734042,1.314259118720683,1.305055117344436,1.3429195176279827,1.3548266754292706,1.3695864481027609
11,1.349037182175658,1.0531160943172682,1.3364396005701793,1.3087743150110958,1.3225822574425619,1.3461869713400039,1.344431392345112,1.3648354271294207
12,1.3201153284743954,1.018121874410541,1.2701662964740512,1.267917012207829,1.2784520612359542,1.3245695326859859,1.3291613802454458,1.347693391799986
13,1.2664430281387602,1.0672588800544993,1.2806788204697812,1.2666887574561103,1.2476564491274906,1.2807607481756604,1.2878660557977029,1.3075987759981234
14,1.2796543886369047,1.0631594209731765,1.264631629015123,1.282013770134384,1.2340542202579032,1.316587258435509,1.3142378575383353,1.3283843477088237
15,1.2978864267789423,1.320232696206964,1.0544687681161233,1.2593683783858218,1.2768990092505503,1.337174121433956,1.3150829130621142,1.282671057344043
16,1.3566549224104625,1.3071934379670216,1.0603433668841564,1.261137791135921,1.301678968321133,1.3546632563593293,1.352934790600973,1.3337473859960178
17,1.3274881345493617,1.2957157927683052,1.2432922682808623,1.13575488721712,1.2597593601552781,1.3191944034336676,1.3195965250452948,1.3301618168849814
18,1.336610055084832,1.3541998600598113,1.303033743486683,1.180878746464261,1.3209805957160201,1.3216039001032478,1.3420575776824741,1.3138376696451646
19,1.3238199536698125,1.2701243713054298,1.0179739061670903,1.2108801048120457,1.2613421105933598,1.3242520864409058,1.3383755051531743,1.3205410234218882
20,1.307664203535911,1.2691736885456653,1.0080455832344664,1.2671276074218587,1.2913705663071662,1.3376309824472061,1.3109398771709002,1.298145768828922
21,1.3137143407444318,1.2853783111012005,1.0493934420300288,1.2598059188792794,1.2726650400271895,1.3248215919748385,1.325590123062463,1.3344773616806327
22,1.3291862251316335,1.2559422728629448,1.0257656218250875,1.2485201544480287,1.195701648004764,1.313300290854344,1.326476753896535,1.3232724960279836
23,1.3288989622585974,1.3111941110535483,1.0838607663365494,1.3101227300371237,1.2741807361007236,1.3372499108450873,1.3447244270632317,1.3514801419055793
24,1.3064104666938956,1.2877434884750767,1.2454139243747109,1.2825333085406483,0.9199034312874617,1.3132836552985936,1.3113684214264716,1.3221249232796473
25,1.2920168673059125,1.264915148921245,1.2659631196144958,1.2474804134060895,0.8643799508071666,1.302366156646738,1.3038619918638485,1.3468457294114822
26,1.289162554798287,1.3137108293190876,1.279789925503291,1.280307421588503,0.8797509702777262,1.3302509534296294,1.3204165415336073,1.3306612684421462
27,1.3023316712218844,1.2919073659772728,1.3035029111920144,1.2676037875287756,0.9056812833013288,1.3095029937689722,1.3082124755686346,1.3363729955933865
28,1.3009041903644476,1.2686214967746545,1.2765243045429018,1.1675272804675347,1.2152478776974616,1.2798080940909617,1.2928881852301168,1.3208644037520847
29,1.3151594147454162,1.2881242047866275,1.2684318007503321,1.234666279148937,0.9461130885157273,1.3127889453088326,1.316001585935312,1.328915420794164
30,1.3455021587942964,1.3011293792651162,1.245578588630496,1.1334427815599024,1.2557753774217157,1.3336076842167484,1.3345346001754443,1.346532476369389
31,1.3542560264229615,1.30467603149307,1.313248172219153,1.217133916219061,1.3184213498088444,1.3492232827937236,1.359654974576083,1.3712500534711038
32,1.312472933317585,1.3007735865791001,1.2876726080210728,1.1440809077769964,1.2168942339973263,1.3152438667057518,1.3073243181788312,1.3289219134344379
33,1.3558010917215864,1.3050838274724874,1.0775570636463172,1.2853151831302168,1.307124611690864,1.356574660614956,1.3566715754784193,1.378734392711735
34,1.3285066981995972,1.283887317200863,1.2151286241184285,1.1162874367814855,1.2698208621278009,1.3097852165833712,1.3159283169510614,1.3234531540412153
35,1.331752661042373,1.2487572390349324,1.278467065704709,1.1102221002340265,1.2684361966489495,1.323908690860596,1.3230310670284007,1.3610210759430024
