chap_num,B,C,E,D,A
1,1.8906650875857917e-37,2.3135775103445613e-42,1.23716459815186e-48,4.776103583833589e-40,0.015090596309194234
2,0.012066179568243705,0.011989460055324896,0.0011073852449335207,0.0008920747857609764,0.0008278540796045967
3,0.011582523150744529,0.01181084893698517,0.0003810365553946371,0.0005223456484172985,0.000555486113248578
4,0.008343551466630399,0.014277997600684387,0.0003837256341781056,0.0004008653961737592,0.0009460722918062704
5,0.008186434453003294,0.014688531857218315,0.00027594211058834886,0.0008263810927491488,1.133473905728766e-05
6,0.018215754732302192,0.004802168659917443,0.00046083559349232765,0.0009763387202456625,0.0007740420420597038
7,0.018807106519739557,0.0031268888906096294,0.0007699558375436535,0.0007110144949188368,0.0008210107526579609
8,0.008122973334047007,0.01361194682435141,6.702381826866418e-05,0.00011052800259868937,8.045220038181786e-09
9,0.00421588445222491,0.015933203544073564,0.0008791500255207001,0.0006372646162879309,0.0008274225911721046
10,0.01835586738499261,0.00368723721844947,0.0006265936485927343,0.0005965849739812328,0.0013093221013071197
11,0.01901317635943284,0.003555401542167832,0.0003160844356130265,7.265511004821544e-06,0.0005129083184157242
12,0.017049925301099944,0.0028407873695567385,7.630815079867937e-05,0.0003544978460698618,0.0007129530161962478
13,0.016734369674143844,0.004452155793890497,0.0002850580309341383,0.0022902186961760553,1.8355304895863202e-09
14,0.019033769990759983,0.00324034239436284,0.0003199292489742654,0.0003272833053756892,9.27467865523929e-09
15,0.019282556712648904,7.779410986681323e-08,8.917698447220439e-07,0.00019154973400903607,0.0005101325452257042
16,0.014085137048965747,0.005971588117675877,0.0008644883193088092,0.0022237346055641303,0.0007719510322678613
17,0.018263748859696234,0.002518337680759914,0.002521713952538083,0.0009278744058536103,0.0011799216887264795
18,0.01815849863435791,0.0013153175622572441,0.0016005421336475437,0.0016867813677228902,0.000439174572199725
19,0.01819521108710191,0.0008195911093449775,0.0015718607625976049,0.00012247706460997206,0.00034348573251566014
20,0.01958309256720977,0.00011951111139719155,0.002695899561856698,6.349045178632059e-07,0.0007118963808972305
21,0.01872131661085197,1.653550912805765e-05,0.0005491025479743592,0.0010787300099333393,1.7766961077502903e-05
22,0.011191104839336717,0.008733189599976326,0.0013401200700549289,0.002605734519218613,0.0009720604057841966
23,0.015968793664948664,9.587317960362358e-07,0.0015877501178708957,0.00413989359771504,0.0004906286815735915
24,0.0037946798278953647,0.017329368905669783,6.162125376454292e-05,0.0013995119758672752,0.0006480664936868327
25,0.01694587808661169,0.0018668223015199758,0.0009041835188961589,0.0025193857996436138,0.0010670357376086233
26,0.017587407184322244,0.001038820225371628,1.147586054569416e-05,0.000937162866941327,0.0009208611239899674
27,0.017969365279028295,0.0019951997945161994,0.0017857962507037911,0.0006820985261408159,0.001126111084758331
