term_str,n,gloss
a,23,
a',12,
a'on,2,
ab'aj,31,
ab'ajil,1,
ab'anel,1,
ab'ix,6,
ab'ixik,4,
ab'ixom,1,
achaq,1,
achb'ilan,1,
achb'ilay,2,
achij,13,
achijab',3,
achijil,1,
achijilal,1,
achinaq,1,
ah,5,
aj,219,
ajache',2,
ajal,18,
ajam,13,
ajaw,137,
ajawab',122,
ajawal,1,
ajawarem,17,
aji,12,
ajilam,1,
ajilan,13,
ajilatal,1,
ak'alab',1,
ak'u'wil,1,
akab',2,
akarok,8,
aki,1,
akul,3,
akutek,4,
al,13,
ala,2,
ala',1,
alachinaq,1,
alal,1,
alanel,1,
alaq,1,
alay,2,
alib',2,
alk'u'al,2,
alom,17,
alub'ik,1,
ama',1,
amaq',125,
amaq'el,4,
amaq'il,1,
ana,2,
anab',1,
anilab'ik,1,
anim,5,
anom,1,
apa,27,
apachina,2,
apachinaq,2,
apanoq,14,
aponoq,8,
aq,6,
aq'ab',68,
aq'ab'a',1,
aq'ab'al,7,
aq'ab'il,1,
aq'am,1,
aq'an,1,
aq'anik,1,
aq'anoq,13,
aqaj,2,
aqan,2,
are,40,
are',331,
astapulul,1,
at,59,
ata,2,
ata'n,2,
atan,1,
ati't,36,
atob',1,
atok'ol,1,
atz'iaq,2,
atz'iyaq,4,
awal,1,
awasinik,1,
awaxib'al,1,
awe,6,
awech,2,
awecha',2,
aweta'm,1,
awi,2,
awib',1,
awila,1,
awilix,35,
awitzmal,1,
awuk',1,
awumal,3,
b'a,102,
b'a'tz,1,
b'alam,193,
b'alami,4,
b'alamil,1,
b'alax,1,
b'am,1,
b'an,1,
b'ana,1,
b'ana',2,
b'anatajik,1,
b'anik,4,
b'anoj,14,
b'anol,5,
b'aq,24,
b'aq',19,
b'aqil,10,
b'ate,9,
b'atena,1,
b'atz',26,
b'atz'a,1,
b'ayatajik,1,
b'e,54,
b'e'al,1,
b'e'el,6,
b'e'ik,1,
b'ek,1,
b'ele,1,
b'elej,6,
b'elejeb',18,
b'enam,1,
b'enaq,1,
b'i,97,
b'i',233,
b'i'j,1,
b'i'nam,9,
b'i'oq,2,
b'i'xik,3,
b'ichoq',2,
b'ik,3,
b'inib'al,5,
b'inik,1,
b'inowik,1,
b'iq'itajik,1,
b'is,5,
b'isol,1,
b'it,35,
b'itaxik,1,
b'itik,4,
b'itoj,1,
b'itol,20,
b'ix,16,
b'ixik,7,
b'iyik,1,
b'iyo,1,
b'o'j,3,
b'ochi',1,
b'olaj,1,
b'olik,1,
b'olol,1,
b'oqotajinaq,1,
b'uchu,1,
b'us,1,
b'usaj,1,
b'utik,3,
castillan,2,
caxtilan,1,
ch'a,4,
ch'a'oj,3,
ch'a'ojil,1,
ch'ab',9,
ch'ab'a,3,
ch'ab'al,16,
ch'ab'i,3,
ch'ajo'n,1,
ch'ajo'nik,1,
ch'ajom,1,
ch'ak,2,
ch'aka,1,
ch'akab'al,1,
ch'akajoq,1,
ch'akat,2,
ch'akatajik,17,
ch'akatajinaq,1,
ch'akb'al,2,
ch'akik,4,
ch'akimal,1,
ch'akix,1,
ch'ako'n,4,
ch'akob'al,1,
ch'aktik,1,
ch'alami,1,
ch'ami'y,5,
ch'ami'ya,12,
ch'ami'yal,1,
ch'aq,1,
ch'aqa,4,
ch'aqa'p,2,
ch'aqalik,1,
ch'aqimal,1,
ch'ata,2,
ch'atam,2,
ch'awik,1,
ch'ayatajik,1,
ch'ayik,1,
ch'ek,4,
ch'eken,1,
ch'elem,1,
ch'i'pi,7,
ch'ij,2,
ch'ijilal,1,
ch'ipi,2,
ch'itik,1,
ch'o,14,
ch'ob',14,
ch'ob'il,2,
ch'ob'ol,1,
ch'okoch'oj,1,
ch'okoj,11,
