topic_letter,topic_id,top_terms,gloss,ord
A,3,"alom, tz'aqol, k'ajolom, ajraxa, saqil, xpiyakok, b'itol, tepew, echa', upa",alom,"(1, 1)"
B,7,"sipakna, omuch', k'ajolab', kab'raqan, kak'ix, -, jul, lal, xb'alanke, tap",sipakna,"(1, 6)"
C,5,"ajal, ch'amya, b'atz', xib'alb'a, chowen, tukur, puj, kame, tze', junajpu",ajal,"(3, 1)"
D,0,"q'apoj, xib'alb'a, kame, xb'alanke, xk'astaj, k'at, kati't, ix, b'atz', utux",q'apoj,"(3, 5)"
E,6,"ajpop, kikab', awe, q'amja, chinamit, kati't, q'alel, amaq', ajtzik', kawisimaj",ajpop,"(3, 9)"
F,2,"tojil, amaq', kitze', q'apojib', b'alam, ajk'ixb', releb'al, ajk'ajb', jakawitz, awilix",tojil,"(4, 3)"
G,4,"le', tepepul, k'otuja, tas, don, le, istayul, ajawarem, ule'el, de",le',"(5, 2)"
H,1,"unim, chokoj, lolmet, q'amja, popol, ajtzik', b'elejeb', yakolatam, t'uy, kejnay",unim,"(5, 3)"
