chap_num,B,E,D,A,C
1,2.543021677380872e-51,0.0017586957915276024,5.1346980846178674e-36,0.020161657087759362,1.0320893376958605e-17
2,2.645384163837057e-18,2.0952506723014044e-32,2.5741524266237986e-21,0.020528153137473765,1.538793113982151e-21
3,2.111011467368194e-25,7.101123163662609e-28,9.202969196947222e-20,0.023283380661841952,1.6364766863409535e-21
4,7.051398500390122e-16,1.9799735936512498e-50,1.0753728204354998e-11,0.017304719150371704,4.680619842795218e-41
5,2.12672011627282e-18,9.093140943038871e-51,2.323641870082677e-25,0.02498462160398786,1.6340525978326567e-19
6,1.536741504071527e-20,1.3542497335266831e-47,5.927548918175577e-44,0.023150461391758696,6.36098448753112e-32
7,4.989403475334497e-05,1.128805835263329e-17,6.294679971328639e-25,0.02643878710351842,2.0668343338116245e-14
8,0.014631341576021372,0.0003284014591883165,0.0008365211192652494,0.011113380851538315,2.269937081681842e-06
9,1.0552342950126515e-30,2.7992045868454207e-23,2.815935251518636e-32,0.0027386375982672256,0.020674956138728467
10,5.028720043043086e-28,1.143835101012905e-34,2.393628313585116e-17,2.1310804435980904e-32,0.025649248999446938
11,0.005376243407114901,5.042560944680908e-16,1.5800996829905577e-27,2.4651270854174882e-21,0.02272543114338538
12,0.0061203565182879035,4.755817700999211e-58,1.1949000372517464e-20,1.6427837863269018e-07,0.0188453616840627
13,0.0066520051278955656,8.456340499053123e-46,2.0059139273449195e-19,2.6902883925614355e-19,0.022517432103336302
14,0.00275319326614609,1.8451789626680912e-31,1.667880339803996e-13,0.004308474509303396,0.021656417809822904
15,4.114359711115556e-31,4.989709824565545e-61,3.20041250564944e-44,1.7219168030540613e-37,0.012028959355800053
16,0.019690519655760012,0.002181281113130912,6.679998877628893e-19,0.0033982592512557066,0.003433954554089378
17,0.025200948831539022,0.0007391892117808622,1.801539086587858e-32,1.1614564285060432e-24,0.00021099558428963548
18,0.025550878856155267,1.6443098866174587e-05,0.00045050548972642686,1.3696127673596548e-11,0.003573783106744324
19,0.007727513350091547,0.0002731979247167188,7.851928921966695e-29,0.002349888121881715,0.016927083223628455
20,0.018584638939241695,0.0003520067520638284,2.142037684100998e-26,3.5057388690190967e-14,0.009892933376277706
21,0.00990663741902218,9.351255283961586e-17,1.077146440502877e-28,3.0521327095741607e-25,0.015939101860497133
22,0.02591429104372445,3.8065054120267177e-22,1.621847174641884e-05,2.821016256483231e-05,0.004104018990014796
23,0.02215517210913338,3.1429454711923803e-18,2.7921550477222114e-25,0.0031156855453560637,4.4326080191307355e-17
24,0.027494235159770265,7.641553734779987e-16,0.0010983175109029308,0.003202532447588989,0.0005774759874490145
25,0.02573385282774837,7.135048799914788e-35,1.1336597339150468e-32,6.471785481727991e-27,3.975877424214553e-31
26,0.02394469110589759,5.16016023579985e-55,1.3267285556560108e-27,2.8632269224681357e-28,0.0017600366023797205
27,0.028228827717018592,9.183364953063048e-57,2.5866550708456526e-38,1.051758423869091e-31,2.890898358746529e-14
28,0.02999486784575351,0.0005714945332816595,5.339505965651632e-13,1.7151966485935194e-05,0.0019585590532332654
29,0.01638130459760542,1.0170748141467514e-49,6.8657237546478704e-43,1.723847657334642e-51,6.609269836912953e-43
30,0.017290841571727236,3.102489559639322e-45,0.001673646584724745,7.2030861147451765e-34,2.875814653568849e-55
31,0.014006605955693701,3.8253146926840064e-42,5.795045826693076e-29,2.222220840304208e-22,5.921195875639154e-32
32,0.022705907885988183,2.883216343103236e-32,5.733567971181423e-09,1.6636394682805266e-06,0.008493807367376443
33,0.02114329875822701,1.8020404560933896e-40,1.5192370603665176e-41,1.3584626833505569e-37,3.4937055337387634e-22
34,0.026788953116817848,4.842280963388655e-30,4.4061815878656344e-18,5.080160896206379e-13,0.0038702344931012492
35,0.01859822372919012,7.557865869426243e-15,4.0507971885050686e-26,7.09349658046266e-26,4.92307469584534e-28
36,0.02476475222107949,6.675942071003413e-09,7.50018043944881e-43,6.420383486944042e-35,2.3502911094452327e-27
37,0.026500908093104507,0.000791658012451745,6.431371107583592e-21,2.892335604477685e-24,1.4029175103593447e-15
38,0.024015979909304437,3.075105465272926e-10,1.0365915796342362e-18,1.0498098831434399e-37,6.030854041673358e-15
39,0.012427948379639984,0.0035381291093924054,3.32306992543791e-09,0.0001350700200689136,0.013290974646203662
40,0.0005116293495368002,2.0648387047676237e-52,2.818299706947383e-29,4.434949462609254e-18,0.02795813333259002
41,9.786493892954012e-42,9.925001499430605e-58,1.745720098867784e-40,0.01897067251784538,1.728994117188725e-27
42,3.8830018047505373e-28,1.9293003751185023e-07,1.7877406326775288e-18,0.004952984146390924,0.01410110674611821
43,8.833644604487417e-51,9.414952959188717e-27,0.007430886098082636,2.3287763918806043e-27,0.004783082434137684
44,3.92601942370227e-30,6.680037975320727e-39,0.002238853571411728,0.021306343938701785,3.181774211747234e-33
45,1.7279633820634715e-23,6.8905469875255404e-43,7.211082323252627e-44,0.020359223588764293,2.5692911478356875e-51
46,6.604517888030348e-37,7.573690952960088e-80,8.291677505050633e-43,0.02192928574728963,3.3827942657367927e-57
47,5.869419831049126e-19,0.0020811073234001704,0.018870905184065447,0.009636048315593872,6.948948401334888e-12
48,1.4309732595144137e-55,1.2002041641383315e-66,0.01282974897859927,1.309725222849168e-89,6.5034663274131724e-18
49,3.496914630655449e-44,1.455348250046109e-19,0.017103310725914686,2.572642509638262e-47,4.0006282301613555e-43
50,2.482001898497098e-11,7.572989673245204e-31,0.025241383895372515,5.711551385147729e-17,1.248036513116758e-21
51,0.004210556377269765,5.125888850926505e-46,0.0166659214564472,0.0013453481234224148,2.401750596148523e-26
52,0.00395644696207648,7.370040846143445e-40,0.02260538872427274,0.00030199142658565654,8.850750034304557e-23
53,8.514868095915693e-23,1.234349927438617e-24,0.01666717782964404,1.6950951406890068e-45,2.0842009911681084e-24
54,2.2167645656940056e-22,1.9873468682430727e-23,0.02141607349971454,6.719101707945197e-23,0.0009054423607144962
55,8.291545270003367e-11,7.227728643905739e-24,0.025666856294379814,1.6644184961925694e-09,3.795684424228756e-18
56,4.4346231551008404e-10,0.0001348257201553484,0.02698311542587313,0.002221209262311933,6.833619531143097e-11
57,0.003693776014566824,1.4837887093470528e-05,0.021199355832246664,0.001969498583840576,3.142843768454502e-14
58,0.0015661055969857258,1.1319003148050807e-30,0.020610145201321813,5.711470343399845e-11,6.891546999631383e-24
59,0.0059440319108390646,4.383259872634172e-19,0.019011236865439415,1.07233781534285e-20,8.39152454325209e-07
60,0.004142178703415117,5.009675512039745e-25,0.016167172340870693,1.2298565123887804e-31,7.037677399122423e-41
61,0.0017122501799739461,0.0005105877552299439,0.0217851236740461,8.422927578274242e-09,2.739033955272672e-25
62,0.001730653076098645,2.4050986739339096e-17,0.02472784826087657,4.759945477641103e-13,7.973480158608926e-20
63,7.694861607697098e-06,1.5822485897635444e-18,0.022147896211066734,3.779689184863875e-17,0.004325718997676858
64,3.533457309600914e-07,0.0011848138361814468,0.020703232499126187,3.171333029487026e-08,0.003421212966116561
65,1.0480236033739587e-24,0.0034587919912039172,0.01733027259976967,5.0098076981969325e-34,3.834596539957111e-27
66,3.303070652061263e-10,0.017557422724094725,0.003043771170763678,2.691599305077191e-32,1.6481637356349481e-37
67,1.973133433750205e-18,0.002923552885584316,0.019749020263184796,9.183254140965789e-32,5.748561893864768e-21
68,5.453238321039076e-11,0.01674004860435156,0.012701398918762739,9.577739191886924e-11,1.6970501436675398e-10
69,5.281002451991092e-06,0.02820967303298752,8.739398594983485e-05,1.6445869564828393e-19,2.7837592417445944e-26
70,3.0004600676417464e-46,0.017969145097385814,2.1519748018636224e-45,1.69668672829174e-57,4.8221129329437704e-73
71,3.2255271893068333e-85,0.014487858494884818,6.3375042641096405e-74,5.507835128791654e-118,8.715915153510238e-66
72,3.837658262067204e-105,0.012144994496151383,1.0469384011521293e-57,1.0096359277765548e-96,1.8647484633631273e-83
73,1.3449328237430699e-52,0.010555947264440776,6.000033671325609e-71,2.474507416922396e-65,2.101337699283245e-64
74,0.001001909492133098,0.01840224857251417,0.008279196911241913,2.3409056560824334e-12,1.521011993845066e-10
75,1.4943505751041344e-06,0.012371924364727824,0.009651286823750488,0.0031479593963179395,1.6616878018659603e-18
76,0.0008207318908120975,0.01994353696898353,0.006208740042737429,0.00023737824180345134,0.0013242162996436513
77,4.7970285805957106e-46,0.01872517838844558,1.0981008229959185e-20,3.714537502951207e-45,9.785663502641754e-43
78,1.3734192509379676e-14,0.014842205821143876,0.008322070233354694,0.003850388264770302,1.0274479475811655e-28
79,1.2896980223755093e-11,0.014407620669159432,0.006724427540749832,0.009899634079435326,2.4907764839346584e-08
80,3.810521549550067e-43,0.011813673842120714,0.0030709576172192597,2.1196238749190668e-38,0.0022175289620846262
81,5.320210851453057e-61,0.014077568861552175,0.0008849331796621549,7.801683378281526e-28,0.0005695092713113286
82,7.41951989763501e-55,0.016776132516073614,6.2699407328656786e-46,6.379703841038982e-49,1.6558814449549046e-62
83,7.066621542954327e-97,0.016172299418166305,0.0004775463509461811,1.141406814964293e-52,2.425819091899473e-12
84,5.091183964299709e-35,0.014908930934994836,6.632495315643662e-55,9.602854461747509e-57,4.929206370664767e-52
85,4.419079803887025e-72,0.01088896799191544,0.0011404359537143163,6.290023258812527e-63,0.0007594789075348935
86,1.8254824319557717e-80,0.01280882999183712,2.7725240160414387e-72,1.9837191919718362e-45,1.2857589753290363e-41
87,2.0953346819449692e-17,0.01815031418470663,2.440091824684771e-16,4.620798380481716e-15,4.335676312813721e-09
