chap_num,0,1,2,3,4,5
1,2.2420705471391822e-35,0.0029530313638195197,1.1356834260829667e-27,0.023117174618493965,3.006938701562058e-14,1.446487649588834e-23
2,1.83352006482814e-12,6.876092300776055e-25,1.3826100025468894e-13,0.024039789734974684,2.1101806918097023e-15,2.0017433591817904e-25
3,5.234512609411126e-19,5.679347640489196e-26,3.8146353489569745e-15,0.027259426176311944,1.9227059354410992e-17,2.306973956520444e-11
4,8.229805265085113e-12,7.441298146703351e-51,2.1558744134260743e-08,0.020270953805769123,3.986225752668299e-34,5.463041412038922e-10
5,1.3430710392375002e-12,2.5727400597563387e-39,6.767063719207141e-18,0.02924661780736961,9.746376145106171e-17,1.0810615933748548e-22
6,7.373394041851213e-15,3.9243733670165885e-31,3.0546906582739857e-34,0.027104139607124714,4.900589736000622e-27,2.7136662886483357e-29
7,0.0006270279101613436,6.868006762462297e-06,3.3562757152897533e-19,0.030374234950238988,6.58595975618396e-17,1.783311332626625e-22
8,0.010191783680912702,5.06285342488121e-27,0.0006412315323399511,0.011816242412299399,4.0746749347826336e-05,0.008914218645454608
9,1.3830715518685852e-17,3.0250389455467735e-14,2.2521803860466257e-22,0.004011578607170132,0.02534061622970112,1.0036752273380098e-20
10,4.6387365721828183e-17,1.5656187860170264e-27,1.4647287022436705e-12,5.097869469099561e-24,0.032591101055488875,9.855338499408826e-19
11,0.013443686147984267,6.639115559376077e-11,4.597882779717848e-24,4.021199768652301e-17,0.020085654542821206,6.982371838265302e-09
12,0.01149773444755539,1.6633087455887557e-54,1.607199358339549e-16,8.96511309899577e-06,0.01852783217290577,4.961755404895717e-14
13,0.01409825772272663,1.788963387125416e-46,2.8941526245953113e-16,2.976535630868627e-14,0.020791524782018535,6.20495635140502e-11
14,0.007384404735207369,5.188102751679782e-21,1.501849945837097e-10,0.006189847898790723,0.021079782095038246,1.0654464697232002e-10
15,2.654402308814871e-21,3.5308340580571382e-53,1.6607368002151322e-34,1.3685929932502095e-27,0.015319979982743448,3.4053569778662693e-25
16,0.023523741150429482,0.002822704012115157,4.3032862047601813e-16,0.0037473186052015494,0.0034742389119499133,8.973962026277598e-08
17,0.028685787929190208,0.0014172594725189338,3.4183639550541166e-25,6.169173391662915e-20,5.1993423695784415e-06,5.668074939369717e-23
18,0.03053127968758136,0.0006462265415460955,0.00047678451843944085,3.805883838989889e-10,0.002442065632024636,6.404745580555225e-09
19,0.023056744421367504,0.0009369700153992832,1.0414142116572508e-25,0.0029163319463920696,0.00261623845402084,0.0007018311559370338
20,0.029678141233255018,0.0005613403599738373,9.505966921033459e-23,5.240629751256371e-10,0.0021239149380486025,4.1637905883696193e-11
21,0.0233962542976346,1.7859793724055035e-06,1.589711465948092e-23,3.8493509897129166e-20,0.005536127588814624,6.640335383044729e-18
22,0.03264011155929244,1.995064277299554e-23,1.7158604236495144e-08,4.7473121829407263e-08,3.4267585585030273e-09,0.0013365157210358256
23,0.025784166663601164,3.91632821211319e-11,2.307358081460928e-21,0.0031964795217436053,1.830890191707879e-16,5.900740883828109e-12
24,0.03343576566265571,7.80299459832944e-11,0.001522793854642371,0.0021552340024963154,4.5700500702449977e-07,2.1000313472059207e-08
25,0.029420328574720458,4.5354379688831146e-20,2.3453653317816055e-24,3.133400378362082e-21,8.16896680997714e-28,3.3462449027590394e-26
26,0.02917672105323457,1.0459211753550255e-38,5.1776279730231324e-23,3.39044002858734e-24,1.3768711631730065e-05,9.377515574079479e-21
27,0.03226650000038373,2.5047004952231915e-53,2.196988445835734e-31,2.8293719615399606e-25,3.999406963522553e-15,1.329794998476166e-21
28,0.034944575827766854,2.668179458480084e-09,2.1447713711037855e-11,1.5590148489109986e-06,0.0024044707299879964,8.243625822302843e-10
29,0.018741625216702567,7.108535888741657e-35,1.8280841184394122e-31,2.1595262380770402e-38,5.445873314084477e-38,1.3263337901776538e-28
30,0.019731054226607116,2.803977573081491e-35,0.0021498161659417553,4.891076675108893e-26,1.4133550887938878e-46,1.6068740483796522e-24
31,0.016027748467909563,1.7197420542176093e-32,1.7985358957626063e-22,1.6642436309343131e-18,1.3035591222354047e-25,2.166129219047697e-23
32,0.031233815602903156,2.0302652531889753e-27,1.1652701705631694e-06,0.00011857273927018991,0.00417031488563932,4.864518673187502e-14
33,0.024180769651824058,2.9698523710114165e-34,9.399949327444316e-33,5.330696383763547e-29,2.4747045121330337e-18,1.243968750182553e-26
34,0.032339224429350846,9.678825922029016e-16,5.825359701807495e-17,7.589600194581235e-10,0.0027539462391430354,4.595982852434968e-05
35,2.7448252173708423e-20,3.906938541497168e-32,3.702193941935417e-45,2.071644109422952e-38,1.4304333235940744e-35,0.022287018164643523
36,0.02019636279739959,4.618183067284392e-09,4.5547653360356284e-32,4.812463600142685e-25,1.8638316906629928e-18,0.008607251503931145
37,0.017341166118948356,0.00028040674487677514,4.43411863205088e-22,1.9289649546505073e-21,1.9449895684692728e-11,0.014322107763021646
38,0.02058705322542627,1.6864869371614813e-14,1.183929792898876e-17,7.356930072996675e-30,6.273829962578044e-17,0.007288998940462435
39,0.018052474879284054,0.0025153703927361325,3.4528967964627274e-07,0.00047267339440089487,0.009904430301078761,0.0034320946565763724
40,0.0006696496390170201,3.2316601597097886e-42,1.9773002862595882e-20,2.7876739521628585e-11,0.035411465490741215,7.874141815488305e-17
41,8.96789343940166e-30,1.2834677286984139e-46,2.3957576799051164e-30,0.022219072755613075,3.610293733270802e-23,7.728389624074799e-33
42,1.928253961737631e-19,2.4787341830853613e-16,1.0500054786111907e-14,0.006580745691927642,0.017026208356275715,2.2056023608449918e-10
43,1.3952178308963128e-36,4.62077301587443e-16,0.007718326837337584,2.4496772393300002e-23,0.00808589451636256,1.1414301197817679e-54
44,3.929101025535862e-22,9.363916991426268e-38,0.0026085028031299358,0.025152737437371526,1.0957536902294028e-25,6.758842658010696e-13
45,1.1497315815189273e-16,5.6010238227682626e-30,4.0241183433865665e-34,0.023842333689180466,2.0380021357305485e-36,3.9208700292544473e-32
46,3.9033945041857493e-28,1.2066936220913187e-72,1.2036588194429428e-34,0.025677292408730387,2.018301861676628e-45,6.552438038121364e-24
47,2.849801838374794e-13,0.002538855737088891,0.023570294294960395,0.011510374097548442,4.850961826778337e-12,6.28264177957165e-08
48,1.1008098971969763e-43,8.176179822178156e-54,0.016077336086538663,7.89873392858202e-68,1.7572732987771894e-18,3.1887182921290035e-41
49,6.280552947857047e-35,0.0008674500202859766,0.020767986719750612,2.2723415235520323e-38,3.551656718299779e-33,7.568808886337523e-24
50,2.849924585387046e-08,1.2470158437738083e-22,0.03158031519626805,4.963964875273078e-12,2.0782358876265698e-19,5.909715332011678e-11
51,0.005532351022022583,1.410347614489501e-39,0.0203504487598078,0.0014026817323004453,9.660786311218268e-25,4.745491358417457e-15
52,0.006360261553001066,1.4005876764788647e-35,0.02682151603778812,2.35899300267044e-06,4.061024478839657e-21,3.274663482121416e-05
53,2.9898638642591055e-17,5.582912932769871e-16,0.020875782954568795,4.12947108091258e-35,7.304502510595484e-25,4.956093624895887e-22
54,6.551452757130479e-16,7.282393194247541e-15,0.02715016887793804,9.091325130709115e-20,0.0007235595314835134,1.5898000191507664e-26
55,2.1864941452010322e-07,2.0070841413468346e-19,0.03211069556959855,2.201782027484004e-08,1.049842275918551e-19,1.6968726494404377e-11
56,1.1010379807174357e-07,0.0008043817316930818,0.03377043389486854,0.0020970730781298672,1.364278883233566e-12,2.9892035672622757e-12
57,0.003772273187524619,2.893086705733184e-06,0.023159975380169232,0.00025048022780226606,1.89404429357272e-16,0.006271014586866693
58,0.0011026101415818703,7.892178392757591e-26,0.019342326102977817,7.276495970113514e-10,2.0946210882566135e-18,0.007674838186587114
59,0.0036683682065693987,8.529168626643394e-18,0.002052507517545692,6.051052402918314e-17,4.043787343639629e-14,0.026425765848796866
60,0.0006938145624169435,1.23263351249702e-24,0.007040016480682779,1.6167764685805592e-21,6.799778396909005e-29,0.01832933153669958
61,0.0004119206847859234,2.792901507937927e-19,0.012002609816804953,1.1902137834176715e-09,2.3703566325381373e-21,0.01850661355252029
62,0.0016325895181217823,5.401041835360402e-19,0.024499029261406242,1.3762200452577288e-11,1.2160255820852058e-18,0.007319153254919797
63,0.0013145439266526488,1.5787097213971492e-20,0.025391972101561227,2.7037916945854656e-13,0.004015350975077443,0.002439064614902617
64,6.016023804173846e-05,0.0013391147141180765,0.021157758785278858,2.870135603470282e-08,0.0071459851699905924,0.002854440224620834
65,6.70107403662814e-19,0.004549954018799015,0.021702172426903782,2.2406414740277837e-25,2.260292073150706e-19,2.408993940184671e-18
66,5.497246027648454e-08,0.025803988169700726,0.0016591989617772863,1.9313471863474607e-24,3.4712633854106104e-37,6.302701620694837e-16
67,1.879003781687569e-15,4.224892047798062e-07,0.00801189143863063,6.0070711257784456e-27,1.9537120893234007e-15,0.0209552420663215
68,4.069511856776393e-18,0.007525595258035558,3.5087557660837754e-06,5.633865894442892e-19,6.835335695493946e-14,0.02860021386741368
69,2.8977373092004777e-19,0.008758954400984259,1.984203507979499e-24,4.437202878695231e-27,2.717233764365618e-29,0.02317064834057378
70,2.6524579750653094e-35,0.023551910477211217,4.950188404751449e-37,2.886554012270313e-42,4.298799083748672e-56,5.815854833092782e-43
71,1.3165062896386007e-70,0.0190024836503193,2.8265522715884095e-61,4.850582729041649e-96,8.970240079015713e-59,1.0709305597900287e-79
72,1.6298322081030752e-78,0.01593717947586996,6.52590412553293e-45,3.561483133680922e-74,1.970502105560028e-64,2.651846734346549e-56
73,8.871420046102148e-46,0.013856479318177628,6.882175969283035e-66,1.9880099097391517e-43,1.417117866191027e-45,1.2782204760237836e-20
74,1.352526195068696e-18,0.004045469860509699,0.00026116064920993416,3.680538908298961e-13,4.2878291832807894e-08,0.028221231400942754
75,1.332975817262342e-13,2.585522387321339e-08,2.0306851552933023e-11,0.0008829774771320694,1.9650088889951657e-15,0.028845949654780562
76,5.271495692750599e-06,0.015461629888285668,1.72648937164846e-06,4.810833965373462e-07,0.0021290864483484366,0.017890325230990434
77,9.715702245036917e-29,0.02453907395929083,2.8079318167055406e-14,5.6062165463867844e-30,2.816584121346332e-28,1.9956733755938394e-20
78,1.6270077937027094e-19,0.007990142143466149,0.0006352076032469044,0.00048314139088967493,3.1766415273306293e-21,0.023892464215876985
79,1.1373614781276778e-15,0.0064517647383513285,8.204663705078276e-06,0.008664033063970481,7.294688719527101e-12,0.0221067285274948
80,7.536742211742373e-31,0.014165802374044861,0.0043269494579831124,9.058769220041899e-29,0.0035167244737280973,2.6162409097841074e-12
81,1.140908478171178e-62,0.0035223709764710485,0.0011097106184940946,3.228250589299858e-20,0.01032747198545029,0.003948299759450146
82,4.600403405851478e-41,0.021993569621908456,9.734648342383904e-37,1.5252740458897948e-41,3.0335849125233582e-49,4.719772128292838e-54
83,1.547125022912804e-75,0.006641065397777436,2.658725396221563e-09,1.0541672711863232e-54,0.014583078816556062,5.230903622591301e-31
84,1.8717946716058203e-31,0.019553089511483678,8.96753109808893e-43,2.622927231491224e-45,1.3421767091716204e-42,1.23626925562401e-35
85,4.7860338658411306e-61,0.007909734365571184,2.2485379259430487e-09,1.9184372844796308e-50,0.008805559227769034,8.76604111807006e-53
86,1.554345047318984e-64,0.01680600887867582,1.494606919634088e-57,3.8594022958097956e-33,1.607240022479649e-32,2.927595311709715e-66
87,7.988808938193593e-12,0.02378849728325727,1.4070213591716676e-11,1.0353664024607662e-12,1.0988829706966336e-09,1.8135889326564005e-14
