chunk_80_id,E,C,F,A,B,D
33,9.316293328198506e-24,0.01795574234251752,2.3826046081478374e-19,1.4040520747807302e-15,1.0569615438989472e-16,0.013526553647304207
34,1.2005115341874797e-31,0.01720945597066763,3.180048176914053e-27,1.5268464507058453e-26,2.8965941550658623e-11,4.093392716520967e-21
35,6.772880318168589e-17,0.027857640181559232,3.957147994329004e-31,3.0306028273503996e-31,4.85888748223789e-12,6.029270896665711e-26
36,1.2274621798436386e-22,0.02278850139863421,4.393189730520667e-39,1.2752308673780415e-21,5.6843443180378356e-11,1.0549048723383098e-13
37,3.1485193887427526e-19,0.025570738834079246,7.11786968484964e-26,1.7080369410723228e-27,1.1921727452430845e-10,8.391678857004232e-14
38,0.001912824457802025,0.024439900801038413,1.55764820830076e-28,5.819232644264942e-27,2.4186969060963633e-14,6.312441302355109e-14
39,5.639578928668496e-10,0.026794076543353338,4.495595074825526e-20,0.0012071525898394127,0.0005911578788177724,5.405872706534338e-17
40,8.899718519008136e-21,0.0256976614872017,1.2482031473290322e-21,2.5471584107225296e-20,3.735617955556959e-19,2.1700429993361125e-12
41,3.039986710606326e-17,0.024547029169003476,1.5557275589338453e-26,1.55973609160933e-12,1.3441540274898296e-06,0.006361893260888299
42,4.576854725907085e-19,0.029089664130873792,6.393078661921692e-08,3.352613642576229e-17,3.3204426795050834e-19,1.4405604676296743e-11
43,8.469413306080826e-22,0.023304919866993627,7.473013861952532e-10,1.3110112313621926e-19,2.0032988592592723e-20,1.5354031957604202e-19
44,0.002553659289995691,0.01709702698992733,0.0033396841950485714,0.006825094006382691,4.585681168274119e-07,5.9954293058078844e-05
45,0.0002986523784832109,0.004280162122660316,0.00247388276179996,0.012129465880411758,4.239169933265358e-10,0.00622186474695832
46,1.2971565061645578e-23,5.5337217580114484e-11,2.1323148500945093e-23,0.024992691308597124,0.0009677780761275775,9.106621424795564e-22
47,0.002646135645573825,1.0661814979844012e-25,4.723062952520577e-26,0.024402680347375534,2.663922124189075e-28,3.8836104878392325e-20
48,0.012777894901866427,1.476139417513783e-32,0.00047415414814029524,0.017215054650331244,7.755282074844819e-24,3.877656623209165e-38
49,0.011100375177777452,8.677181143805016e-24,0.008182267560310246,0.010107864783500379,3.1248055573381233e-30,7.194584935065843e-25
50,0.021677105992359315,1.1660921861486779e-16,4.82086979822448e-07,0.006049578209040595,1.5890819309823648e-22,1.0894860016026592e-22
51,0.025075962846667715,7.62969399615751e-15,3.04605488368114e-28,4.113786529906853e-15,2.9171510679013415e-07,7.631155469495488e-18
52,0.018462699562005167,0.004753924151026675,5.494347827840844e-32,0.001817990851913686,1.3030308328751602e-16,3.2393645694517364e-14
53,0.02913703666070447,6.783985306627688e-16,1.4410110816322091e-27,3.5655478321751453e-20,1.0077637609692311e-16,1.841473404569106e-20
54,0.028967453312406286,2.0357931322102595e-21,5.050094358520015e-21,6.047297632889524e-17,1.6710058883022876e-20,6.260237993812476e-19
55,0.02520126830227786,4.6612216157075747e-29,3.642172556899312e-22,1.2627787830818974e-21,0.0003035729977211122,4.7335926728922535e-21
56,0.028884021717013094,5.369958865089558e-29,5.0059099699967684e-23,1.6368607723442707e-22,1.1228188069882716e-27,8.80375326256405e-30
57,0.02952570683200093,1.887516788869002e-25,4.476051875981118e-19,1.452655940798107e-07,2.7375295074949717e-12,1.1931816651508447e-07
58,0.02672686772318394,3.6026999842421766e-37,2.9011218975843353e-12,9.737827500526212e-18,9.297367549002003e-40,2.323524010878096e-21
59,0.007818820676351115,1.4742786238218276e-26,2.0926925648287796e-05,2.9811815628125406e-16,1.387096059103414e-26,0.018246146179812295
60,0.018651036431837777,1.751752255495112e-28,1.682427794833442e-24,1.0509515063740789e-28,7.49423480855438e-34,0.010091466199564787
61,0.022339510586794967,5.755015601472777e-11,9.549606793278872e-14,9.414431680621364e-16,2.1625168108422438e-12,0.004369166228140761
62,0.002297533543983173,9.87869488549336e-18,3.732503203907937e-14,5.55871543344693e-31,3.524621084198492e-23,0.025151033079744128
63,0.006602275279082969,7.8974173120794915e-22,7.66099369364982e-30,1.1277194486809148e-30,1.829429246073875e-33,0.017326369451710004
64,0.017534101776692894,4.7042652298178e-16,0.001502664345435836,7.116972252160691e-16,1.9242608887205732e-13,0.009833269469020989
65,0.027127985654942746,1.2385318388883018e-07,4.3586574603904456e-11,5.663223767216519e-18,2.8587388362436014e-13,5.969931690460658e-10
66,0.023511876566231563,2.9089041481161768e-12,0.00016589919235422083,4.482530056887477e-19,0.0002750030063028813,0.003382042651245623
67,0.025079734549204213,6.27287479408934e-19,0.001784415653179805,3.443043814575635e-18,0.0015131151002762953,3.656453589739007e-15
68,0.030273748728941494,1.6978551797077465e-20,5.8756530173222166e-15,1.7556599971328853e-06,8.602860378124276e-23,3.866132089719757e-17
69,0.020469345818680172,1.1762710681796016e-20,0.009858929840634873,1.4693576310008578e-28,2.7330976709614957e-31,3.305766838943517e-05
70,1.568350892209904e-12,1.1398321897855288e-31,0.02420659488966551,2.947169089204533e-32,8.90673161298985e-28,6.090639496980284e-28
71,2.0177089506198703e-15,3.0439663246195757e-35,0.02624517630566563,1.1959695913274733e-29,5.333214589396221e-26,4.270228963618653e-24
72,2.238085417331646e-21,2.1673710978008928e-29,0.026463906637155445,4.515989013470937e-33,3.4415252086176864e-37,9.637670376231832e-20
73,2.4000740957790627e-16,6.218754292766646e-12,0.023200985957755275,1.0158960957304424e-31,7.487195092342975e-31,3.48495950901315e-21
74,6.658072770398244e-11,5.336109732330724e-26,0.0267871098655073,2.0536591395906895e-11,1.0155468247145303e-19,2.037372398201494e-18
75,2.389220670631791e-19,5.192492507107181e-09,0.024359954756182762,1.3647148443285399e-18,0.0005799312498861384,4.729316790462635e-12
76,8.865896720178175e-12,3.7422028118331054e-39,0.021426618044210508,2.6491080021159072e-24,5.591472543896998e-26,1.046837338072338e-33
77,9.376000345109955e-14,5.872065418042777e-22,0.02863885663274736,5.200879372090526e-11,6.067934964570009e-17,6.851519039761784e-19
78,0.002022317570514883,1.5164390251243026e-36,0.027472598105665935,1.0829276760299771e-11,6.126314537485329e-18,2.5298075239398713e-40
79,0.00016767579026113875,1.806651625107392e-40,0.018981695939468277,2.3536489744504403e-18,8.407878100632216e-48,1.5389859368597016e-55
80,2.1447175046312913e-12,7.724012381267186e-28,0.017744615396513508,1.3743433358893019e-24,3.058081014460874e-18,1.6745747156150907e-38
