chunk_80_id,E,C,F,A,B,D
1,9.076099224550927e-22,1.0326607742858996e-26,7.435102145048799e-16,0.025248102295459172,9.441012667421509e-22,2.5022773190748527e-37
2,4.07908013771757e-17,1.4900797736634072e-32,4.910809235686291e-20,0.02655407951808952,9.132427074373898e-38,5.139734351200443e-40
3,2.7251887075572326e-18,6.504224462195424e-18,1.1609840921038016e-27,0.025191208728681098,2.3242377334633675e-21,1.3089164928440167e-05
4,2.0539055901658745e-36,3.741210397215636e-32,7.015768950870184e-38,0.02502749481651693,9.75863929857702e-29,6.485509305660506e-27
5,4.736420000500935e-19,6.524643863737322e-20,1.4849289958965386e-32,0.025625853069970204,1.523367895117937e-09,3.865578146123832e-11
6,4.709728643298485e-08,1.068135259392255e-06,2.381769523231859e-17,0.026571745440251964,3.7001440653793873e-10,2.4613788588519917e-05
7,7.730879409131845e-07,9.042945892797905e-30,1.6430871097620645e-11,0.006576989099399354,0.017554219512971477,2.1764286863767314e-39
8,6.211593154264829e-20,8.158933181018024e-27,3.716324805546948e-40,3.6368924172021664e-22,0.02035550376287812,1.7809234201502543e-31
9,9.789729625722455e-29,2.138255284599382e-15,1.6324565632707796e-16,1.149470108702352e-21,0.023713616434043225,1.5722914074492796e-16
10,5.58473456396984e-31,7.66082450634937e-24,6.249940971438998e-31,7.190094987573796e-15,0.027055419785237535,3.8145118574361255e-25
11,2.6472369068906035e-32,2.8834883471926234e-20,2.2701246817602054e-44,1.3798458063977332e-32,0.019296704201427515,2.6294589694396942e-24
12,5.747040104455465e-26,4.212864000152688e-22,1.953354503754424e-40,1.0307823605106642e-37,0.021973034721851664,4.841392717390155e-28
13,1.8837998454620299e-31,1.6681963777938355e-22,9.231220277519973e-41,1.6100047685090023e-23,0.027757789840722996,3.2188768555575784e-26
14,4.334247580341891e-15,1.3919248532439511e-12,3.4376704666802336e-16,0.00063960208886564,0.024889152914442998,1.634654274149597e-12
15,1.7002472638234203e-19,3.9235516677435176e-17,8.599930584756444e-25,0.005706865863710765,0.019925224579500838,2.7177058354877285e-07
16,1.7249113662712473e-19,0.022521733129228085,0.00017442829558782626,0.0034255307193752737,1.2211655200195981e-21,2.4363594951265144e-05
17,8.888099689159757e-22,0.023849068137642718,3.7786224427091727e-11,6.1227063840729e-29,8.943363554946261e-08,1.9626173137391743e-23
18,4.600367951979991e-25,0.025573749421485707,2.9201771610878143e-31,4.7690475688917904e-17,4.934110595794266e-25,4.1278560841813346e-07
19,0.0003898069089180647,0.02199438356137812,8.724609184925642e-15,1.2661131843304832e-18,1.0784139885239205e-35,3.833933691078281e-27
20,7.25358843585971e-09,0.024343916445831268,7.564425370209106e-12,6.643501094362188e-16,5.734900975386892e-09,5.847361985999562e-19
21,3.434251288854561e-18,0.01708310460760295,0.001248651345369165,0.0024409649009881494,0.005115097179361796,5.472968735057273e-05
22,1.2847302041554002e-16,0.02217624845500861,6.585526592044823e-06,0.00029185961405972315,0.00385037922431429,3.940648948414688e-09
23,1.499403290899891e-23,0.013191956464576415,6.454979275368607e-20,1.7931287734572772e-26,0.011622139679513619,0.0013913464837387696
24,5.91631054314208e-23,0.004034643763571476,2.3211092824130278e-15,2.9789536404836803e-13,0.0019392339496087725,0.017820390460807196
25,2.1035985409164735e-19,2.5726116008131806e-08,1.7915120036823404e-23,5.3071204232181606e-18,6.341092574857264e-18,0.025963123952670204
26,6.082888347261893e-23,7.812593123048522e-20,1.3463424816547922e-44,5.613447860660402e-27,4.013266223025041e-18,0.027586184761540972
27,1.497128591005954e-32,1.7925554437697151e-28,8.64997884127783e-30,0.0008250470463266188,6.759362375825018e-34,0.02567641694484604
28,8.747015636750493e-14,6.389550542916547e-22,1.336479472344901e-33,1.0888455635975234e-17,1.3472622089619032e-23,0.02761126143251195
29,8.491356191874612e-06,2.404818389652494e-05,1.1061989262804845e-21,2.2987199030375908e-17,0.002270288909380103,0.026991853393764136
30,2.352945141750868e-25,3.7217221369789086e-10,8.379867043352045e-35,5.351460490641332e-29,1.627041554121203e-16,0.03169191732683559
31,6.008995024779469e-25,0.020288559325318676,2.456313753344356e-28,1.1215749967639757e-28,2.0226808181315848e-08,0.006758493615119745
32,2.119591535570266e-29,0.011128331578372149,7.299190031906453e-39,1.5108146878124136e-27,0.009379721971160064,6.066487082593732e-16
