cluster_letter,cluster_label,n,ord,gloss,top_terms
A,6,4,1,moses,"moses, recall, adam, pharaoh, magic, she, signs"
B,1,5,2,revealed,"revealed, mary, scripture, abraham, messenger, torah, jews"
C,10,6,3,best,"best, guided, follow, revealed, set, two, being"
D,2,5,4,women,"women, men, wives, prophet, marry, believing, shall"
E,4,7,5,messenger,"messenger, disbelieve, hearts, believers, because, obey, wills"
F,3,5,9,messenger,"messenger, fight, cause, possessions, treaty, hearts, hypocrites"
G,9,13,13,signs,"signs, created, used, servants, clear, wills, messengers"
H,7,7,16,her,"her, she, am, merciful, worship, worlds, moses"
I,5,2,24,joseph,"joseph, father, she, brother, caravan, seduce, interpretation"
J,8,6,53,marvels,"marvels, deny, woe, man, created, lords, warnings"
