topic_letter,topic_id,top_terms,gloss,ord
A,4,"recommend, pray, design, lowest, warnings, anger, mount, rocks, considered, patience",recommend,1
B,0,"my, will, serve, promise, doubt, said, i, mercy, from, say",my,2
C,1,"believers, wives, women, hypocrites, fight, will, prophet, men, possessions, flow",believers,3
D,3,"bliss, will, scales, convey, spring, inferno, raging, stars, oceans, certainty",bliss,52
E,2,"ease, celebrate, read, leveled, will, clot, begotten, covers, pride, pasture",ease,73
