cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,11,1,kaj,"kaj, aj, b'it, winaq, tz'aq, ulew, qa"
B,1,9,7,kaqix,"kaqix, sipakna, k'ajolab', wuqub', kab'raqan, junajpu, jul"
C,2,29,16,xib'alb'a,"xib'alb'a, jun, kame, junajpu, xcha', pa, xecha'"
D,3,20,50,b'alam,"b'alam, amaq', tojil, kitze, e, majukutaj, b'i'"
E,5,11,70,ajaw,"ajaw, ja, ajawab', tinamit, aj, pop, nim"
