chunk_80_id,0,1,2,3,4
1,0.0042518821665351375,0.2084203016441927,0.33486816197347136,-0.19732910603617554,-0.14830809360825975
2,0.007771302320367289,0.16016094443819767,0.3476817391541699,-0.08358099495744324,-0.17697784468254646
3,-0.0096852145835925,0.010019845167113177,0.29323503059369005,-0.097148083137097,-0.10718012676176127
4,0.011259721069441526,0.15277448242077385,0.3492046078231654,-0.21536059586677275,-0.13791297028801447
5,-0.02829694216893159,0.10144142461002505,0.4182563347507211,-0.10297876453679311,-0.09614917017575828
6,-0.03552282588391283,-0.020691214892625587,0.16940362197824171,0.02158812561183491,0.00045107548843798423
7,-0.06898147260525675,0.11799680257920056,0.33805621679133396,0.15981527828323194,-0.1752640248344228
8,-0.24703308267671573,-0.018266092665033422,0.20535518177477077,0.4068513528960204,-0.08368369759660017
9,-0.19119729653227266,0.042416373707896776,0.037923638056425873,0.3203422961071697,0.03278582294870141
10,-0.24658169887170073,0.0011862072845383255,0.2397079469878881,0.5078078923117263,-0.06668557223235648
11,-0.18640971395650488,-0.07735042536478964,0.22012091154856178,0.30791768253553414,0.0931706749089743
12,-0.21141447007811862,-0.11913008669147286,0.19466220343075377,0.48805108701075656,0.05154829289405782
13,-0.17726800869260254,-0.12050373020646862,0.14241706077024563,0.28855416938152983,0.08506615442711768
14,-0.1903528327315737,-0.04576624639150145,0.20248932580516826,0.2653264996428906,0.05347631762668415
15,-0.1673189414476551,-0.10018870226618012,0.11056839384800454,0.10528082534789465,0.20620821510198456
16,-0.23449645200562302,0.033357143561387484,-0.021025013397034276,-0.15014710744929344,-0.034497326864671274
17,-0.27473160828989573,0.09097176797601521,-0.2053513804359575,-0.12345800058360316,-0.1300037555679923
18,-0.2674491609069219,-0.005006737110828594,-0.1977071406820368,-0.11171871177526253,-0.1256505455713237
19,-0.2964787457287064,-0.07138187346034405,-0.2223017003329747,-0.13644350245677378,-0.25391873967903383
20,-0.24896466367169762,-0.03289362855554662,-0.166612823712336,-0.16746075756323722,-0.24965579011568284
21,-0.22582764102915412,0.04877213674298014,0.0018550567646496677,-0.041667557694455515,0.05176751636547946
22,-0.22370586576744758,0.017961014333569596,-0.06688404223995248,-0.030483940648806176,-0.05658802596478111
23,-0.27842712883922144,-0.09205161355845391,-0.0829007288106417,-0.09927931481776289,0.12225663662768341
24,-0.20641714857454546,-0.05281762197404964,0.09036248844136863,-0.09997241797747736,0.2685757255345448
25,-0.23520297804972937,-0.09349826361476955,-0.02742029348985015,-0.17836311053546772,0.4161675675454823
26,-0.20548946778202112,-0.14325620857272572,0.05626490030231678,-0.06961732381807224,0.38547515943791566
27,-0.21712809481405684,-0.1317430149227351,0.050217811846330285,-0.19079935766963912,0.4099172187750766
28,-0.1614983755363328,-0.12562484474457083,0.04126586458348629,-0.12861842997943432,0.35435331655406055
29,-0.05238350990285915,-0.13601649421930873,0.0916133303452578,-0.06039790015771637,0.2606649249241926
30,-0.18617733692736177,-0.10628502317857502,0.020274145593313163,-0.07808313633081107,0.11148371903790041
