parte,capit,E,C,F,A,B,D
1,1,0.5799477915631678,0.5149815740341385,0.8317824320251079,1.6036496685454507,0.3795498973818397,0.4230418810809006
1,2,0.7372672147412301,0.8090210833395078,0.7415634472606266,1.7926128557542358,0.7254957117283196,0.62006494155252
1,3,0.8013133735837631,0.7092016564580973,0.5895493239218593,1.5547365130635789,0.822388726377825,0.7839991944754293
1,4,0.677306635164439,0.8679594620800811,0.5512763080727486,1.5077749824580922,0.6944351985336653,0.7016724700407387
1,5,0.7004168922814599,0.8503247785927794,0.6555225003170763,1.6599766862179974,0.7861764835435195,0.6180267718794542
1,6,0.7748271763750944,0.764024900328261,0.6184149125682371,1.4028205740294377,0.768391931647695,0.7079472433317799
2,1,0.9287091103780692,0.8487693517796464,0.9338487552493643,1.6847141127121599,1.3499191671777862,0.6496665598471096
2,2,0.7170714057629722,1.2030006562157767,0.7081272722213958,0.7500122784027878,2.615206313918798,0.8499016883254614
2,3,0.759338712290942,1.131149839543797,0.4849789277695969,0.6892161606434593,2.5171752931092635,0.8523723477552745
2,4,0.7465702944224776,1.0652780209298713,0.46532773421613033,0.6593963110415537,2.340855244995998,0.8600720465385698
2,5,0.8877681152427466,1.2730522966811706,0.6975070379118921,0.9216659367844097,2.254835975754285,0.9260450311445735
3,1,0.7379820108727378,1.9905186610117929,1.1046243232539987,0.8361734297802088,1.149199760485833,0.9046565282454504
3,2,0.6434853505458376,1.979224571616345,0.847224333105842,0.47126609868411373,1.087394296510477,0.960860871802129
3,3,0.9042923194487683,1.7213536731628396,0.6571331279561037,0.6661351804650926,0.9777236259030284,1.0860201208421614
3,4,1.0378539845270778,2.028726870962913,0.9459321700445419,0.8048105975692118,1.1015437638523318,0.9643913350775046
3,5,0.7700641681355282,1.7368652281412817,0.8311829156754953,0.7809157954556406,1.1347129737920354,0.9535258988301561
3,6,0.7736718791764478,1.8752914415308364,0.6983615438579563,0.7270838819206276,1.248830437466575,0.8358937532386671
3,7,1.005033553743222,2.026625108667635,0.8621841555650275,0.7754889169290857,1.1571642872172252,1.0155195955491092
3,8,0.874770893381782,1.4698997130014566,0.6103603418977901,0.7603777592887668,1.0630529941990063,1.2150811300112652
3,9,0.9105851163878917,1.6049261376354267,0.8937898002912762,0.6714211360926072,1.0692351890595553,1.5786056209313477
3,10,0.6876303347920636,1.3769387193161005,0.4959623892414224,0.58124922825856,0.9965649262346612,1.2194195687053648
3,11,0.7797217843661689,1.900248429784159,0.49934051789873185,0.5966333416163457,1.2838265394056698,1.0348246879457406
3,12,1.0199677428866063,1.6755005428750458,0.6718570485959743,0.7269762227885783,1.1597677947273322,1.1272352775223753
3,13,0.7559825188695131,1.3130311592345807,0.8473151055662628,0.678293567807933,0.9150060136790741,1.3668291104141865
3,14,0.8522109422454448,1.2770420484935754,0.9322351835194546,0.9012061650266738,0.8914609339109438,1.212837780278866
4,1,0.7175183902007298,0.5055515653418453,0.6999102549188072,1.796846806460078,0.45173283323984714,0.5131364348343873
4,2,1.4967356934089808,0.6824290650510371,0.9099077323532908,1.7868321744500895,0.6820785825442569,0.7835813416454783
4,3,1.6712989792122328,0.6958937053045472,1.2509104132716944,1.5762142658029938,0.609299839116121,0.6657478108007838
4,4,2.5256446174338123,0.8491831524203436,1.0004799290538755,0.9135360188925086,0.7707827484676846,0.9800137239801974
4,5,2.3322440625187784,0.8093406196491639,1.0115798142867605,1.0831286098912225,0.729202827726859,0.8288367306979286
4,6,1.6311513078288884,0.6546856661597612,0.9548843907023378,0.7827626513649646,0.6110672581887835,1.2536687123238355
4,7,2.7187675358074617,0.768729401195049,1.1085723852052032,0.8223427607445803,0.679996308989461,1.2663589855823856
4,8,1.1969568493385843,0.8328049684349638,0.8381454497787303,0.6015578564682688,0.8289500743551227,1.443133347670198
4,9,1.786466118365113,0.7346598038141504,0.982308354026883,0.654287219691574,0.6586579341077667,1.5228609831012467
4,10,2.2678307680300205,0.7811199499817413,1.0430603371413454,0.887129082613994,0.6798186146739219,0.9642494154078038
4,11,2.0631331578709453,0.6258183323229228,0.9044879296669935,0.8080995520013644,0.5573052932787407,0.7837040952311891
5,1,1.9442743738026456,0.7260357786191449,1.4964572086003183,0.7736277380161689,0.5917455817456813,0.8357033137141869
5,2,1.0964480411369895,0.7606943677823542,2.48996126082544,0.690561019045565,0.5703290872884983,0.7412386259160613
5,3,0.7321941194620046,0.8463035934019661,3.5366829592526403,0.8578142293501956,0.47292134722413237,0.8713586090791337
5,4,0.6648752541661866,0.5953886984361243,4.357564809129247,0.5848229227914996,0.5327172999198564,0.7350923564014566
5,5,0.8564705837172885,0.874275385275107,6.138205500580113,0.7371580075128267,0.6186502292042594,0.9958780225927049
5,6,0.9733498354818839,0.7969100622826865,2.811073857581856,0.6953794029575313,0.5453754314250117,0.8796785132051929
5,7,0.9556971453898898,0.7068078952911782,2.2822374604403457,0.7095772465948857,0.6640202399247845,0.7220312882226314
5,8,1.0934032247389476,0.6938904475030527,2.045619575595752,1.0320983411044464,0.5815193094740687,0.7627005465489404
5,9,1.1855747382067212,0.46274648181403577,2.575833779152073,0.5943936809284255,0.25638381444932873,0.5793761000689721
5,10,0.8609492713449669,1.0047753633764334,4.52165531810884,0.5294224825666857,0.5127442794239082,0.9537751197742029
5,11,1.1225136471464512,1.6224611534084525,4.050051675573226,0.9255864065205293,0.6674724139474466,0.8354485086552572
5,12,0.7528917846673732,0.4804804418034355,3.039528043486232,0.6980467939200741,0.34701320261838403,0.49258620159595057
5,13,1.041996851297361,1.8575664415205984,4.731910259550109,0.7951636138632822,0.8081238591776229,1.003400727482603
5,14,1.1964821971171071,1.3429526579459543,5.250908817490873,1.0139119809196326,0.8410390482007575,0.9904822812045863
5,15,0.9770581256868391,0.7975735566601395,2.851039894810193,0.8121942975978388,0.5849687814545854,0.7346025492676772
