cluster_letter,cluster_label,n,ord,gloss,top_terms
A,3,5,"(1, 1)",q'amja,"q'amja, ajpop, chokoj, ajawab', nim, k'iche', ajaw"
B,8,9,"(1, 2)",ta,"ta, xa, kaj, winaq, wi, e, ulew"
C,4,4,"(2, 2)",ta,"ta, sipakna, k'ajolab', kak'ix, xa, k'u, xcha'"
D,5,14,"(3, 1)",ta,"ta, jun, k'u, xa, junajpu, xib'alb'a, wi"
E,6,9,"(4, 4)",ta,"ta, b'alam, amaq', tojil, wi, xa, e"
F,7,4,"(5, 2)",ta,"ta, puch, ajaw, xa, amaq', ajpop, ajawab'"
G,1,4,"(5, 5)",unim,"unim, ajaw, ja, jun, nim, lolmet, b'elejeb'"
H,2,2,"(5, 9)",le',"le', ajawarem, k'otuja, ajawab', don, tas, tepepul"
