cluster_letter,cluster_label,n,ord,gloss,top_terms
A,5,10,0,kaj,"kaj, b'it, winaq, tz'aq, aj, ulew, qa"
B,1,9,6,kaqix,"kaqix, sipakna, k'ajolab', wuqub', kab'raqan, junajpu, jul"
C,3,25,15,xib'alb'a,"xib'alb'a, kame, jun, junajpu, xcha', b'a, pa"
D,2,5,24,kati't,"kati't, qati't, jun, chowen, ix, b'atz', che'"
E,4,20,49,b'alam,"b'alam, amaq', tojil, kitze, e, majukutaj, b'i'"
F,6,11,69,ajaw,"ajaw, ja, ajawab', tinamit, aj, pop, nim"
