para_id,line_id,token_num,token_str,term_str,chunk_60_id,chunk_80_id,chunk_100_id
0,1,0,POPOL,popol,1,1,1
0,1,1,WUJ,wuj,1,1,1
0,2,0,OJER,ojer,1,1,1
0,2,1,TAQ,taq,1,1,1
0,2,2,TZIJ,tzij,1,1,1
0,3,0,XB'AN,xb'an,1,1,1
0,3,1,PA,pa,1,1,1
0,3,2,TINAMIT,tinamit,1,1,1
0,3,3,"K'ICHE',",k'iche',1,1,1
0,4,0,RAMAQ',ramaq',1,1,1
0,4,1,K'ICHE',k'iche',1,1,1
0,4,2,WINAQ,winaq,1,1,1
0,6,0,Versión,versión,1,1,1
0,6,1,crítica,crítica,1,1,1
0,6,2,y,y,1,1,1
0,6,3,actualizada,actualizada,1,1,1
0,7,0,Ajtz'ib'ab',ajtz'ib'ab',1,1,1
0,8,0,Nab'e,nab'e,1,1,1
1,1,0,Are',are',1,1,1
1,1,1,uxe',uxe',1,1,1
1,1,2,ojer,ojer,1,1,1
1,1,3,tzij,tzij,1,1,1
1,1,4,waral,waral,1,1,1
1,1,5,K'iche',k'iche',1,1,1
1,1,6,ub'i'.,ub'i',1,1,1
2,1,0,Waral,waral,1,1,1
2,1,1,xchiqatz'ib'aj,xchiqatz'ib'aj,1,1,1
2,1,2,wi,wi,1,1,1
2,2,0,xchiqatikib'a',xchiqatikib'a',1,1,1
2,2,1,wi,wi,1,1,1
2,2,2,ojer,ojer,1,1,1
2,2,3,tzij,tzij,1,1,1
2,3,0,utikarib'al,utikarib'al,1,1,1
2,3,1,uxe'nab'al,uxe'nab'al,1,1,1
2,3,2,puch,puch,1,1,1
2,4,0,ronojel,ronojel,1,1,1
2,4,1,xb'an,xb'an,1,1,1
2,4,2,pa,pa,1,1,1
2,4,3,tinamit,tinamit,1,1,1
2,4,4,K'iche',k'iche',1,1,1
2,5,0,ramaq',ramaq',1,1,1
2,5,1,K'iche',k'iche',1,1,1
2,5,2,winaq,winaq,1,1,1
2,6,0,are,are,1,1,1
2,6,1,k'ut,k'ut,1,1,1
2,6,2,xchiqak'am,xchiqak'am,1,1,1
2,6,3,wi,wi,1,1,1
2,7,0,uk'utunisaxik,uk'utunisaxik,1,1,1
2,7,1,uq'alajob'isaxik,uq'alajob'isaxik,1,1,1
2,7,2,utzijoxik,utzijoxik,1,1,1
2,7,3,puch,puch,1,1,1
2,8,0,ewaxib'al,ewaxib'al,1,1,1
2,8,1,saqirib'al,saqirib'al,1,1,1
2,8,2,rumal,rumal,1,1,1
2,8,3,tz'aqol,tz'aqol,1,1,1
2,8,4,b'itol1,b'itol,1,1,1
2,9,0,alom2,alom,1,1,1
2,9,1,k'ajolom3,k'ajolom,1,1,1
2,10,0,Jun,jun,1,1,1
2,10,1,Ajpu,ajpu,1,1,1
2,10,2,"Wuch',",wuch',1,1,1
2,10,3,Jun,jun,1,1,1
2,10,4,Ajpu,ajpu,1,1,1
2,10,5,Utiw,utiw,1,1,1
2,11,0,Saqinim,saqinim,1,1,1
2,11,1,"Aq,",aq,1,1,1
2,11,2,Saqinim4,saqinim,1,1,1
2,11,3,"Tzis,",tzis,1,1,1
2,12,0,Tepew6,tepew,1,1,1
2,12,1,Q'ukumatz,q'ukumatz,1,1,1
2,13,0,uk'u'x,uk'u'x,1,1,1
2,13,1,cho,cho,1,1,1
2,13,2,uk'u'x,uk'u'x,1,1,1
2,13,3,palo,palo,1,1,1
2,14,0,ajraxalaq,ajraxalaq,1,1,1
2,14,1,ajraxatzel,ajraxatzel,1,1,1
2,15,0,chuchaxik,chuchaxik,1,1,1
2,15,1,rachb'ixik,rachb'ixik,1,1,1
2,15,2,rachtzijoxik,rachtzijoxik,1,1,1
2,15,3,ri,ri,1,1,1
2,15,4,iyom,iyom,1,1,1
2,15,5,mamon,mamon,1,1,1
2,16,0,Xpiyakok8,xpiyakok,1,1,1
2,16,1,Xmukane,xmukane,1,1,1
2,16,2,ub'i',ub'i',1,1,1
2,17,0,matzanel,matzanel,1,1,1
2,17,1,"ch'uqunel,",ch'uqunel,1,1,1
2,18,0,kamul,kamul,1,1,1
2,18,1,iyom,iyom,1,1,1
2,18,2,kamul,kamul,1,1,1
2,18,3,mamom,mamom,1,1,1
2,18,4,chuchaxik,chuchaxik,1,1,1
2,18,5,pa,pa,1,1,1
2,18,6,K'iche',k'iche',1,1,1
2,18,7,tzij.,tzij,1,1,1
3,1,0,Ta,ta,1,1,1
3,1,1,xkitzijoj,xkitzijoj,1,1,1
3,1,2,ronojel,ronojel,1,1,1
3,2,0,ruk',ruk',1,1,1
3,2,1,xkib'an,xkib'an,1,1,1
3,2,2,chik,chik,1,1,1
3,3,0,chi,chi,1,1,1
3,3,1,saqil,saqil,1,1,1
3,3,2,k'olem,k'olem,1,1,1
3,3,3,saqil,saqil,1,1,1
3,3,4,tzij,tzij,1,1,1
3,4,0,wa'e,wa'e,1,1,1
3,4,1,xchiqatz'ib'aj,xchiqatz'ib'aj,1,1,1
3,4,2,chupan,chupan,1,1,1
3,4,3,chik,chik,1,1,1
3,4,4,uch'ab'al9,uch'ab'al,1,1,1
3,4,5,dios,dios,1,1,1
3,5,0,pa,pa,1,1,1
3,5,1,kristyano'il,kristyano'il,1,1,1
3,5,2,chik,chik,1,1,1
3,6,0,xchiqelesaj,xchiqelesaj,1,1,1
3,7,0,rumal,rumal,1,1,1
3,7,1,maja,maja,1,1,1
3,7,2,b'i,b'i,1,1,1
3,7,3,chik,chik,1,1,1
3,7,4,ilb'al,ilb'al,1,1,1
3,7,5,re,re,1,1,1
3,7,6,Popo,popo,1,1,1
3,7,7,Wuj.10,wuj,1,1,1
3,8,0,Ilb'al,ilb'al,1,1,1
3,8,1,saq,saq,1,1,1
3,8,2,petenaq,petenaq,1,1,1
3,8,3,ch'aqa11,ch'aqa,1,1,1
3,8,4,palo.,palo,1,1,1
3,9,0,Utzijoxik,utzijoxik,1,1,1
3,9,1,qamujib'al,qamujib'al,1,1,1
3,10,0,ilb'al,ilb'al,1,1,1
3,10,1,saq,saq,1,1,1
3,10,2,k'aslem,k'aslem,1,1,1
3,10,3,chuchaxik.,chuchaxik,1,1,1
3,11,0,K'o,k'o,1,1,1
3,11,1,nab'e,nab'e,1,1,1
3,11,2,wujil,wujil,1,1,1
3,11,3,ojer,ojer,1,1,1
3,11,4,tz'ib'am,tz'ib'am,1,1,1
3,11,5,puch,puch,1,1,1
3,12,0,xa,xa,1,1,1
3,12,1,ewal,ewal,1,1,1
3,12,2,uwach,uwach,1,1,1
3,12,3,ilol,ilol,1,1,1
3,12,4,re,re,1,1,1
3,12,5,b'isol,b'isol,1,1,1
3,12,6,re,re,1,1,1
3,13,0,nim,nim,1,1,1
3,13,1,upeyoxik,upeyoxik,1,1,1
3,13,2,utzijoxik,utzijoxik,1,1,1
