topic_letter,topic_id,top_terms,gloss,ord
A,2,"k'iche', unim, ajpop, nija'ib'ab', q'amja, ajawab', b'elejeb', ch'okoj, ajawarem, q'alel",k'iche',0
B,4,"b'itol, tz'aqol, tz'aq, b'it, alom, k'ajolom, ajb'it, q'ukumatz, saqil, chawaxoq",b'itol,2
C,8,"ch'o, kej, iwati't, jab', kati't, uje', iqajaw, tz'ikin, xe'oponik, nimachikop",ch'o,9
D,6,"q'apojib', k'oy, xchitij, xaq, k'ax, xib'an, iwumal, chiwij, retal, kati't",q'apojib',16
E,5,"sipakna, kaqix, lal, kab'raqan, q'apoj, omuch', in, ume'al, kuchumakik', ik'",sipakna,20
F,3,"b'atz', chowen, rixoqil, uk'ajol, ajpu, kiqajaw, xepixab'ik, katz, aj, nik'aj",b'atz',32
G,7,"kame, ajal, kotz'i'j, xib'alb'a, tukur, sel, samajel, tze', patan, kik'",kame,34
H,0,"tew, xe'ok, sotz', xech'akatajik, xib'alb'a, chupam, utukel, xajawax, ujolom, xe'oponik",tew,42
I,1,"k'itze', b'alam, amaq', tojil, iq'ib'alam, majukutaj, aq'ab', tamub', ilokab', tulan",k'itze',99
