topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, alom, k'ajolom, b'itol, tz'aqol, tz'ite, q'ukumatz, tz'aq, kiej, b'itik",b'it,0
B,4,"jul, sipakna, kaqix, o', much', kab'raqan, tap, chimalmat, nimarisay, kab'al",jul,4
C,6,"ajal, kame, tukur, q'apoj, ch'ami'ya, kuchuma, puj, b'atz', chowen, chub'",ajal,9
D,1,"kame, q'ala, xpeq, chaj, xajoj, tijob'al, xare, ku'lel, samajel, aji",kame,11
E,5,"ch'o, kati't, qati't, chowen, mixk'ina', b'atz', ati't, ab'ix, k'at, je'",ch'o,14
F,0,"amaq', tojil, q'apojib', k'ixb', tulan, kitze, jaq'awitz, xawi, b'alam, awilix",amaq',30
G,2,"q'alel, pop, ajawarem, k'iq'ab', ismachi', le', tuja, tinamit, amaq', tzik'",q'alel,43
