topic_letter,topic_id,top_terms,gloss,ord
A,3,"qaholom, alom, bit, xpiyacoc, qucumatz, bitol, tzacol, ahbit, zaquihal, tziquin",alom,1
B,4,"capohib, caquix, zipacna, omuch, cabrracan, xpuch, hul, cabal, cabracan, tap",capohib,7
C,0,"came, batz, zamahel, xibalba, ixcatit, xpec, xbalanque, catit, capoh, chouen",came,16
D,2,"ahpop, εalel, nimha, camha, ahauarem, chiizmachi, vnim, le, vnimha, cotuha",ahpop,49
E,1,"iqui, amac, tohil, tulan, hacavitz, balam, quitze, ahquixb, vcabavil, chab",iqui,50
