cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,13,1,cah,"cah, vinac, ah, v, bit, vleu, quih"
B,1,8,8,zipacna,"zipacna, caquix, qaholab, omuch, vvcub, hun, hul"
C,2,28,16,hun,"hun, xibalba, came, ahpu, cate, xqha, mi"
D,3,20,50,balam,"balam, tohil, amac, quitze, mahucutah, acab, e"
E,5,11,70,ahau,"ahau, ahauab, tinamit, ahpop, quiche, εalel, amac"
