cluster_letter,cluster_label,n,ord,gloss,top_terms
A,2,10,1,kaj,"kaj, winaq, alom, tz'aqol, uk'ux, ulew, e"
B,3,9,7,kak'ix,"kak'ix, sipakna, k'ajolab', wuqub', -, junajpu, omuch'"
C,1,29,16,jun,"jun, xib'alb'a, junajpu, xcha', k'ate, pa, xecha'"
D,5,19,49,b'alam,"b'alam, amaq', tojil, kitze', e, majukutaj, q'ij"
E,4,13,68,ajaw,"ajaw, ajawab', ajpop, puch, k'iche', ja, amaq'"
