cluster_letter,cluster_label,n,ord,gloss,top_terms
A,7,10,0,kaj,"kaj, b'it, winaq, tz'aq, aj, ulew, qa"
B,1,9,6,kaqix,"kaqix, sipakna, k'ajolab', wuqub', kab'raqan, junajpu, jul"
C,3,8,15,q'apoj,"q'apoj, xcha', jun, kame, junajpu, ajal, kik'"
D,4,17,17,xib'alb'a,"xib'alb'a, kame, xecha', b'a, k'ate, pa, jun"
E,2,5,24,kati't,"kati't, qati't, jun, chowen, ix, b'atz', che'"
F,5,9,49,b'alam,"b'alam, tojil, k'ab'awil, kitze, q'ij, b'i', q'aq'"
G,6,11,58,b'alam,"b'alam, amaq', e, tojil, q'apojib', aj, kitze"
H,8,11,69,ajaw,"ajaw, ja, ajawab', tinamit, aj, pop, nim"
