para_id,C,B,A,D
0,1.7509588754761249e-88,2.8937668877233963e-83,0.011615037439418248,3.2560378756349788e-96
1,8.856495222905626e-117,2.1858182942958305e-90,0.009679274936476735,2.191453790520453e-97
2,2.7082920192804483e-27,2.8168733156175324e-19,0.01820998363960932,0.0014564095350863989
3,6.764553737059324e-31,0.0116565806515631,0.00685221305418098,5.267127785310901e-38
4,0.010584217576446153,0.012659984840101687,4.405736418327562e-07,0.0001938048647760636
5,5.7389013957235585e-37,0.01416332713315195,6.91038873875236e-54,7.155187537534395e-54
6,0.014873092485955865,5.4167535891450054e-09,8.888549683548507e-34,1.1647798346873631e-80
7,0.011476021299956233,1.1828428174239966e-18,4.574966419685608e-115,1.8171292271741905e-62
8,0.009355578531385893,0.007470605377588151,6.763535782450297e-09,9.603767504722785e-37
9,0.015241104884455361,0.0006792773405770541,7.073214806137207e-34,2.385207586108241e-94
10,0.018608318853358854,0.0007096967798907607,2.8867033839106714e-81,1.6597139569061592e-60
11,0.02032212500921493,4.1340350676832856e-26,3.4325009740485334e-74,1.3339692939775272e-28
12,0.015901994159448204,0.0038767319095138423,2.1153207333370287e-36,2.925164910924905e-41
13,0.01242005713171307,1.5044163837568036e-14,4.203882381844079e-37,0.009544918073910441
14,0.0151777692098003,0.009957997237455201,3.2168232237998413e-06,0.003136228131597933
15,0.01778654166224373,0.001872037782910041,1.2870697406691248e-69,8.757169724092793e-43
16,0.015200409024888466,3.578138997120892e-35,3.084810142179432e-44,5.981847255441379e-47
17,0.01826760673200085,1.0287507018060768e-41,3.999846017785156e-84,1.9590573103395036e-49
18,0.013484219845364928,4.393602330135708e-61,7.799478883178019e-55,2.29549725888873e-47
19,0.019088312616038258,3.310983364848043e-11,1.2530684486110216e-15,1.1258641533877858e-35
20,0.011249315700864878,0.0076909197786313825,1.0991035956356145e-16,4.797066853966225e-23
21,0.012178589356990984,3.522678378020777e-07,2.5487842853193015e-34,3.646836679399281e-46
22,0.012678182255627895,0.007144684398530098,2.389645855709274e-13,0.0037794298927000605
23,0.017479147567989864,1.1776900520561958e-35,3.629601207365042e-40,0.005718803415005285
24,0.01762060118391097,1.429574488862042e-38,7.64266588719566e-10,4.689334432695384e-16
25,0.021127007494008376,3.4321667517083953e-34,4.609486453608762e-19,2.199553212212846e-32
26,0.02006334570937433,2.257324993884243e-09,3.0548897187522325e-30,0.0026878687942167795
27,0.021380510220549497,9.511459781526251e-28,1.7873251882840286e-24,1.8005245463262366e-20
28,0.02279339584330148,6.119854390606097e-17,0.00032706477209425047,0.0009682091056570227
29,0.025340332068344285,1.0013658265518972e-20,4.2949202760606053e-60,2.3345318920506826e-10
30,0.020657391390850426,0.002370021882575142,5.404989644001472e-13,0.004754966678327441
31,0.020584370154671194,3.834454378363702e-10,1.2882580604547444e-47,0.0012510404852685564
32,8.40078567074896e-62,9.949757288701055e-69,5.776052775684369e-53,0.012172777144784005
33,3.937097646960427e-61,1.123258533359289e-30,6.961112507968249e-17,0.01836340309723905
34,0.010966794951767219,5.715208340138017e-26,1.7302714987048071e-18,0.011584659708123833
35,0.001399714806797757,2.3200287041401442e-35,0.0204854973753895,1.048997250892984e-08
36,3.5639741245519924e-19,8.959791802579495e-39,0.011284339810196307,1.545875464244033e-28
37,2.214127074962761e-33,1.0280894181801297e-51,0.0015791579748186332,0.01612044594018769
38,3.6608001958711535e-50,1.4074749401940361e-74,1.4964037503719686e-67,0.012339741131077699
39,0.012931581513577185,1.1983505060389e-26,0.007447110611905601,0.0032684292779890673
40,0.013709678855633345,2.135961287154974e-62,1.4833239172828054e-14,0.005391339081480067
41,1.6296958212231215e-46,1.5983256069178675e-73,4.086743970490298e-132,0.013957429986945625
42,0.0030604090405146156,9.643649213329552e-20,4.322019236932856e-22,0.01673456264426578
43,0.017466038609581413,1.2862458495403576e-37,1.380198828758281e-23,0.001817908002882635
44,0.010139247375586288,3.1945101031943214e-45,6.902423020275161e-33,2.670675315234278e-32
45,0.014205347010580445,2.0981875871608876e-41,1.4567445235596423e-56,8.50702907599646e-17
