topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, alom, k'ajolom, b'itol, tz'aqol, tzuqul, q'o'l, kiej, k'amo, xpiyakok",b'it,0
B,4,"sipakna, xqakamuluj, kaqix, much', o', echa', kab'raqan, pan, xb'alanke, chub'",sipakna,8
C,0,"kati't, kame, xpeq, tukur, wak, ch'o, ajal, tew, q'eb'al, xib'alb'a",kati't,15
D,5,"xajoj, q'apojib', kame, tepepul, atz'iyaq, xk'astaj, tas, don, wuq', k'iq'ab'",xajoj,33
E,2,"ik'i, tojil, kitze, tamub', releb'al, tulan, amaq', b'alam, ilokab', wonon",ik'i,42
F,1,"q'alel, pop, ch'okoj, tzik', lolmet, nijaib'ab', k'am, chujujunal, le'el, tasel",q'alel,65
