term_str,df,dp,dh,sig
wi?,12,0.15,0.4105448391249309,True
wij,1,0.0125,0.07902410118609204,False
wij!,1,0.0125,0.07902410118609204,False
wij-,1,0.0125,0.07902410118609204,False
wij:,1,0.0125,0.07902410118609204,False
wij;,1,0.0125,0.07902410118609204,False
wila,3,0.0375,0.17763620978123273,True
wila!,1,0.0125,0.07902410118609204,False
wila',1,0.0125,0.07902410118609204,False
winaq,46,0.575,0.459060529827451,True
winaq!,3,0.0375,0.17763620978123273,True
winaq-,1,0.0125,0.07902410118609204,False
winaq:,3,0.0375,0.17763620978123273,True
winaq;,2,0.025,0.13304820237218407,True
winaq?,2,0.025,0.13304820237218407,True
winaqil,1,0.0125,0.07902410118609204,False
winaqil?,1,0.0125,0.07902410118609204,False
winaqirem,3,0.0375,0.17763620978123273,True
winaqirem:,1,0.0125,0.07902410118609204,False
winaqirik,2,0.025,0.13304820237218407,True
winaqirisay,1,0.0125,0.07902410118609204,False
winaqiroq:,1,0.0125,0.07902410118609204,False
wiqitalik,1,0.0125,0.07902410118609204,False
wiy,1,0.0125,0.07902410118609204,False
wiy-,1,0.0125,0.07902410118609204,False
wiy:,1,0.0125,0.07902410118609204,False
wiy?,1,0.0125,0.07902410118609204,False
wochoch,1,0.0125,0.07902410118609204,False
wochoch!,1,0.0125,0.07902410118609204,False
wok,2,0.025,0.13304820237218407,True
wonon,4,0.05,0.21609640474436814,True
wonowoj,1,0.0125,0.07902410118609204,False
wub',6,0.075,0.28027241956246546,True
wub'anik,3,0.0375,0.17763620978123273,True
wuch',4,0.05,0.21609640474436814,True
wuj,2,0.025,0.13304820237218407,True
wujil,1,0.0125,0.07902410118609204,False
wuk',1,0.0125,0.07902410118609204,False
wuklajuj,2,0.025,0.13304820237218407,True
wulanik,1,0.0125,0.07902410118609204,False
wulij,1,0.0125,0.07902410118609204,False
wumal,1,0.0125,0.07902410118609204,False
wuq,2,0.025,0.13304820237218407,True
wuq',1,0.0125,0.07902410118609204,False
wuqlajuj,1,0.0125,0.07902410118609204,False
wuqub',35,0.4375,0.5217822215997981,True
wuqub'ix,2,0.025,0.13304820237218407,True
xa,79,0.9875,0.017920504876380965,False
xab'ajir,1,0.0125,0.07902410118609204,False
xab'ajirik,1,0.0125,0.07902410118609204,False
xab'ik,1,0.0125,0.07902410118609204,False
xajawar,1,0.0125,0.07902410118609204,False
xajawarik,2,0.025,0.13304820237218407,True
xajawax,3,0.0375,0.17763620978123273,True
xajaxik,1,0.0125,0.07902410118609204,False
xajb'akyej,1,0.0125,0.07902410118609204,False
xajoj,1,0.0125,0.07902410118609204,False
xajol,1,0.0125,0.07902410118609204,False
xajol;,1,0.0125,0.07902410118609204,False
xajol?,1,0.0125,0.07902410118609204,False
xak'i,1,0.0125,0.07902410118609204,False
xaki,1,0.0125,0.07902410118609204,False
xalan,1,0.0125,0.07902410118609204,False
xalaxik,1,0.0125,0.07902410118609204,False
xaloq',1,0.0125,0.07902410118609204,False
xalq'at,1,0.0125,0.07902410118609204,False
xalqat,1,0.0125,0.07902410118609204,False
xan,3,0.0375,0.17763620978123273,True
xanawal,1,0.0125,0.07902410118609204,False
xapoy,1,0.0125,0.07902410118609204,False
xaq,3,0.0375,0.17763620978123273,True
xaq'anik,1,0.0125,0.07902410118609204,False
xaqi,7,0.0875,0.3075251526226038,True
xaqin,1,0.0125,0.07902410118609204,False
xaqinik,1,0.0125,0.07902410118609204,False
xaraxoj,1,0.0125,0.07902410118609204,False
xaraxoxinaq,1,0.0125,0.07902410118609204,False
xare,5,0.0625,0.25,True
xariqo?,1,0.0125,0.07902410118609204,False
xata,2,0.025,0.13304820237218407,True
xawax,1,0.0125,0.07902410118609204,False
xawi,53,0.6625,0.3935300617147582,True
xax,6,0.075,0.28027241956246546,True
xaxi,1,0.0125,0.07902410118609204,False
xayab'aj,1,0.0125,0.07902410118609204,False
xb'alanke,30,0.375,0.5306390622295664,True
xb'alanke!,1,0.0125,0.07902410118609204,False
xb'alanke:,5,0.0625,0.25,True
xb'alanke;,1,0.0125,0.07902410118609204,False
xb'an,9,0.1125,0.3546003480125681,True
xb'anataj,1,0.0125,0.07902410118609204,False
xb'anatajik,3,0.0375,0.17763620978123273,True
xb'anik,4,0.05,0.21609640474436814,True
xb'anik:,1,0.0125,0.07902410118609204,False
xb'aninaq,1,0.0125,0.07902410118609204,False
xb'anomoq,1,0.0125,0.07902410118609204,False
xb'anowik,1,0.0125,0.07902410118609204,False
xb'aqiyalo,1,0.0125,0.07902410118609204,False
xb'e,15,0.1875,0.45281953111478324,True
xb'e'ije'ik,1,0.0125,0.07902410118609204,False
xb'e'ik',1,0.0125,0.07902410118609204,False
xb'e'uk'ama',1,0.0125,0.07902410118609204,False
xb'e'uk'ama';,1,0.0125,0.07902410118609204,False
xb'ek,8,0.1,0.33219280948873625,True
xb'ek'ola,1,0.0125,0.07902410118609204,False
xb'ek;,1,0.0125,0.07902410118609204,False
xb'ekewaj,1,0.0125,0.07902410118609204,False
xb'ekichapa',1,0.0125,0.07902410118609204,False
xb'ekik'ama',2,0.025,0.13304820237218407,True
xb'ekik'ub'a',1,0.0125,0.07902410118609204,False
xb'ekina'oj,1,0.0125,0.07902410118609204,False
xb'ekiwiqa,1,0.0125,0.07902410118609204,False
xb'ekixima',1,0.0125,0.07902410118609204,False
xb'ekiya',3,0.0375,0.17763620978123273,True
xb'ekuya'oq,2,0.025,0.13304820237218407,True
xb'erila,1,0.0125,0.07902410118609204,False
xb'etixoq,1,0.0125,0.07902410118609204,False
xb'eya'o,1,0.0125,0.07902410118609204,False
xb'eya'oq,2,0.025,0.13304820237218407,True
xb'in,1,0.0125,0.07902410118609204,False
xb'ina'j,1,0.0125,0.07902410118609204,False
xb'inaj,1,0.0125,0.07902410118609204,False
xb'inije'ik,1,0.0125,0.07902410118609204,False
xb'inik,1,0.0125,0.07902410118609204,False
xb'iq',1,0.0125,0.07902410118609204,False
xb'ix,1,0.0125,0.07902410118609204,False
xb'ochi,1,0.0125,0.07902410118609204,False
xb'utik,1,0.0125,0.07902410118609204,False
xch'ak,1,0.0125,0.07902410118609204,False
xch'akataj,5,0.0625,0.25,True
xch'akatajinaqoq,1,0.0125,0.07902410118609204,False
xch'akow,1,0.0125,0.07902410118609204,False
xch'ataj,1,0.0125,0.07902410118609204,False
xch'aw,8,0.1,0.33219280948873625,True
xch'awik,7,0.0875,0.3075251526226038,True
xch'awik:,1,0.0125,0.07902410118609204,False
xch'eqe,1,0.0125,0.07902410118609204,False
xch'ijtajik,2,0.025,0.13304820237218407,True
xch'ob'och'ox,1,0.0125,0.07902410118609204,False
xcha,1,0.0125,0.07902410118609204,False
xcha',43,0.5375,0.4814190453495796,True
xcha'o,1,0.0125,0.07902410118609204,False
xcha'taj,1,0.0125,0.07902410118609204,False
xcha'w,1,0.0125,0.07902410118609204,False
xchakachob',1,0.0125,0.07902410118609204,False
