topic_letter,topic_id,top_terms,gloss,ord
A,3,"b'it, k'ajolom, alom, tz'aqol, b'itol, tz'aq, rati't, chawaxoq, q'ukumatz, xmuqane",b'it,0
B,4,"sipakna, kaqix, kab'raqan, jul, k'ajolab', kab'al, much', o', lal, xb'alanke",sipakna,6
C,1,"kame, q'apoj, xib'alb'a, ajal, kati't, xb'alanke, cha'j, samajel, chaj, tukur",kame,15
D,0,"b'alam, amaq', tojil, q'apojib', k'ajb', tulan, k'ixb', jaq'awitz, xawi, k'ul",b'alam,49
E,2,"q'alel, pop, ajawarem, k'iq'ab', ismachi', tuja, tzik', ajawab', le', amaq'",q'alel,69
