term_str,n,gloss
chi'umarik,1,
chib'an,2,
chib'ana',2,
chib'anan,1,
chib'anatajik,1,
chib'anik,2,
chib'ano,3,
chib'antajoq,1,
chib'aqir,1,
chib'e,8,
chib'e'ik'ama',1,
chib'e'iwila',2,
chib'e'ub'ana',1,
chib'ek,6,
chib'ekik'ulu',1,
chib'ekipusu',1,
chib'ekiya',1,
chib'enawila',1,
chib'enukamisaj,1,
chib'epusu,1,
chib'eta'ak'oto,1,
chib'etajiwub'aj,1,
chib'etak'ama',1,
chib'etakiqasaj,1,
chib'etaqila',1,
chib'eya',1,
chib'eya'oq,1,
chib'ij,2,
chib'in,1,
chib'inik,2,
chib'ochij,1,
chib'ulij,1,
chibeya'oq,1,
chich'ak,1,
chich'akonisaj,1,
chich'akuxik,1,
chich'aw,2,
chich'awik,2,
chich'ij,1,
chichajij,1,
chichajin,2,
chichapo,1,
chichapow,1,
chichaqijik,2,
chichili,1,
chichu',2,
chijamataj,1,
chijixtajik,1,
chijok',1,
chijureje',1,
chik,327,
chik'am,5,
chik'ama,1,
chik'ama',2,
chik'amowik,1,
chik'ase',1,
chik'astaj,4,
chik'at,2,
chik'atik,1,
chik'i'arik,1,
chik'imal,1,
chik'isik,1,
chik'istz'uk,1,
chik'o'inik,1,
chik'oje',3,
chik'olob'a',1,
chik'otox,1,
chik'ow,1,
chik'owik,1,
chik'oxk'otik,1,
chik'ulwachij,2,
chik'ut,1,
chik'utu,1,
chik'utun,1,
chik'utunisaj,1,
chik'utunoq,1,
chika'yik,1,
chikab'chiyanik,1,
chikaj,1,
chikam,4,
chikamije'ik,1,
chikamik,5,
chikamisaj,1,
chikanab'ij,1,
chikanaj,2,
chikanajik,1,
chikaw,1,
chike'ik,1,
chike'x,1,
chikecha'j,1,
chiki'kot,2,
chikib'ano,14,
chikich'ab'ej,1,
chikichajij,1,
chikik',1,
chikik'am,3,
chikik'amo,2,
chikik'at,2,
chikik'jolomax,1,
chikik'olob'a',1,
chikik'ololej,1,
chikik'ulelaj,1,
chikik'ulmaj,1,
chikik'ut,1,
chikikamisaj,1,
chikiki',1,
chikikikij,1,
chikikiro,1,
chikikot,1,
chikikuch,1,
chikikuyu,1,
chikil,5,
chikilawachij,1,
chikilixtaj,1,
chikilo,5,
chikilo',1,
chikiluk,1,
chikimaj,2,
chikina'o,1,
chikinab'aj,1,
chikipach,1,
chikipaqab'a',3,
chikipis,1,
chikipixab'aj,1,
chikipus,2,
chikiq'osij,2,
chikiq'u'j,1,
chikira',1,
chikiraquj,2,
chikiriq,1,
chikisachixtaj,1,
chikisik'ijoq,1,
chikisipaj,1,
chikisiqo,1,
chikisolwachij,1,
chikiti',1,
chikitijtob'ela',1,
chikitoq'o',1,
chikitzukuj,1,
chikiwachib'ej,1,
chikiwe'ej,1,
chikiwe'j,2,
chikiwub'aj,1,
chikixulela',1,
chikiya',3,
chikiya'o,3,
chikiyuq,1,
chikoj,2,
chikojo,1,
chikokib'ej,1,
chikop,28,
chikoq'eb'ej,1,
chikoq'ib'ej,1,
chikos,1,
chikosos,1,
chikowin,1,
chikoyob'ej,1,
chikub'axoq,1,
chikub'e',1,
chikuch'aj,1,
chikuchaj,1,
chikuk'a'j,1,
chikuk'aj,1,
chikunaj,2,
chikuxlab'ij,1,
chikuyu,1,
chilajajik,1,
chilib'lutik,1,
chilik,1,
chilolinik,1,
chiloq',1,
chiloq'oj,1,
chilu'u,1,
chimachka'y,1,
chimala',1,
chimalkan,1,
chimalmat,6,
chimatzalaj,1,
chimayo,1,
chimeq'oj,2,
chimesk'utajinaq,1,
chimich',1,
chimuq,1,
chimuqun,1,
china,3,
chinamit,13,
chinaq,2,
chinawachir,1,
chinb'ij,1,
chineb'owik,1,
chinkanaj,1,
chinwulij,1,
chinya',1,
chipatanij,1,
chipe,12,
chipetik,2,
chipitzkab'an,1,
chipoq',1,
chipoq'otajik,1,
chiporoj,2,
chipuk'ab'in,1,
chipune',1,
chipus,1,
chipusu',4,
chiq'ab'an,1,
chiq'ajaj,1,
chiq'alajob'oq,1,
chiq'atat,3,
chiq'atatat,1,
chiq'equmar,1,
chiq'ijila',1,
chiq'osin,1,
chiqab'an,3,
chiqab'ano,2,
chiqab'ij,4,
chiqach'akb'ej,1,
chiqach'ako,1,
chiqachap,1,
chiqachokonisaj,1,
chiqaj,4,
chiqak'astaj,1,
chiqakamisaj,1,
chiqakanab'ij,1,
chiqakanaj,1,
chiqakoj,3,
chiqakunaj,1,
chiqaq'aluj,1,
chiqaq'ijila',1,
chiqariq,1,
chiqariqo,2,
chiqasaj,1,
chiqata',1,
chiqataqej,1,
chiqatij,1,
chiqatix,2,
chiqatoq'ob'aj,1,
chiqatz'onoj,3,
chiqatzaq,1,
chiqawinaqb'itoj,1,
chiqawinaqtz'aqoj,1,
chiqawiq,1,
chiqawiqo,1,
chiqawub'aj,2,
chiqaxekeb'a',1,
chiqaxib'ij,1,
chiqaxik'aj,1,
chiqaya',4,
chiqaya'o,2,
chiqelesaj,1,
chiqil,3,
chiqilo,2,
chiquk'a'j,1,
chiraj,2,
chirajsaqirik,1,
chirayin,2,
chirecha'j,2,
chireqaj,1,
chireqalej,1,
chirilo,1,
chisach,2,
chisachik,1,
chisaqirik,1,
chisepesoj,1,
chisetet,1,
chisik'in,1,
chisilab',1,
chisilab'ik,1,
chisilonik,1,
chisipojik,1,
chisisa',1,
chisolmuquj,1,
chisonob'a',1,
chita',2,
chitaja',1,
chitajin,2,
chitanenik,1,
chitaninik,1,
chiteleb'a',1,
chitewnik,1,
chiti'onik,1,
chitija',1,
chitijowoq,1,
chitik,1,
chitikar,1,
chitikoj,1,
chitiltotik,1,
chitix,1,
chitiyik,1,
chito',1,
chitoq'ob'aj,4,
chitu'nik,1,
chitz'apitaj,1,
chitz'aqatajik,1,
chitz'ib'aj,1,
chitz'ininik,2,
chitz'onoj,1,
chitzaq,1,
chitzayab'a',1,
chitzijon,1,
chitzijox,1,
chitzijoxik,1,
chitzininik,1,
chiwa'katik,1,
chiwach,2,
chiwachin,2,
chiwachinik,1,
chiwaj,2,
chiwar,1,
chiwaraj,1,
chiwe,9,
chiwech,3,
chiwechaj,1,
chiwelesaj,1,
chiwi',1,
chiwij,5,
chiwil,4,
chiwila,1,
chiwila',4,
chiwinaqir,9,
chiwinaqirik,1,
chiwoyob'ej,1,
chiwulij,1,
chixaj,1,
chixaqinik,1,
chixe'on,1,
chixeke',1,
chixib'in,2,
chixib'inik,1,
chixima',1,
chixiririk,1,
chixurulaj,1,
chiya,1,
chiya',13,
chiyeko'ub',1,
chiyipowik,1,
chiyojojik,1,
chiyojomanik,1,
chiyojyox,1,
chiyom,1,
chiyoq'owik,1,
chiyuch,1,
chiyulinik,1,
cho,3,
choj,3,
chojib'al,1,
chojim,2,
chok,13,
chokiitajik,1,
chokik,1,
choko,1,
cholan,1,
cholochik,1,
cholom,1,
cholon,2,
chomija,1,
chomija',1,
chopon,5,
choq',6,
choq'ik,3,
chowen,27,
christowal,1,
chu,1,
chub',1,
chub'an,2,
chub'ano,3,
chub'aq',2,
chub'aq'ala',1,
chub'aq'itila',1,
chub'ik,1,
chub'inik,7,
chub'uchu,1,
chuch,6,
chucha'xik,9,
chuchakuj,1,
chuchax,4,
