topic_letter,topic_id,top_terms,gloss,ord
A,3,"caca, cah, tzucul, bit, cool, vinaquiric, zaquiroc, vpatan, ahtzac, vtinamit",caca,0
B,4,"vtzihoxic, pan, echa, zaquihal, canabe, paxil, vvachinic, rixoquil, ahpu, tziquin",vtzihoxic,2
C,0,"came, qaholab, xibalba, ahpu, zamahel, xbalanque, batz, xpec, tucur, catit",came,11
D,2,"amac, iqui, tohil, ilocab, capohib, mahucutah, tulan, balam, qui, hacavitz",amac,51
E,1,"vnim, εalel, ahau, nimha, chocoh, camha, vnimha, beleheb, lolmet, ahpop",vnim,72
