cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,6,0,cah,"cah, vinac, bit, qaholom, alom, bitol, tzacol"
B,2,24,4,xibalba,"xibalba, came, ahpu, xqha, qaholab, vvcub, mi"
C,4,13,30,balam,"balam, tohil, amac, quitze, mahucutah, acab, quih"
D,3,7,43,ahau,"ahau, ahauab, ahpop, tinamit, quiche, εalel, amac"
