chap_num,G,E,H,A,C,F,D,B
1,0.06354282095700653,0.039015272442137594,0.08211904082298324,0.13788116557366203,0.046381040451354945,0.049584183476728924,0.043512917145432733,0.03715421247468342
2,0.07389905810432798,0.06748846070366156,0.07570223301548393,0.12619577630940645,0.07058332052547145,0.07091359307638248,0.06513523372783155,0.06320610338786416
3,0.0548932125225581,0.04644689569547557,0.05778829915394475,0.13351438993130307,0.0588433647751341,0.0514448256831108,0.039989996882198384,0.03962281445518792
4,0.05358010722081202,0.05288788069507719,0.04053914749727401,0.09097016698510693,0.06714743448226664,0.08889273488903127,0.03268705422697821,0.045513810940585986
5,0.06637684803917772,0.06274722831478682,0.04140598754129594,0.11864210033902238,0.06352965670634972,0.06243577572171937,0.042337841622422864,0.05179283162496276
6,0.06450829864446872,0.06673036079346639,0.06310856630396051,0.14029740794318593,0.06030550913989079,0.0715178912898762,0.04420562768908163,0.0589565372908858
7,0.07395869546197491,0.05360944862947367,0.0815629424645354,0.14259803431849447,0.06294832311944172,0.07539526200473438,0.05331941841387865,0.06136936146549548
8,0.07273473768236229,0.06683018694760866,0.05700192766422979,0.10065183352996723,0.06702020479851731,0.07061127102743571,0.05523725444812141,0.07673915786142477
9,0.06675557245048187,0.051357461720933036,0.06320182572151391,0.09430471302145589,0.12159850400587983,0.051037620196743426,0.057301999547372834,0.04690446816005695
10,0.07175189810644093,0.06551276058946953,0.05692518589934025,0.0663118468089457,0.16803349536794637,0.05729117283401732,0.06013466593122616,0.046842578217017136
11,0.04550828037651081,0.08345155930996274,0.04929763530082795,0.047261484550778436,0.15212509757116568,0.06878475972010328,0.07308538466409546,0.04758271954568129
12,0.0545181062736923,0.08238977745673377,0.0402228444966479,0.05309352680222375,0.1538939939033059,0.07632444381303122,0.06126487627199103,0.04927732859012868
13,0.05029182144885674,0.07713960343094256,0.03717191258013255,0.04161305207519788,0.14204404828734044,0.0685459599681669,0.05783222014290908,0.04298368456901684
14,0.06379646954970489,0.07710656629586071,0.0540501136423758,0.06523975080471713,0.1403494827374792,0.08039282048654961,0.0671993676312079,0.05090909650355437
15,0.06765695858002688,0.0742792844431244,0.05388959726542101,0.06208211600638214,0.11756314587770152,0.10905675941580233,0.09118441920520448,0.026921008053175977
16,0.05668079946414698,0.08750114727568716,0.08007644328240805,0.0657170308792485,0.07630249138144818,0.08459855801766974,0.11473871208381592,0.04910459490462443
17,0.044866151965043746,0.10273156140690398,0.05541311313711415,0.03856583332564558,0.06602826728129166,0.06736371701781989,0.10164479801527601,0.03859410884181414
18,0.05702881985809,0.1207507966819465,0.06345477289726913,0.04561285494680516,0.07246897660374317,0.08050626544381494,0.09398530409288817,0.044040959063181374
19,0.05295346091851243,0.07665227803456748,0.06659778760911936,0.05587999845875222,0.0868709866265914,0.07115633522666176,0.12191990490304269,0.044461368595436195
20,0.05204749252263235,0.0984914078938596,0.052559965867119675,0.04763989651297111,0.07706052594025603,0.07246274895259179,0.11261363287655544,0.05366375742117953
21,0.052662257995701976,0.07394259446337166,0.049621739525695076,0.04811670434448861,0.08418305184389824,0.08658070358521765,0.11932065196493331,0.04281833452501221
22,0.06249241574943218,0.08484417568787812,0.05460470114461052,0.05940373847721313,0.08531261267909071,0.1278709174123176,0.08092396478867027,0.058020192878552646
23,0.05670780048884175,0.0733331760804722,0.0583546834076721,0.06850285206583728,0.06698794649436361,0.1370706027230815,0.06857458657301685,0.05660713439865731
24,0.06120814227173713,0.08204444054779507,0.049657221799735494,0.052383559323784704,0.08090117996553939,0.11631739684129863,0.06254557431354026,0.05039632743467334
25,0.0506691774587275,0.08451788610021144,0.049266916366456456,0.047994452348794056,0.06552227259555889,0.12284525471446903,0.06188357441235955,0.04995950952550034
26,0.044983166213935756,0.11746210297800438,0.03870506554227083,0.03680374199515902,0.07744439775850424,0.07284214461844997,0.07209876101942056,0.03820322827924368
27,0.04248855053886627,0.09939452759602842,0.036529327427924314,0.03928499018494359,0.0825826768974704,0.08353482772313194,0.05993042228026707,0.045966772539284634
28,0.053585205395052266,0.1320537288471332,0.04587474244108399,0.04838147598486745,0.0906634181986257,0.0834306263180003,0.08621609075388499,0.052144866826660745
29,0.05993320786834354,0.12648576112196322,0.04916765346686827,0.04863198407051369,0.08336048740434021,0.07370277897034525,0.059181070452084046,0.05036138347218898
30,0.10883414424138517,0.11737885479616772,0.057021668836123744,0.05647903760923256,0.06569022822550623,0.08476724256827303,0.06338870397120257,0.0873612810838597
31,0.08732596631281764,0.1242442731278448,0.06517505279027985,0.060520049380665616,0.07771071665191295,0.08360991218731975,0.07477324006534067,0.057948486819030365
32,0.05528590747519283,0.10074753982205652,0.05000961530249633,0.04957116844150149,0.07665155446291945,0.07383492823824504,0.07402169066359687,0.04529585283183881
33,0.038544284671432824,0.1391771441204691,0.032219324950353574,0.04014198878284885,0.07217588659082948,0.0845522779573488,0.08697612863805752,0.042705926689981695
34,0.05285668294876137,0.11692845531610033,0.04356569393525836,0.05171161188153035,0.07577751737544937,0.06868970693884399,0.05435967628611765,0.056691410536192664
35,0.05169647209617256,0.12111832900086254,0.06619178612001245,0.05428070219268938,0.05174914267125658,0.06273793892338135,0.05116388100071415,0.062257896109321476
36,0.047982329542227906,0.11250463669546996,0.06682401564891846,0.04372251686631605,0.06661291423275155,0.06563687969651884,0.06969297284586705,0.058739922108267645
37,0.058804888375711545,0.12623013555089813,0.08367578222785557,0.055020533247533414,0.0754388309710994,0.07327849121748634,0.07888753684296493,0.06287077691360834
38,0.07074982072193574,0.13463615119100172,0.079595527340431,0.05305490439192595,0.0849355955105368,0.09044086502253781,0.09257825201618768,0.060513911751049775
39,0.08183878484449242,0.08001169546614807,0.08931235770228403,0.08481432630486162,0.06709694449622985,0.09780021833751394,0.0637970694637524,0.0654411366753108
40,0.07312864145080863,0.06848936489989203,0.05634685723138598,0.08373992995048431,0.07904857596983665,0.06672702847437297,0.05105923752448892,0.04658711365332331
41,0.07304398719766723,0.05433043751162762,0.062193333717863404,0.13763511462436132,0.054625813523813446,0.05358046859051507,0.04509387000592755,0.056681594882725665
42,0.05280069276790876,0.0402583082636828,0.052308890301594205,0.11191105773705708,0.038346946852294866,0.03893343443565843,0.04059747148197213,0.04216971291296555
43,0.2435241869596886,0.03778398721581129,0.07547831362170526,0.12149642690706433,0.04453870007673892,0.04030200003735203,0.02897635040052241,0.11392119029072796
44,0.10119857888195631,0.05572118775752426,0.08058117763207653,0.1320196362422648,0.05716787091503123,0.06360553950473459,0.04790078010696404,0.07706301900112957
45,0.06727179066388096,0.07661033247175371,0.06806641123328144,0.1516358897288278,0.06749916184126721,0.0766483991860039,0.043760119262726806,0.05189393381410374
46,0.051584161979651655,0.051887984679169566,0.03979227472674393,0.12290489910606792,0.04969967978154061,0.041964825637380805,0.040057468504611664,0.04417116706104808
47,0.1347624058825279,0.04744290980806812,0.09803929117905262,0.09827555382849587,0.051007194591470455,0.05700138917285345,0.043766493439557234,0.07858163742055832
48,0.21894755418626538,0.037039495088891,0.06969357569145565,0.04113213800232572,0.059860222544192994,0.03268579639479367,0.03845245294638607,0.10275367879810206
