topic_letter,topic_id,top_terms,gloss,ord
A,2,"unim, ajpop, b'elejeb', nija'ib'ab', k'iche', ajal, q'amja, ch'okoj, ajawarem, q'alel",unim,0
B,1,"amaq', iq'ib'alam, tojil, k'itze', b'alam, kab'awil, saqil, majukutaj, q'apojib', kik'ajol",amaq',3
C,0,"k'ajolab', ch'o, sipakna, kotz'i'j, ulew, kaqix, kacha', samajel, sel, jul",k'ajolab',6
D,3,"ajpu, b'atz', chowen, rixoqil, xb'alanq'e, kiqajaw, xech'akatajik, xk'is, ati't, patan",ajpu,32
