topic_letter,topic_id,top_terms,gloss,ord
A,3,"alom, k'ajolom, ajb'it, xpiyakok, tz'aqol, b'itol, ajtz'aq, chawaxoq, b'it, q'anajal",alom,0
B,4,"q'apojib', sipakna, omuch', xtaj, xpuch, k'ul, lal, jul, jutiq'ab', tap",q'apojib',5
C,0,"q'apoj, kame, chowen, b'atz', tukur, kati't, mixkina', ajal, xb'e'uk'ama', walib'",q'apoj,11
D,5,"ch'o, kame, xpeq, kotz'i'j, ku'lel, wak, aji, mixiti'owik, uk', uje'",ch'o,21
E,1,"tojil, tulan, amaq', ukab'awil, jaqawitz, iq'ib'alam, k'itze', kiq'aq', ajk'ixb', ajkajb'",tojil,37
F,2,"unim, q'alel, kikab', ismachi', k'otuja, ajpop, q'amja, ajtzik', utinamit, kawisimaj",unim,52
