cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,5,0,cah,"cah, ah, vinac, bit, qaholom, alom, tzacol"
B,2,12,3,xqha,"xqha, qaholab, che, caquix, atit, capoh, curi"
C,1,7,8,xibalba,"xibalba, came, ahpu, vvcub, ahau, xbalanque, ahauab"
D,3,10,24,balam,"balam, amac, tohil, quitze, mahucutah, acab, hacavitz"
E,5,6,34,ahau,"ahau, ahauab, ahpop, quiche, tinamit, amac, εalel"
