cluster_letter,cluster_label,n,ord,gloss,top_terms
A,1,19,0,balam,"balam, are, beleheb, vacamic, vae, ri, cut"
B,2,24,1,ahau,"ahau, vnim, quiche, chuvach, εalel, ha, hun"
C,5,28,2,ta,"ta, qui, ri, cut, chi, xa, vi"
D,4,21,11,ri,"ri, cut, ta, hun, qui, xa, chi"
E,3,17,51,qui,"qui, ta, ri, balam, amac, vi, cut"
