cluster_letter,cluster_label,n,ord,gloss,top_terms
A,5,6,0,kaj,"kaj, ulew, k'ajolom, alom, tz'aqol, b'itol, winaq"
B,1,6,4,kaqix,"kaqix, sipakna, k'ajolab', wuqub', jun, xcha', jul"
C,2,6,10,jun,"jun, q'apoj, che', b'atz', chowen, ajpu, ati't"
D,3,18,11,jun,"jun, xib'alb'a, kame, ajpu, k'a, pa, kati't"
E,4,16,36,b'alam,"b'alam, tojil, amaq', k'itze', e, q'ij, majukutaj"
F,6,8,52,ajaw,"ajaw, ajawab', ajpop, puch, k'iche', unim, ja"
