topic_letter,topic_id,top_terms,gloss,ord
A,3,"alom, tz'aqol, k'ajolom, ajb'it, ajtz'aq, pan, b'itol, q'ukumatz, kityo'jil, b'itol;",alom,0
B,4,"omuch', sipakna, kak'ix, -, lal, jul, kab'raqan, chimalmat, pak'alik, xim",omuch',5
C,1,"b'atz', chowen, ajal, q'apoj, tukur, kame, kotz'i'j, wak, ch'amya, mixitiyowik?",b'atz',11
D,5,"q'apojib', ch'o, xtaj, kati't, xpuch', utux, xkixaj, tojil, qakamik, uje'",q'apojib',21
E,0,"tulan, tojil, ukab'awil, amaq', b'alam, jakawitz, kitze', usaqirik, kamisanel, majukutaj",tulan,28
F,2,"q'alel, unim, kikab', ismachi', k'otuja, ajtzik', q'amja, ajpop, le', chokoj",q'alel,52
