term_str,df,dp,dh,sig
0,3,0.06,0.2435336213432141,True
1,1,0.02,0.11287712379549449,False
2,1,0.02,0.11287712379549449,False
3,1,0.02,0.11287712379549449,False
4,1,0.02,0.11287712379549449,False
5,1,0.02,0.11287712379549449,False
6,1,0.02,0.11287712379549449,False
7,1,0.02,0.11287712379549449,False
8,1,0.02,0.11287712379549449,False
9,1,0.02,0.11287712379549449,False
a,29,0.58,0.45580761289534855,True
abah,16,0.32,0.5260339807279119,True
abanel,1,0.02,0.11287712379549449,False
abanoh,1,0.02,0.11287712379549449,False
abi,1,0.02,0.11287712379549449,False
abix,2,0.04,0.185754247590989,True
abixic,2,0.04,0.185754247590989,True
abixom,1,0.02,0.11287712379549449,False
ac,1,0.02,0.11287712379549449,False
aca,1,0.02,0.11287712379549449,False
acaab,1,0.02,0.11287712379549449,False
acab,22,0.44,0.5211468113004681,True
acaba,1,0.02,0.11287712379549449,False
acabal,2,0.04,0.185754247590989,True
acah,2,0.04,0.185754247590989,True
acahau,2,0.04,0.185754247590989,True
acalab,1,0.02,0.11287712379549449,False
acam,2,0.04,0.185754247590989,True
acan,4,0.08,0.29150849518197797,True
acanic,1,0.02,0.11287712379549449,False
acanoc,9,0.18,0.4453076138998342,True
acaroc,4,0.08,0.29150849518197797,True
acarroc,1,0.02,0.11287712379549449,False
acavitz,1,0.02,0.11287712379549449,False
ach,1,0.02,0.11287712379549449,False
achac,1,0.02,0.11287712379549449,False
achbilai,2,0.04,0.185754247590989,True
achbilan,1,0.02,0.11287712379549449,False
achih,5,0.1,0.33219280948873625,True
achihab,2,0.04,0.185754247590989,True
achihal,1,0.02,0.11287712379549449,False
achihil,1,0.02,0.11287712379549449,False
achihilal,1,0.02,0.11287712379549449,False
achinac,1,0.02,0.11287712379549449,False
achuch,1,0.02,0.11287712379549449,False
acuil,1,0.02,0.11287712379549449,False
acul,1,0.02,0.11287712379549449,False
ah,24,0.48,0.5082689707457129,True
aha,5,0.1,0.33219280948873625,True
ahache,2,0.04,0.185754247590989,True
ahal,2,0.04,0.185754247590989,True
ahalcana,1,0.02,0.11287712379549449,False
ahalmez,1,0.02,0.11287712379549449,False
ahalpuh,1,0.02,0.11287712379549449,False
ahaltocob,1,0.02,0.11287712379549449,False
aham,4,0.08,0.29150849518197797,True
ahamche,4,0.08,0.29150849518197797,True
ahau,24,0.48,0.5082689707457129,True
ahauab,22,0.44,0.5211468113004681,True
ahaual,1,0.02,0.11287712379549449,False
ahauar,1,0.02,0.11287712379549449,False
ahauarem,7,0.14,0.39711017748039695,True
ahavab,3,0.06,0.2435336213432141,True
ahavah,1,0.02,0.11287712379549449,False
ahbatena,1,0.02,0.11287712379549449,False
ahbit,5,0.1,0.33219280948873625,True
ahbix,3,0.06,0.2435336213432141,True
ahbiz,1,0.02,0.11287712379549449,False
ahcab,1,0.02,0.11287712379549449,False
ahcah,1,0.02,0.11287712379549449,False
ahcahb,7,0.14,0.39711017748039695,True
ahcahb:,1,0.02,0.11287712379549449,False
ahchoc,1,0.02,0.11287712379549449,False
ahchoce,1,0.02,0.11287712379549449,False
ahcot,3,0.06,0.2435336213432141,True
ahe,1,0.02,0.11287712379549449,False
ahi,2,0.04,0.185754247590989,True
ahilam,1,0.02,0.11287712379549449,False
ahilan,11,0.22,0.48057340565023404,True
ahilatal,1,0.02,0.11287712379549449,False
ahlabal,4,0.08,0.29150849518197797,True
ahloε,1,0.02,0.11287712379549449,False
ahmac,1,0.02,0.11287712379549449,False
ahnaoh,3,0.06,0.2435336213432141,True
ahnim,1,0.02,0.11287712379549449,False
ahoxbal,1,0.02,0.11287712379549449,False
ahpatan,1,0.02,0.11287712379549449,False
ahpop,6,0.12,0.3670672426864282,True
ahpopcam,1,0.02,0.11287712379549449,False
ahpopcamha,3,0.06,0.2435336213432141,True
ahpopol,1,0.02,0.11287712379549449,False
ahpu,25,0.5,0.5,True
ahqiquina,1,0.02,0.11287712379549449,False
ahqiquinaha,2,0.04,0.185754247590989,True
ahquibaha,1,0.02,0.11287712379549449,False
ahquih,1,0.02,0.11287712379549449,False
ahquix,1,0.02,0.11287712379549449,False
ahquixb,8,0.16,0.42301699036395596,True
ahqun,1,0.02,0.11287712379549449,False
ahrelebal,1,0.02,0.11287712379549449,False
ahtinamit,1,0.02,0.11287712379549449,False
ahtzac,4,0.08,0.29150849518197797,True
ahtzibenai,1,0.02,0.11287712379549449,False
ahtzic,3,0.06,0.2435336213432141,True
ahuchan,1,0.02,0.11287712379549449,False
ahvqhan,1,0.02,0.11287712379549449,False
ahxayabah,1,0.02,0.11287712379549449,False
ahxob,1,0.02,0.11287712379549449,False
ahzib,1,0.02,0.11287712379549449,False
ahzibab,1,0.02,0.11287712379549449,False
ahzic,1,0.02,0.11287712379549449,False
ahzivan,1,0.02,0.11287712379549449,False
ahzu,2,0.04,0.185754247590989,True
al,11,0.22,0.48057340565023404,True
ala,2,0.04,0.185754247590989,True
alaba,1,0.02,0.11287712379549449,False
alabilaxic,1,0.02,0.11287712379549449,False
alac,1,0.02,0.11287712379549449,False
alachinac,1,0.02,0.11287712379549449,False
alai,1,0.02,0.11287712379549449,False
alal,1,0.02,0.11287712379549449,False
alanel,1,0.02,0.11287712379549449,False
alay,1,0.02,0.11287712379549449,False
alcual,2,0.04,0.185754247590989,True
alib,1,0.02,0.11287712379549449,False
alibla,1,0.02,0.11287712379549449,False
alom,6,0.12,0.3670672426864282,True
alubic,1,0.02,0.11287712379549449,False
ama,1,0.02,0.11287712379549449,False
amac,20,0.4,0.528771237954945,True
amactan,1,0.02,0.11287712379549449,False
amaquel,3,0.06,0.2435336213432141,True
amaquelab,1,0.02,0.11287712379549449,False
amaquil,1,0.02,0.11287712379549449,False
anam,1,0.02,0.11287712379549449,False
anavi,1,0.02,0.11287712379549449,False
anilabic,1,0.02,0.11287712379549449,False
anim,6,0.12,0.3670672426864282,True
anom,1,0.02,0.11287712379549449,False
aon,3,0.06,0.2435336213432141,True
apa,19,0.38,0.530452897005833,True
apachina,1,0.02,0.11287712379549449,False
apachinac,1,0.02,0.11287712379549449,False
apan,1,0.02,0.11287712379549449,False
apanoc,9,0.18,0.4453076138998342,True
apetic,1,0.02,0.11287712379549449,False
apon,2,0.04,0.185754247590989,True
aponoc,6,0.12,0.3670672426864282,True
aqui,1,0.02,0.11287712379549449,False
aqux,1,0.02,0.11287712379549449,False
araroc,1,0.02,0.11287712379549449,False
araxal,1,0.02,0.11287712379549449,False
are,50,1.0,0.0,False
areba,1,0.02,0.11287712379549449,False
arecut,4,0.08,0.29150849518197797,True
arepu,1,0.02,0.11287712379549449,False
arepuch,1,0.02,0.11287712379549449,False
areri,3,0.06,0.2435336213432141,True
areta,4,0.08,0.29150849518197797,True
at,19,0.38,0.530452897005833,True
ata,1,0.02,0.11287712379549449,False
ataca,2,0.04,0.185754247590989,True
atala,1,0.02,0.11287712379549449,False
atalabe,2,0.04,0.185754247590989,True
atan,3,0.06,0.2435336213432141,True
ate,1,0.02,0.11287712379549449,False
atin,1,0.02,0.11287712379549449,False
atit,9,0.18,0.4453076138998342,True
ato,1,0.02,0.11287712379549449,False
atoob,1,0.02,0.11287712379549449,False
atzaca,1,0.02,0.11287712379549449,False
atziac,1,0.02,0.11287712379549449,False
atzih,1,0.02,0.11287712379549449,False
atziiac,2,0.04,0.185754247590989,True
atziyac,1,0.02,0.11287712379549449,False
au,1,0.02,0.11287712379549449,False
auazinic,1,0.02,0.11287712379549449,False
aue,1,0.02,0.11287712379549449,False
auech,1,0.02,0.11287712379549449,False
auetaam,1,0.02,0.11287712379549449,False
auib,1,0.02,0.11287712379549449,False
auilix,3,0.06,0.2435336213432141,True
auiquicab,1,0.02,0.11287712379549449,False
aulix,9,0.18,0.4453076138998342,True
auvmal,1,0.02,0.11287712379549449,False
aval,1,0.02,0.11287712379549449,False
ave,1,0.02,0.11287712379549449,False
ave;,1,0.02,0.11287712379549449,False
avech,1,0.02,0.11287712379549449,False
avecha,1,0.02,0.11287712379549449,False
avi,1,0.02,0.11287712379549449,False
avila,1,0.02,0.11287712379549449,False
avilix,3,0.06,0.2435336213432141,True
avion,1,0.02,0.11287712379549449,False
avitzmal,1,0.02,0.11287712379549449,False
avlix,3,0.06,0.2435336213432141,True
avmal,1,0.02,0.11287712379549449,False
avq,1,0.02,0.11287712379549449,False
avvmal,1,0.02,0.11287712379549449,False
aztapulul,1,0.02,0.11287712379549449,False
aε,3,0.06,0.2435336213432141,True
aεab,3,0.06,0.2435336213432141,True
aεabal,2,0.04,0.185754247590989,True
ba,9,0.18,0.4453076138998342,True
ba:,1,0.02,0.11287712379549449,False
bac,8,0.16,0.42301699036395596,True
bah,2,0.04,0.185754247590989,True
bal,5,0.1,0.33219280948873625,True
bala,17,0.34,0.5291737384982911,True
bala-xeqha,1,0.02,0.11287712379549449,False
balam,23,0.46,0.5153353475101474,True
balamacab,2,0.04,0.185754247590989,True
balami,1,0.02,0.11287712379549449,False
balamiha,1,0.02,0.11287712379549449,False
balamil,1,0.02,0.11287712379549449,False
balamquitze,1,0.02,0.11287712379549449,False
bam,1,0.02,0.11287712379549449,False
ban,1,0.02,0.11287712379549449,False
bano,3,0.06,0.2435336213432141,True
banoh,8,0.16,0.42301699036395596,True
banol,5,0.1,0.33219280948873625,True
baquil,3,0.06,0.2435336213432141,True
bare,1,0.02,0.11287712379549449,False
bari,2,0.04,0.185754247590989,True
bate,4,0.08,0.29150849518197797,True
batena,1,0.02,0.11287712379549449,False
batz,6,0.12,0.3670672426864282,True
batza,1,0.02,0.11287712379549449,False
be,18,0.36,0.5306152277996684,True
beal,1,0.02,0.11287712379549449,False
bec,5,0.1,0.33219280948873625,True
behoh,1,0.02,0.11287712379549449,False
beleh,2,0.04,0.185754247590989,True
belehe,1,0.02,0.11287712379549449,False
beleheb,5,0.1,0.33219280948873625,True
beletac,1,0.02,0.11287712379549449,False
benac,1,0.02,0.11287712379549449,False
benam,1,0.02,0.11287712379549449,False
beyaa,1,0.02,0.11287712379549449,False
bi,19,0.38,0.530452897005833,True
bic,2,0.04,0.185754247590989,True
bichoc,1,0.02,0.11287712379549449,False
bih,1,0.02,0.11287712379549449,False
biih,1,0.02,0.11287712379549449,False
bil,1,0.02,0.11287712379549449,False
binibal,2,0.04,0.185754247590989,True
biquitahic;,1,0.02,0.11287712379549449,False
bit,8,0.16,0.42301699036395596,True
bitic,1,0.02,0.11287712379549449,False
bitoh,1,0.02,0.11287712379549449,False
bitol,8,0.16,0.42301699036395596,True
bix,7,0.14,0.39711017748039695,True
bixic,2,0.04,0.185754247590989,True
biz,3,0.06,0.2435336213432141,True
bizol,1,0.02,0.11287712379549449,False
bizonic,1,0.02,0.11287712379549449,False
bocotahic,1,0.02,0.11287712379549449,False
bocotahinac,1,0.02,0.11287712379549449,False
boh,1,0.02,0.11287712379549449,False
bolah,1,0.02,0.11287712379549449,False
bolol,1,0.02,0.11287712379549449,False
bulih,1,0.02,0.11287712379549449,False
butic,2,0.04,0.185754247590989,True
buz,1,0.02,0.11287712379549449,False
bÿ,1,0.02,0.11287712379549449,False
bÿc,2,0.04,0.185754247590989,True
bÿh,2,0.04,0.185754247590989,True
bÿnic,1,0.02,0.11287712379549449,False
ca,44,0.88,0.16229362260093627,False
caal,1,0.02,0.11287712379549449,False
caam,9,0.18,0.4453076138998342,True
caanic,1,0.02,0.11287712379549449,False
cab,14,0.28,0.5142203549607938,True
caba,3,0.06,0.2435336213432141,True
cabac,1,0.02,0.11287712379549449,False
cabaha,1,0.02,0.11287712379549449,False
cabal,2,0.04,0.185754247590989,True
caban,5,0.1,0.33219280948873625,True
cabana,1,0.02,0.11287712379549449,False
cabano,1,0.02,0.11287712379549449,False
cabantah,1,0.02,0.11287712379549449,False
cabarinac,1,0.02,0.11287712379549449,False
cabauil,16,0.32,0.5260339807279119,True
cabavil,5,0.1,0.33219280948873625,True
cabavilal,1,0.02,0.11287712379549449,False
cabchÿal,1,0.02,0.11287712379549449,False
cabe,2,0.04,0.185754247590989,True
cabec,1,0.02,0.11287712379549449,False
cabi,3,0.06,0.2435336213432141,True
cabicac,1,0.02,0.11287712379549449,False
cabichal,5,0.1,0.33219280948873625,True
cabihir,1,0.02,0.11287712379549449,False
cabil,1,0.02,0.11287712379549449,False
cabin,1,0.02,0.11287712379549449,False
cabiquilahic,1,0.02,0.11287712379549449,False
cabit,3,0.06,0.2435336213432141,True
cabix,2,0.04,0.185754247590989,True
cabixic,3,0.06,0.2435336213432141,True
cablahu,1,0.02,0.11287712379549449,False
cabobal,1,0.02,0.11287712379549449,False
cabolovic,1,0.02,0.11287712379549449,False
cabracan,4,0.08,0.29150849518197797,True
cabrracan,2,0.04,0.185754247590989,True
cabÿh,5,0.1,0.33219280948873625,True
cac,4,0.08,0.29150849518197797,True
caca,2,0.04,0.185754247590989,True
cacab,1,0.02,0.11287712379549449,False
cacabal,1,0.02,0.11287712379549449,False
cacabano,1,0.02,0.11287712379549449,False
cacabauil,1,0.02,0.11287712379549449,False
cacacah,1,0.02,0.11287712379549449,False
cacachaah,1,0.02,0.11287712379549449,False
cacachaquimah,1,0.02,0.11287712379549449,False
cacacoho,1,0.02,0.11287712379549449,False
cacah,4,0.08,0.29150849518197797,True
cacahau,4,0.08,0.29150849518197797,True
cacahtanabec,1,0.02,0.11287712379549449,False
cacal,1,0.02,0.11287712379549449,False
cacamaihah,1,0.02,0.11287712379549449,False
cacamic,2,0.04,0.185754247590989,True
cacamuchih,1,0.02,0.11287712379549449,False
cacan,6,0.12,0.3670672426864282,True
cacanahic,1,0.02,0.11287712379549449,False
cacanaht,1,0.02,0.11287712379549449,False
cacanao,1,0.02,0.11287712379549449,False
cacanic,1,0.02,0.11287712379549449,False
cacaraih,1,0.02,0.11287712379549449,False
cacat,2,0.04,0.185754247590989,True
cacatat,1,0.02,0.11287712379549449,False
cacatocobah,1,0.02,0.11287712379549449,False
cacatzinin,1,0.02,0.11287712379549449,False
