cluster_letter,cluster_label,n,ord,gloss,top_terms
A,7,20,0,k'iche',"k'iche', chi, are, ajaw, ajawab', b'elejeb', ri"
B,5,24,3,xa,"xa, ta, wi, ri, k'ut, chi, ulew"
C,2,9,22,ri,"ri, kaqix, k'ajolab', ta, sipakna, k'ut, chi"
D,1,9,32,jun,"jun, ajpu, ri, kiqajaw, wuqub', b'atz', chowen"
E,3,47,34,ri,"ri, chi, k'ut, ta, jun, wi, xa"
F,9,8,98,b'alam,"b'alam, rixoqil, chi, ub'i', k'itze', majukutaj, aq'ab'"
G,4,24,99,chi,"chi, ta, wi, ri, b'alam, tojil, amaq'"
H,8,8,129,chi,"chi, ajawab', ta, puch, nay, ajaw, wi"
I,6,4,133,unim,"unim, ajaw, ja, jun, nim, ajawab', lolmet"
