chap_num,D,C,E,A,B
1,1.6695642431875382e-14,3.882246446691816e-17,1.124934357984067e-09,0.3893424460557179,4.140212672949052e-13
2,5.131116555451199e-13,3.4117677407533564e-17,9.888568636234524e-10,0.39180046466936846,3.6383687129417957e-13
3,4.112127750616143e-12,7.971226995291279e-21,2.2950295089984123e-12,0.40962109961833504,2.889188200801775e-22
4,1.0228412881911764e-08,5.435077019746412e-10,4.590815082399397e-13,0.39284614191278294,1.3443489293568692e-13
5,1.278448807045205e-08,6.793846274663087e-10,9.450805032164634e-17,0.38865240248639493,1.6804361609737895e-13
6,3.744410732042564e-10,1.9898299826096096e-11,2.768392138872749e-18,0.38599838315704577,4.940822749888584e-15
7,3.413076931519409e-11,4.2670075064006167e-10,1.2005610279957652e-19,0.39205636161097684,9.735980119318078e-08
8,0.003285620569404367,0.0010161188139144054,6.497978682836885e-10,0.4012324716330205,0.000567096523011251
9,7.456032755940138e-07,7.027795059109711e-19,6.023113705073023e-08,0.10121473560501047,0.2666741913132841
10,3.479482679021476e-07,2.6185304119774285e-15,2.810786395700745e-08,0.04723354328252549,0.28965530162281533
11,4.302701770681664e-14,1.8662844281600765e-08,5.2101417151745834e-11,7.71497188774578e-10,0.3576421174580019
12,3.323591603725849e-15,7.527164040100845e-12,1.9853117669445464e-19,8.538696484959708e-10,0.334056031296212
13,4.8640634288943355e-15,2.4108256192784505e-13,4.7611483380098335e-24,1.1242512198598752e-13,0.3906666963526838
14,1.8944086013050068e-07,2.647964692503665e-05,1.4536149672434596e-09,0.036071129420901564,0.3563535178233757
15,4.753878653433505e-11,7.446141564830369e-05,4.081367216326049e-15,0.08904363742920539,0.3016439255134072
16,2.353226724671782e-09,0.20350485630103726,0.024372530298561113,0.037556908967739194,0.055024669800523486
17,6.557991800627029e-11,0.2724261699732536,0.0032030021486788005,3.1845289461276707e-10,0.005982668350805761
18,0.0022989986595438223,0.27006564060435284,1.4295578246284867e-05,4.808823687144088e-10,1.0313197903503861e-05
19,1.7526993018685946e-07,0.23863374795512807,0.019962663583374313,0.03446067325085864,0.01641318649178656
20,3.332448149829043e-08,0.2683170230130413,0.004741090191119163,0.0054392269824259706,0.030969435458020285
21,4.8534963304504656e-11,0.24337410647755542,8.091414933164572e-11,1.123995202994452e-06,0.04659823701263413
22,0.0009975387337156335,0.28679553149662373,1.8177823397696118e-07,0.00014583286223603277,5.56848475589334e-05
23,9.73131318255784e-07,0.2406590766172448,1.6217552272998246e-14,0.0671539516889419,7.956375243930214e-06
24,0.03967363288709315,0.2820697807459134,4.249578082947667e-12,0.0006318828748528239,0.0008986832472464432
25,5.779915304766134e-08,0.3374855553574702,2.3792928623393296e-16,7.360072467910787e-10,1.4748184966790925e-07
26,3.439130403835412e-14,0.25636116463628544,6.734790044316195e-16,1.220140655142463e-15,0.028309053413771226
27,9.493725053428314e-09,0.25361334350856307,7.589285878172046e-10,1.1579861456797285e-08,0.042003840321585474
28,4.473753647224414e-09,0.2770145050752057,2.354539072438478e-10,3.588042947543768e-09,0.001222591492838852
29,0.031104095980375404,0.2739240940946254,9.770411408492656e-16,4.069228955848594e-14,1.1804474033993292e-07
30,0.031881698377128447,0.27347612289659134,4.913358539487709e-16,4.1708871228166475e-14,8.456593879583976e-08
31,0.031881698377128447,0.27347612289659134,4.913358539487709e-16,4.170887122816647e-14,8.456593879583978e-08
32,0.00936138462066328,0.2946298981065465,4.090444140044524e-12,0.010937264039277366,0.010709963986839627
33,1.0008668503472827e-07,0.29356055994354946,5.016177851827282e-13,0.0003952808687055284,0.00038706517647966245
34,7.62031732192215e-08,0.33128184314521236,1.1466538415404099e-13,1.3662822378798813e-08,0.00026216440882289134
35,1.1286605487383289e-06,0.34052138915226077,0.001148620293899354,2.0261901350572866e-08,0.0002120649121955918
36,2.395859087495482e-06,0.3303436575036579,0.0025789776410183292,2.0685723186120176e-08,9.990548628851849e-11
37,7.274998972381867e-07,0.283003807147094,0.0037213206233277815,6.4387580809598644e-09,1.1784774665942615e-10
38,0.0578622225523545,0.22722578588202785,0.032170200104192366,0.020600484008313113,6.251497228548999e-05
39,0.04118264644521003,0.15574868432136157,0.04401796856581256,0.1177659351747376,4.328721009074415e-05
40,0.0015337658180707636,0.06856104994197591,0.02639600943966578,0.263927961901316,0.006116121812748423
41,2.768057356889455e-13,3.0124209489213675e-08,3.699596859777168e-14,0.383699664592739,0.016281412884179162
42,0.002248682055811194,2.7554372263245375e-08,3.390896507082304e-14,0.3839043238553768,0.014892477187898477
43,0.026359550762374357,6.451474189177885e-15,8.094272540959193e-16,0.38609872594921496,2.507390987597783e-17
44,0.026359550762374357,6.451474189177885e-15,8.094272540959194e-16,0.38609872594921496,2.507390987597783e-17
45,0.027857745083325985,6.3654545670319796e-15,9.493803206543729e-05,0.38495534549952176,1.2277873233782073e-16
46,0.13872412483374655,2.5282348893870124e-21,0.007120352404847898,0.30034519222222666,7.352935594514195e-15
47,0.1541216010142042,2.658064476041265e-12,0.0778903014157917,0.1947153277913911,1.212292126409996e-13
48,0.28509698927621296,1.3534410215711574e-11,9.143882619197464e-05,0.09721377896643614,6.051559315265363e-13
49,0.28509698927621296,1.3534410215711574e-11,9.143882619197464e-05,0.09721377896643614,6.051559315265363e-13
50,0.3235156238914957,1.1889163478779923e-10,2.016521642485584e-05,0.021438817817821035,0.00026633944057491676
51,0.29632521170484993,0.02219525053335092,1.2564080225134323e-15,0.013670519275049746,0.00014605403899966294
52,0.35865165857323067,0.00969124421249673,4.145832372504201e-11,0.005969036478850087,6.859589611723973e-11
53,0.387036007310535,3.9389849283733093e-10,2.9907579163560075e-10,3.8712467687363686e-08,2.063311867348307e-11
54,0.37439276116309306,2.957955378871545e-10,2.2635334072638394e-10,2.907143012893708e-08,0.001173508452096472
55,0.3597903026477581,1.9365057603831726e-16,4.385641212181529e-12,1.3300738308691272e-11,0.002479468649227014
56,0.37723266729444477,7.308131793809224e-13,1.0944355878873412e-05,8.58113423648416e-05,6.41758528447579e-09
57,0.36176077509295745,1.1534204366895099e-10,6.017893686962139e-07,5.771176282516376e-10,2.749296626142644e-12
58,0.3567770973342166,4.8659991046070976e-08,1.441446846462096e-09,4.190854288656322e-08,1.873026096173174e-08
59,0.3263219045201226,0.02804007845745208,2.832424467224939e-10,8.06232051823489e-09,0.0002275655482104208
60,0.31611933800804126,0.005833186235090365,1.2353781166380488e-12,1.9592569505689765e-19,4.733978782041275e-05
61,0.3512601825272513,4.869195490238164e-10,0.012423066065195183,1.5363613115481744e-10,2.0740476820673334e-08
62,0.35835177197681445,2.7766831281364293e-08,0.0008130830717019936,3.67212994829314e-11,0.004952347500962588
63,0.3295880288499769,3.241136883685847e-09,0.01781015753707527,2.785938497465187e-10,0.02887946150770266
64,0.37350419871362645,3.387796599182083e-12,0.011013480012211443,0.0023869490920467875,0.012593380352764054
65,0.282433744410429,2.8890634955071528e-11,0.14023191247768607,0.0002793024246428374,1.0850505752264573e-14
66,0.2719672397256627,3.141905802381279e-11,0.15254957885813597,2.5254160347453824e-15,1.1637058507512164e-18
67,0.09744754973574778,1.1257643104112795e-11,0.29358538195604034,9.05420156503116e-16,7.610451431159669e-17
68,6.135509351082413e-09,4.705130737899001e-18,0.3951305249946518,7.260783065720533e-18,5.389590531286264e-15
