chunk_80_id,C,E,D,A,B
1,3.1196789462996265e-23,2.63718932157635e-22,5.238631060428628e-12,0.024037118138019217,3.6806235357148284e-26
2,1.5690684334229412e-24,6.917884803617048e-19,3.150971146007634e-17,0.025015356351816714,1.482318705392942e-24
3,8.2443504778898e-15,3.0091328470143945e-15,9.649225594129675e-28,0.022283991894628093,4.043939651153341e-21
4,4.926202295865952e-23,2.7337835599197137e-28,3.922759645455044e-28,0.02276021072235565,7.056574473680692e-24
5,1.0059847064918268e-17,2.569220018538501e-25,1.125405336422384e-26,0.02386243843243701,6.52479219339036e-16
6,4.5505043656459355e-08,1.9391599026103707e-12,3.431266810952068e-25,0.023411185838569673,2.928237404140814e-05
7,2.346950186898322e-20,8.480047853674536e-17,2.1942358897860375e-15,0.007840624404013686,0.015465272516916663
8,1.7838404567708304e-15,1.5443829145083624e-23,6.723330677146012e-25,7.019074625518434e-12,0.022645367887897297
9,2.7129887406232012e-14,1.6621909913592915e-19,6.126771983521899e-19,8.803671989004917e-22,0.022108063472979143
10,1.2981049200326347e-18,3.008040952266242e-29,1.3267731025581089e-27,1.6293829308652107e-16,0.026679986057220113
11,2.8067356873195444e-16,8.731367909423668e-31,9.27774899082843e-32,1.124860903263406e-19,0.02070036730660232
12,9.163341850754181e-18,2.422889859479953e-26,2.5770966828485564e-34,3.276325651208239e-28,0.02205320209077583
13,4.717467948422935e-14,4.0867811621357757e-20,2.049009778969646e-24,5.6885370213493705e-21,0.0228052744373359
14,1.8612520776545316e-14,2.1579998554108922e-18,1.1447304133933832e-20,3.017200723586763e-07,0.025145537406204368
15,4.294575597176531e-14,2.806755485442991e-20,1.2301776929678533e-29,3.6909221157503857e-10,0.02122542862039899
16,0.012211727481240098,5.841579395311091e-18,2.8424678327013068e-08,0.010820088935365318,0.0020973236879269063
17,0.02235042694974844,1.076826847345768e-25,3.745852933735482e-08,4.937953301866509e-13,2.1112108353525444e-13
18,0.02176903866459375,6.609125608154983e-22,9.29844441290409e-21,9.746133121882375e-19,9.809246334780309e-05
19,0.022039763404437213,1.7373581631711827e-27,5.760568351536173e-31,6.188925841146184e-19,3.8810345370291924e-19
20,0.022392674243880566,0.0004748218525574092,7.052164918702164e-13,1.1000277139560006e-12,1.5999219895301398e-13
21,0.02158197423666692,9.080220513095189e-21,7.857186951352251e-13,7.193993453574414e-06,1.0268547569450027e-11
22,0.026883486654869993,4.1772169826259026e-16,3.0005759991097976e-12,6.659915278617883e-11,4.6827898493348215e-05
23,0.021938856507016612,3.393635081918965e-18,9.92431332173998e-12,4.182124430422963e-12,0.00196661341048082
24,0.02004153978996644,1.6297186388624304e-17,2.4762608209461852e-23,1.8957049957485626e-05,2.6496761348795283e-09
25,0.02277358168448529,9.402021502121166e-16,3.604585755351635e-13,4.182492782648985e-15,8.219313697764463e-09
26,0.022152113781562704,8.329949233518016e-13,2.2538240726789196e-13,4.8406301380025625e-12,0.0009668627903866605
27,0.020431503804351853,1.0798809692489804e-20,5.55018048273402e-23,0.00043195975744054875,1.8387764453702547e-16
28,0.023589079814490422,3.5078621827823175e-13,1.7003152279209095e-18,3.5289645507999806e-11,5.091494895657146e-19
29,0.017079129590600678,0.007871868339296659,1.1222713083169994e-11,0.0001397855553825777,1.7870992892367866e-10
30,0.021851761267264548,7.108884522502032e-13,6.0489451475803104e-30,9.390123062305587e-06,1.675134094800269e-08
31,0.02677551802068586,8.62978545291862e-23,1.8358042604116406e-25,1.9568823559247352e-17,5.050263229231236e-14
32,0.016411375718047835,2.2477370737136472e-21,1.7464428650160384e-26,1.032277671168261e-16,0.0009649207125384553
33,0.026285995890287482,8.599199796564516e-18,1.1034354272897652e-20,2.614584586391235e-08,2.7634791527378407e-13
34,0.01505846233585883,6.013159338603154e-26,1.974741867008106e-18,1.4218043689030593e-17,1.6894838461061749e-12
35,0.02720688940859521,9.722987833644817e-20,2.01885098719325e-22,5.213184854062602e-24,1.1751135482768507e-10
36,0.018351748991969716,9.424383080217382e-09,1.1062963626567303e-27,2.711565987928988e-19,0.0021269439848788443
37,0.021826749128848907,1.7643029178976452e-27,3.0208263823341796e-21,7.484495244768389e-18,3.2168531361778453e-09
38,0.02329377508606219,0.001671261171594257,8.056112685169129e-27,1.6099041099598242e-20,1.5622014558309882e-16
39,0.02383134269551227,2.5590258090209298e-14,7.424529841841535e-17,0.0021770704318263274,8.251557573597928e-07
40,0.023852953314306372,2.0170421956758505e-22,7.125570216429242e-19,5.032567896502216e-22,9.36551990026175e-10
41,0.022115663549115695,1.4600411970261846e-15,1.7783702941188305e-22,2.0000645592502364e-14,0.006288459440257248
42,0.025229119473723412,4.230726099314902e-22,1.4890637449974087e-18,1.1198938564903822e-17,7.718209908375637e-11
43,0.023952453106357893,2.7527133936239704e-18,4.713466057250204e-12,2.844864214683742e-19,6.691740017452137e-19
44,0.025182329608604923,3.653394992940126e-15,3.0567868496234535e-10,3.3421083934798833e-16,1.6447189521055177e-11
45,0.0033785792445302516,3.912875008164383e-09,4.596412904855085e-13,0.019312634176037995,2.334948057216505e-20
46,4.0286009818560305e-12,1.5268085352033452e-17,3.4040181445819543e-16,0.025765149439580404,2.4457873149650713e-09
47,1.8293273957192094e-20,2.3740405535527895e-09,9.992652239602258e-22,0.028015305297764928,6.129014008103142e-26
48,6.688167961103191e-20,0.002566269043735861,4.6966417907206654e-05,0.02444108108980784,2.83563613716062e-18
49,2.7611197490664364e-16,0.007001170841170609,0.013973493942447016,0.004784143374449314,5.301008244185707e-23
50,1.8342584399393386e-08,0.018389812951819896,5.782797023010235e-08,0.006598512891636945,2.9837094792041196e-15
51,7.806426211739623e-09,0.02183537068657733,4.4066903847164156e-21,7.30170805652868e-14,2.7764470812893283e-12
52,0.0025839871294438665,0.021452753926618242,2.559763860146918e-28,8.275211212092573e-08,8.057348156190878e-15
53,2.9524782234918124e-11,0.02401122472314061,2.4920834085305773e-21,4.801720981540337e-13,2.1340853622675114e-09
54,4.2957391419305865e-12,0.02650403695205461,1.6916012837155476e-12,2.4212123387646783e-10,2.8052023919296667e-16
55,8.707863567945962e-21,0.022673025535389312,1.326581961918341e-16,3.829405007382749e-08,7.857457121511856e-18
56,6.395747923389558e-19,0.024533719135621152,5.371749454333696e-22,2.1807002903363638e-21,4.447169096374549e-30
57,4.0099134081788915e-17,0.02355563408530913,7.950476096774699e-21,2.733211875390153e-13,2.1377437871796128e-14
58,5.1749719074860415e-21,0.02298242529273829,4.322267732056018e-12,1.752511357812831e-17,3.285895702330904e-33
59,1.215943061349793e-13,0.024004549337662356,5.7247507449617e-13,1.4414495417029423e-13,1.152829583199705e-11
60,6.189636365766548e-17,0.024642538715963048,3.136174752549843e-20,6.934637418916895e-22,1.7783145613690522e-09
61,6.55404159703013e-08,0.02158136612310428,1.6913338466765362e-14,1.1157048294533689e-13,5.5796127187641054e-05
62,1.9018694405637532e-13,0.00560493310566342,4.0363996747650264e-12,6.712837954148994e-23,0.02012379827414702
63,2.863249430102546e-11,0.00622464870817496,2.3273630126966423e-18,3.7786342108547453e-23,0.014575858711570477
64,4.479504722519316e-14,0.004785591481421398,4.4406101939297695e-12,1.144776963403958e-20,0.021805684211504375
65,9.347547196717522e-09,0.023566255065334107,1.528531856169235e-19,1.2566595936933122e-17,1.589503238613324e-11
66,5.236619151374614e-15,0.0228337884787214,2.8017683621989716e-12,1.2865733724192802e-19,8.605903768267037e-19
67,5.733147265262851e-06,0.025145260088988285,4.844723652255961e-16,4.079671412439156e-14,0.00010031590430627493
68,3.342289068843499e-16,0.02499960186674281,2.4593548266487213e-08,2.6911895465704836e-11,2.020684630940144e-15
69,6.641140860118001e-14,0.020587937993913247,0.004784324158615307,1.089173665652578e-18,1.6394265472314552e-23
70,4.246477266907131e-15,0.002906693487309642,0.021224513001355645,5.407967046461169e-19,7.229127754314717e-18
71,7.485208268836303e-20,1.337376674554219e-15,0.02291170087794582,1.0463131475187914e-22,1.8360184077121155e-16
72,2.940316105650131e-16,3.14333977245155e-17,0.02318051329529989,1.907441373208652e-25,6.683497924564449e-31
73,1.4559771680208511e-28,9.240587758068e-21,0.020064194094293598,1.8135650299081754e-29,2.2695466085150945e-30
74,1.1428162382735215e-14,1.0326154644432759e-13,0.022789941098578022,1.5509237371221331e-24,1.2630919738367196e-20
75,2.596545655325685e-09,7.229683634761855e-11,0.024522243839550366,9.036318075681343e-14,3.249224831316764e-14
76,5.4131140952928425e-20,1.0913233768984331e-18,0.020823920783928883,1.3958116957064693e-21,1.0684418287515987e-18
77,3.889207537333141e-21,1.662341603306465e-09,0.024442878756022975,9.9797375434622e-17,3.1699336621973908e-22
78,8.052307456515183e-25,8.765009334045015e-16,0.02629056770255312,1.0651446043509973e-10,8.505879982800746e-26
79,3.2471374057863717e-29,0.0010248355462242678,0.019798466454848763,1.9720698054244736e-20,4.458283999958021e-24
80,1.943630445827656e-23,4.290755281092733e-22,0.016827454562021983,7.103997847382929e-25,2.8932050865219755e-24
