para_id,D,B,C,A
0,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
1,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
2,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
3,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
4,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
5,4.735299779986105e-22,1.7722898576811208e-33,0.0006540636843661098,0.021823307967630653
6,1.2178212495059136e-15,6.294496448429877e-21,5.232509474928878e-05,0.02163474719158462
7,1.3237187082864298e-15,6.841843965684495e-21,1.9465006018897375e-30,0.021618350602363227
8,1.3237187082864298e-15,6.841843965684495e-21,1.946500601889737e-30,0.021618350602363227
9,1.3237187082864298e-15,6.841843965684495e-21,1.946500601889737e-30,0.021618350602363227
10,1.3237187082864298e-15,6.841843965684495e-21,1.946500601889737e-30,0.021618350602363227
11,1.3237187082864298e-15,6.841843965684495e-21,1.946500601889737e-30,0.021618350602363227
12,1.0182451602203306e-16,5.262956896682031e-22,1.497308155299812e-31,0.021278411712036607
13,8.768214776930709e-35,1.7869631128108488e-34,1.5349601214309687e-45,0.021250083471176056
14,6.168182844286355e-13,3.457430281967867e-16,3.494931261516519e-36,0.021969252132034125
15,1.2469014781998223e-12,6.989213903332892e-16,7.065022333540692e-36,0.022703886785598825
16,1.2469014781998223e-12,6.989213903332892e-16,7.065022333540692e-36,0.02270388678559882
17,1.2469014781998223e-12,6.989213903332893e-16,7.065022333540692e-36,0.02270388678559882
18,1.2469014781998223e-12,6.989213903332892e-16,7.065022333540692e-36,0.02270388678559882
19,5.709894243601589e-14,3.006118053835056e-17,2.1768936506372575e-16,0.020053920144937242
20,3.62467116573245e-15,4.751385894134178e-23,2.274731567519831e-16,0.019934820520637848
21,3.62467116573245e-15,4.7513858941341773e-23,2.274731567519831e-16,0.019934820520637848
22,2.3923442164759242e-15,7.540785192238263e-06,1.5013228345634694e-16,0.018383073733577348
23,1.8013850737473278e-19,2.217877997717136e-05,1.1198304356746365e-28,0.015370859382224614
24,1.1821619090168474e-19,1.4557122515180048e-05,1.1600106266111212e-17,0.017174690137447685
25,8.59453138464281e-25,6.685542287541384e-09,3.374576368301883e-17,0.02061836703378264
26,8.59453138464281e-25,6.685542287541384e-09,3.374576368301883e-17,0.02061836703378264
27,3.174853873103226e-25,2.513889766975272e-09,1.246578583813009e-17,0.017596437428850482
28,4.5651294582546915e-20,8.962977924713135e-07,3.913368902694786e-42,0.01637782648711908
29,1.3259815115388966e-19,2.599654900303197e-06,5.025833787342999e-32,0.018366296317795072
30,1.0429042873193555e-21,1.9817322908787323e-16,2.8790847832996266e-31,0.021211274713338498
31,4.999597894448546e-23,6.741871473780914e-07,1.4858364296195136e-32,0.019138468360526004
32,1.4279852743950562e-23,6.984384836075848e-07,5.036417748217885e-33,0.019063906980928434
33,1.4279852743950562e-23,6.984384836075848e-07,5.036417748217885e-33,0.01906390698092843
34,1.3545675164137118e-23,0.018892103189094386,2.384715936431861e-05,0.0017200517576777532
35,1.3472864164486197e-23,0.02076563093295661,2.6212166904581612e-05,4.075830295699996e-21
36,1.3472864164486197e-23,0.02076563093295661,2.6212166904581612e-05,4.075830295699996e-21
37,1.3472864164486197e-23,0.02076563093295661,2.6212166904581612e-05,4.075830295699996e-21
38,1.3472864164486197e-23,0.02076563093295661,2.6212166904581612e-05,4.075830295699996e-21
39,6.814445018615269e-22,0.02216133568678812,5.035835021077255e-06,2.1164425089091897e-16
40,8.402914157041159e-22,0.022493241085565125,5.980839454175697e-26,2.6197331691143304e-16
41,8.402914157041158e-22,0.022493241085565125,5.980839454175697e-26,2.619733169114331e-16
42,8.402914157041159e-22,0.022493241085565125,5.980839454175697e-26,2.6197331691143304e-16
43,6.314510148829026e-08,0.019018841154539442,3.7834751025807377e-26,2.4949842149418712e-17
44,6.979195427653124e-08,0.018653114846010423,3.5521735918865314e-26,2.7007856250024322e-24
45,6.979195427653124e-08,0.018653114846010423,3.5521735918865314e-26,2.7007856250024322e-24
46,6.979195427653124e-08,0.018653114846010423,3.5521735918865314e-26,2.700785625002432e-24
47,6.882262157824721e-08,0.01864091184294637,5.263528938423683e-15,6.494389672928695e-19
48,8.137438882560303e-20,0.017774498625398347,3.789740835639832e-13,4.675941388930723e-17
49,8.137438882560303e-20,0.017774498625398347,3.7897408356398317e-13,4.675941388930723e-17
50,8.137438882560303e-20,0.017774498625398347,3.789740835639831e-13,4.675941388930722e-17
51,8.137438882560303e-20,0.017774498625398347,3.7897408356398317e-13,4.6759413889307235e-17
52,8.137438882560304e-20,0.017774498625398347,3.7897408356398317e-13,4.675941388930722e-17
53,3.659533848881318e-17,0.020988311349239758,0.0005050233385346595,3.0780844426927472e-09
54,3.890148358986503e-17,0.021191288994956054,0.0005369195493655449,3.2724897729622208e-09
55,3.8901483589865025e-17,0.021191288994956054,0.0005369195493655449,3.2724897729622208e-09
56,3.308443931477735e-17,0.021066208376106968,0.00045663251394639803,3.5826251127567863e-08
57,2.1620614226084285e-28,0.020354812356402782,1.9999001664362017e-21,2.2097576883188743e-07
58,2.1620614226084285e-28,0.020354812356402782,1.9999001664362017e-21,2.209757688318874e-07
