cluster_letter,cluster_label,n,ord,gloss,top_terms
A,4,37,1,ta,"ta, ki, xa, wi, ri, aj, chik"
B,2,26,9,ri,"ri, ta, ki, k'u, xa, wi, jun"
C,3,18,43,b'alam,"b'alam, ki, ta, ri, tojil, amaq', wi"
D,1,6,70,ajaw,"ajaw, ja, nim, k'am, ajawab', aj, lolmet"
