doc_id,E,C,F,A,B,D
0,6.77074067653867e-23,4.328807023909058e-27,4.5133242576491276e-17,0.0159668282564846,8.475678421998475e-27,5.11293770398671e-36
1,2.3798993483925533e-18,5.948660835325524e-26,2.0409150057887535e-29,0.015191679108999434,1.988521248676816e-25,4.2989795645405915e-20
2,1.673723443409245e-31,4.895934604642111e-29,3.1860157832535294e-38,0.016432172618367043,1.8400551681296945e-30,5.711474174653504e-29
3,6.384012334277481e-22,5.586265868141501e-24,3.3804964065911887e-40,0.016692052246326635,6.0240226639748e-20,1.2363669401665018e-21
4,1.5254616179437485e-16,1.3552267548347014e-15,9.391628923382101e-22,0.014616493416316765,0.0016189749402376464,5.394762519768954e-21
5,1.678114265509345e-16,3.4157329424358016e-27,2.628135051457628e-24,1.157216911336697e-16,0.01433916632297312,3.7774480860161534e-32
6,2.0506821976319563e-31,5.179055354190808e-24,1.1415955985896306e-24,1.290709771794829e-27,0.015665244759130087,5.34631915076664e-26
7,1.0910351725985234e-30,3.521057333209087e-27,1.22020570768034e-39,1.039389997042257e-32,0.01389709870222278,5.369381929954012e-29
8,1.4894548254053282e-27,1.3070911632917302e-27,5.892801907871842e-43,1.2935013847686052e-36,0.014864463429203674,8.872381235802624e-31
9,8.24882628203868e-28,6.7019553360324005e-25,1.317465911379482e-35,5.672141175747862e-26,0.0177253785956433,6.901230433107527e-31
10,3.9398874094574015e-25,1.1190619940911413e-24,3.3426792324842513e-32,3.7058502809054194e-23,0.015562804197063875,2.2846223175383442e-24
11,8.676679832187237e-17,0.014092787501994063,6.032658583255584e-10,0.0014213230335427846,1.7211553324285291e-19,7.281687085150084e-13
12,1.0054636866403173e-24,0.014980779837761115,3.495533657320854e-17,1.856182823061267e-30,5.401312656790546e-18,8.870599429563723e-22
13,1.3137336920886764e-24,0.014925097948702329,7.266236070810764e-33,2.6405801031747093e-27,1.0004215231755756e-31,1.0954882419567704e-23
14,5.931262535480811e-09,0.015470395523031274,3.451138546948192e-16,2.5790541814837544e-20,5.397388185645214e-23,2.9856123776701004e-23
15,7.318818444367604e-20,0.015875720127771973,4.691332914848523e-11,5.475911450929542e-15,6.478982374799707e-14,9.964433324573233e-18
16,1.5211269827720724e-21,0.016085853167456872,2.871503254114665e-26,1.2095316282930499e-23,7.503492251201224e-07,4.1351533869334415e-14
17,7.517579771480548e-28,1.1323602701457631e-17,2.854693668256657e-28,1.5068643205722068e-28,1.0949731108952564e-14,0.014451761335216794
18,8.476861497693839e-20,6.588182954910151e-20,9.589490634699637e-30,1.3216875794094603e-23,7.476262753054077e-22,0.014567501104107011
19,2.2866057980671953e-30,1.0031412419231984e-25,2.3068683981137505e-37,5.196573045699392e-22,2.232096399692313e-27,0.015448006277600004
20,1.3736814602317051e-24,2.3882428195747632e-29,4.730656483738865e-30,1.1572378407651884e-20,1.1183329327135961e-32,0.01635494701838594
21,2.8698545810337767e-19,4.0089878421477946e-15,2.549577309342732e-28,7.377481759505946e-27,6.343983097061126e-13,0.016468736200296725
22,2.695831378543676e-24,9.362289205142339e-06,1.0516362520242944e-31,3.760895948220081e-29,1.148683123940034e-22,0.016254910750109326
23,2.125652524048798e-26,0.01198834054888251,6.2480250829156415e-37,2.850459916310893e-30,0.0005690398169102971,2.0132033809922634e-12
24,1.1541793776793162e-20,0.015796749498223857,3.1063915059550454e-24,5.721458543926533e-18,5.902039275738735e-18,4.530726316219228e-05
25,7.331330143012395e-22,0.011700678043611518,1.5776485397548749e-28,1.0594721599777337e-36,6.748562187567248e-17,1.5665203367126548e-29
26,1.5726167272326333e-18,0.013591534754541423,8.557557448239937e-38,2.9428385308886136e-29,6.111635775911003e-13,1.3252105930030003e-20
27,1.5186343354819284e-08,0.013630451281397166,1.4519563821484504e-29,1.0133432375570358e-30,1.6602356684755843e-22,3.696022819326823e-19
28,4.437158108428515e-12,0.01715939452772113,9.909978717601644e-26,1.5000835425674647e-16,2.2283662913060403e-17,5.569047298526987e-23
29,7.161473095291614e-24,0.016493761815091962,4.24832218384071e-30,5.175006914893082e-28,2.1245557941221005e-22,5.942037027977475e-22
30,1.8304305708303782e-18,0.018627567429593105,3.566651847775807e-27,1.2874933680192861e-26,2.165439757683284e-18,3.43041817430105e-16
31,1.6345089490061238e-23,0.01676976568593337,9.4565453663487e-16,6.007988778921706e-25,2.6175291896040037e-23,4.109976007143586e-23
32,9.128924565864248e-12,0.01761547499047257,4.287672764047256e-12,6.7927830284009215e-15,1.8096300583293852e-22,6.949668046727505e-22
33,3.25164199145383e-15,5.448432800952284e-07,8.031606008054641e-18,0.015484792044983094,0.0002949557450213713,1.7767964813272573e-16
34,6.923232732475173e-15,2.0118116332226528e-29,4.1156433477444168e-25,0.014987721652625775,4.575087105261021e-30,9.287466243101026e-26
35,1.4443208810442956e-05,6.1771132756508145e-30,1.802527416770379e-14,0.01632334472647013,5.2122200898376066e-30,5.963524355635615e-29
36,0.00021887178877215066,3.8072911610348554e-31,6.97092098663937e-08,0.017245434508902723,1.21641984262065e-35,9.785034189961189e-29
37,0.01526444275379971,3.706295898477016e-20,1.6325799941655707e-16,5.501056826261175e-20,2.2604661417822568e-18,9.789134248609812e-25
38,0.014970462593135857,1.216373713233655e-11,1.238775030444072e-39,1.7535225165034015e-21,5.624756153315204e-24,8.053526575268921e-22
39,0.018399552100974076,6.972075109548701e-27,8.948508505745929e-28,4.925209448895816e-26,1.1014267854451442e-26,7.375735834175544e-28
40,0.0169914884332393,2.2371928322476847e-27,2.188486667172475e-25,1.377037385319451e-20,2.1118360302487283e-14,2.086304109594724e-25
41,0.01579436463434004,4.134647481922246e-34,2.0547345878164437e-29,1.532512659224532e-26,4.447230597121168e-37,2.3441793539104456e-31
