cluster_letter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
A,0.6541196991357933,1.3111234128466753,1.347669518397403,1.367013150665429,1.3337587424346953,1.366954459112828,1.3510217910825195,1.3509173478636378,1.3761127684167371,1.3727025906030343,1.3593569653388422,1.3255212368765181,1.374067636545568,1.3882266338691873,1.3515053019191399,1.3401838440858358,1.362861392511058,1.3547093374404453,1.3524871074290488,1.3767770813339366,1.3730453626364083,1.3818758610587287,1.3439754656994989,1.3452639564050637,1.3135002059784169,1.3556727461477505,1.3082865285807217,1.312051549057299,1.3361904824168316,1.349085497992363,1.351126175824426,1.3685114760615789,1.359997837334363,1.3508657363717096,1.340455199121787,1.3248099755456304,1.3113035557176644,1.2847600588875818,1.3538183952144691,1.3487862999718412,1.3387156450390743,1.3115504849540742,1.3169362196199947,1.3174465098073866,1.366782803948709,1.3628135987681125,1.3633906777066505,1.3728041118848773,1.3599499801192338,1.3002706546735903,0.6541196842346321
B,1.3171654453521557,1.1002872757656235,1.102687078601342,1.1230315509201152,1.1090826848012214,1.148518228117031,1.1524046165699013,1.2596951557848697,1.2938654158390401,1.3046140755957936,1.2643575148043267,1.2801511037107591,1.3446463750943956,1.3330192977268494,1.3014452718793352,1.2703647265731077,1.2949224865440903,1.282846857256096,1.2378687537788777,1.3490013322320165,1.3093231500074982,1.334645381985837,1.2407094166707169,1.2551590024022188,1.2470121746171925,1.1668865579082786,1.0855630693007514,1.1087235896311183,1.2124854568440684,1.2328412978204841,1.2501511762059467,1.2758971619982848,1.2849325214861862,1.2781869473869376,1.2420748548835099,1.2728639711836232,1.267919527888661,1.2601302723456576,1.3895321669491594,1.397039325646134,1.396841181643941,1.2874875620250534,1.2858050082483894,1.2537870662845054,1.3643617936421677,1.4014601239155926,1.380140362670843,1.3804652743346226,1.3899589205313683,1.3764624440672744,1.3614016431645826
C,1.3664196490470606,1.2649087661283938,1.2358533592628578,1.282033248728511,1.2756717685492713,1.285639338661643,1.2643175511229323,0.8596719818945935,0.8671079269053217,0.8582210642819402,0.8681535354375075,1.239151387919023,1.292541733875963,1.3079865972352003,1.2598557090026126,1.1985904958500322,1.2415897892634278,1.2248750952655734,1.1617123315634,1.305837685265796,1.2441631619075209,1.277093850893091,1.1370128897163507,1.190036603488223,1.2179412977120645,1.3512303785971902,1.2736806147452058,1.2923623387580627,1.223112030342067,1.2574167072251778,1.2492784706916626,1.2880500319113382,1.2482788118693078,1.2589068725811012,1.257451373351648,1.283821779111175,1.2785205116053449,1.2643930594131292,1.3967792347666523,1.3918596602387119,1.400514231291826,1.2973930177216157,1.2721410090161114,1.2920647979871493,1.3830424728531983,1.3973992096394787,1.3846667559805947,1.3922406935264375,1.3860819601566243,1.3820654857370906,1.3631251870640653
D,1.372832454750517,1.3102012768983087,1.3049747642062715,1.3161347205062286,1.3192070037940609,1.332199600919609,1.3335074017982755,1.2523712776317282,1.2936029370548339,1.294650270827727,1.2705584592167738,1.0194396998165416,1.0358528448861533,1.074439552390274,1.2376399927754669,1.2267180144705299,1.2764888392122782,1.2330784973814544,1.2038891131726523,1.0676878417714368,1.0659805420370054,1.0663829677848786,1.1806329080746687,1.2106259161317514,1.231823213773129,1.3613535049589711,1.3219289945997332,1.326672693454576,1.273944373153106,1.3081386847939898,1.2968248036134573,1.316378584357601,1.2923064447972927,1.2959381696973329,1.2963107970641736,1.3165495849642999,1.302139499374572,1.294337454663865,1.3805952897310474,1.3947243502574243,1.3915794839524713,1.3196231253427322,1.3108101368871043,1.3233295654670343,1.3788394362528857,1.3856319230573282,1.3637344717437097,1.3937980198167976,1.3667974782764316,1.368052667284645,1.3670054826895985
E,1.3452122458123976,1.2439898676463679,1.2314857741153908,1.2584272925656825,1.2581459371765036,1.2703015708963317,1.285841142747663,1.1803935960390115,1.2191271578298082,1.224256360747792,1.1920299913142305,1.1675300549951957,1.227529387103428,1.2520614678505657,1.0262710692723127,0.9957327180715217,1.0428717688852887,1.0027305620756006,0.9628622685432061,1.244086549795446,1.2081409405027765,1.2513239709965358,0.9315830210506646,0.9712158281909826,1.0033843014785495,1.3352871542341918,1.2506008299761016,1.2625402065786069,1.180760476369377,1.2218467166924014,1.220434876308357,1.2676299739633252,1.2180574471253813,1.2226291186002325,1.2164204284251412,1.2468423456495041,1.2366237128683115,1.2160229008867722,1.3823208183158864,1.3878155937222327,1.3903360230935216,1.2519110539259304,1.2435891298132449,1.257297720366828,1.3672442776369516,1.3802657226823352,1.3470402414435987,1.3842084804365347,1.349417114645888,1.3577543133324266,1.345909407054729
F,1.352063083082451,1.2485243919989064,1.2323711201307188,1.2762250732118559,1.2863070869315274,1.2927158633546294,1.3013049866886395,1.2498584594261217,1.2651625678851546,1.2804019522206656,1.246726615440868,1.270493054779074,1.3253601700114053,1.3095140375166126,1.2759679354708304,1.2390963935322672,1.2761330313480765,1.2367110926855855,1.1873819212006855,1.3161871749367726,1.272764264766641,1.3047019258667112,1.176797540609371,1.197719913176226,1.2157433684232086,1.3327694135133799,1.1778710230489038,1.1692639568191407,0.886766206068384,0.9843010195678311,0.9782256963933569,0.9754602133415742,1.0237328642996124,0.9737528956995811,0.9547410770358652,1.0044107115316903,1.0104658126539765,1.185839840624152,1.382053030718795,1.3807960523851162,1.379542405325435,1.2284666450109152,1.2197614380780353,1.21312379332394,1.3202170103714173,1.3853144341569914,1.3709541791770312,1.3692540345324138,1.3799184253692707,1.362872885769529,1.3351249027811833
G,1.3190926511784535,1.2458828487957745,1.2509014345851999,1.2809306911973968,1.2876534465105598,1.305822209191576,1.295501462092982,1.2637637854399069,1.2883857460185908,1.3050331691591324,1.2688091835203754,1.2589374943947327,1.3251187475784871,1.3284386963719634,1.2894012383185134,1.2420479959319852,1.2787386032254553,1.2563553999938524,1.2310197511051584,1.3324976789895069,1.2955606587365451,1.3315971474698685,1.2229400202219478,1.213129954079128,1.2040086471095102,1.329108688275896,1.238132448477046,1.2122890659066825,1.174227173958603,1.2201187021326698,1.1953187703629697,1.2281817786993807,1.2342540065427747,1.2346496142744288,1.1941683152744047,1.2469066458745393,1.1783563562135748,0.8364415803099562,1.3113383715766678,1.297804846333762,1.2821961670699418,0.8348971840457029,0.8426155590314741,0.8505422028410853,1.2914950268944447,1.2698311637983926,1.309176936905724,1.323114164027126,1.2990559284032153,1.2559897402200928,1.296253985456065
H,1.3959270403977841,1.40237306631158,1.4030150646825605,1.4008836383164753,1.3948098469988912,1.3955616613593786,1.3986047364764538,1.3874379116130324,1.4028083442922992,1.401059138224919,1.3900787453962062,1.37244772069724,1.3815657744773004,1.4041305944962426,1.3817857075723765,1.3691926650650263,1.3932556141709693,1.403274697518702,1.3890119288009464,1.3691447496395757,1.3926858889790328,1.401928397802208,1.3869025488497708,1.368337809037321,1.375978054906099,1.3974514235220938,1.3924817361108939,1.3789136757543303,1.3872985526633563,1.3861887117518321,1.3822913318446444,1.3960302033168992,1.3875124831174748,1.3818660635963191,1.3880673650608866,1.3801217401131447,1.3551141003181506,1.3124623122577397,0.7840171055261577,0.8284261861438177,1.2610757702259379,1.322772283439914,1.2535499235828285,1.2831813229979474,1.3109961047442862,0.8196854987238998,1.1897037876037835,1.3346575022978626,1.1887671409095686,1.2713963230508727,1.3143518222384978
I,1.386674493711599,1.3886953511093991,1.4026727689649534,1.4010513979802939,1.3875378450194942,1.3925966683180184,1.3942683282854702,1.3691469346370124,1.3994241812010597,1.403846272051914,1.3809110452761497,1.3243416644743613,1.3568586720394793,1.3812962533764341,1.335396664356576,1.3672406080080015,1.3696960934350182,1.3648744964053394,1.376609981351658,1.381648668835295,1.3979339255309182,1.3931669676293985,1.3613703827501118,1.3554119511549625,1.3584952075692023,1.3902633959214468,1.3832123909503382,1.332358398505796,1.3673865634525184,1.362969639806382,1.3832799868402237,1.3901450190264832,1.3876348061896873,1.370064750038964,1.3870482750359463,1.3760288771293712,1.3353398476732723,1.2439532444029082,1.1815704706239532,1.1973387792893322,0.7914567237453317,1.2832020431413231,1.300255072393892,1.3190084126608503,1.3456645250249406,1.3042980164293367,0.8020787005188716,1.2954575768711034,0.745180885407973,0.6978206403987628,1.2944889850576753
J,1.379972980018903,1.378772840451551,1.3714030501930807,1.3940369354483966,1.3913349925382716,1.3756666658110366,1.3715835166346795,1.3694905459963465,1.3965092159883865,1.3968939391489181,1.3876726316256203,1.3713892977346362,1.3846635230372975,1.3951827344625025,1.3716588058954864,1.3719545242913398,1.3847595346219301,1.3894514565192906,1.3812470848362377,1.3840041890028942,1.3922352750674472,1.3904373489042734,1.3743603515712692,1.3616849110756886,1.3706943634827027,1.3850644414568043,1.34329894806439,1.3405604152973458,1.3197894427770267,1.3360301991435144,1.361884523897357,1.3618468915604383,1.3868305776460763,1.343102890926403,1.3336552537635253,1.3288465313214974,1.330633391031401,1.2912303867056956,1.3224124638241648,1.3164110821869364,1.3222492604682088,1.302548997612476,1.3078320442550906,1.3276069532698793,0.5151056255005055,1.3296568645521218,1.3508577968674356,0.5151056255005055,1.347726784115661,1.2614103623407829,1.3596139358146835
