chap_num,0,1,2,3,4,5
1,1.1279546681310805e-21,1.0402520171307544e-26,9.760660947177545e-16,0.025252563805487602,1.0741196151736275e-21,2.225779902421041e-37
2,5.102324070065332e-18,9.141611481201697e-27,8.577626542501834e-16,0.02541089169788603,9.439232981828848e-22,1.956516245675568e-37
3,4.208599590669504e-17,2.3477934301675557e-32,6.271086029312307e-20,0.026558768917774637,1.14137013181573e-37,4.3547342708904526e-40
4,9.799713656783029e-18,3.772840273453275e-18,1.2542172888384685e-20,0.025472231203014582,1.2987222612641203e-21,6.320131740961699e-06
5,1.7281430943050249e-18,4.716050341816588e-18,1.037200087646887e-27,0.025200596774324572,1.6234028265801505e-21,7.900164676202124e-06
6,5.0615069707678557e-20,1.3812699745910062e-19,3.03782453293604e-29,0.0250368581916878,4.75475126816174e-23,2.3138557629043879e-07
7,2.057630967688272e-19,3.772603961650169e-20,9.219186827196278e-33,0.02542741113349432,4.760088278179678e-10,5.064878527588619e-11
8,3.3749860704401724e-09,9.790381967974237e-08,3.055853342509948e-14,0.026344929802886444,3.715823070854333e-05,1.7432725272140658e-06
9,5.501780724390826e-07,9.634210195098569e-30,1.4422860105107954e-11,0.00656867194877881,0.017538586545225332,1.156707316009337e-39
10,2.567497671382634e-07,5.5787763663648426e-27,6.730668049050378e-12,0.0030653802427634447,0.019025450566401175,1.024560120315222e-31
11,1.383777378784696e-20,8.405183151381244e-16,5.540843150273613e-17,1.161015857306479e-15,0.023447946319684148,1.4383114066789077e-16
12,1.1105780973238078e-26,1.7593749225540934e-20,1.1180765999859743e-31,1.285272989639592e-15,0.02190902802004176,2.1044940313555504e-24
13,1.6278410607515514e-26,2.922343780267061e-22,1.4312753497419012e-40,1.0144272572727206e-23,0.025598680685073837,2.728648180519588e-26
14,2.5144938834601814e-15,9.73198363700197e-13,2.7284406328510264e-16,0.0023405819751523473,0.02337548862856658,1.7036953462565135e-06
15,1.5552742548946987e-19,5.200755351668079e-17,6.484226774909715e-25,0.005694703068068045,0.019905300218897998,4.8990690801195476e-06
16,1.3770369992716475e-19,0.018629730703078124,0.000109141674304385,0.0030172994529076755,0.0034916071899996222,0.0003294843785091654
17,5.491911177095072e-22,0.024512476640034895,2.3246849511894955e-11,1.566226414195045e-17,6.154838365681857e-08,1.4281463125903084e-07
18,0.0001630898300073979,0.023711046084582656,2.2172966040747223e-12,2.2459391522468825e-16,1.216539813471421e-09,1.0265969074712956e-07
19,1.0628480960888054e-09,0.018819632226614674,0.0009475185443968639,0.001877957921792098,0.0038366672360637486,0.00010693820879972878
20,9.461075070590162e-17,0.019598865397607638,0.00015167957756824645,0.0004887961952057097,0.0054710947181158525,0.0005701380632139001
21,1.3813912970955039e-22,0.008018363185627878,1.756408979975682e-15,8.804934212134506e-14,0.005960306751781425,0.010977054205335892
22,5.797552223629902e-20,0.0004367554846132493,3.5949828667537045e-16,1.802385393090123e-14,0.00017126047372203522,0.025816647115800118
23,3.983551706037868e-24,4.089129871225225e-21,1.0065679164366167e-29,0.0007801570249678326,2.4432248964945237e-19,0.025838619478449513
24,3.4534216852340395e-06,7.280459763472106e-06,4.341560542495236e-22,5.852571156600907e-06,0.0010228293980256954,0.027938810015978498
25,2.866420925333608e-25,0.003945622768959991,4.6644133527734555e-29,7.650577318026618e-29,1.7154130135062504e-09,0.02686119387557566
26,2.5116774315047346e-25,0.016965373877804377,1.4859227415784393e-28,1.4663368286141515e-27,0.0033772130616785386,0.0042466001512081845
27,6.160126771054555e-24,0.014377544706547295,1.2176854681849685e-19,4.685306834475792e-16,0.005010986780187887,0.00593762871012463
28,1.0975623448350675e-17,0.022642706496563945,3.7727761506647895e-20,1.4516590442467893e-16,4.0231083101134544e-11,0.0018396652099259055
29,0.0018561803030006084,0.02450131471910073,1.6300673475771886e-27,6.537329244950233e-27,3.238498201976012e-12,7.09358604589641e-14
30,0.0019025848105756237,0.024473868015226167,1.6705178747159671e-28,6.660108130392514e-27,2.4185444316024528e-14,6.95068905438076e-14
31,0.0019025848105756232,0.024473868015226167,1.670517874715967e-28,6.660108130392514e-27,2.4185444316024525e-14,6.95068905438076e-14
32,0.0005584889589223851,0.026364366286517334,3.139445612560534e-20,0.0008595465785239942,0.00017951434429570718,2.0468517903818322e-14
33,9.648588109119973e-12,0.025762593243059802,2.492158875720125e-21,3.106465267583627e-05,6.487781924782228e-06,2.9856603473569756e-12
