para_num,0,1,2,3,4
0,0.20868564611042337,-0.020584602860422168,-0.25798634485848576,0.020605905909731617,0.10639337295657066
1,0.31412634493379504,0.08340057123837027,-0.14873669059619898,-0.0812772749677409,-0.1257757463270864
2,0.1441534995793372,0.00179594643147592,-0.35032327851086575,-0.17175960826259287,-0.2534335680559666
3,0.23232841179364158,-0.014447346268015424,-0.33050096411337465,0.008141781234501475,0.04765052610300299
4,0.022074429826935006,-0.0340729914582296,-0.29142608551849153,-0.05323470692899242,-0.19732056873974832
5,-0.17009405242113057,-0.065326295917522,-0.16318626583034024,-0.209604830199449,-0.1274525511506694
6,0.009612351299695999,0.012998064513860628,-0.2427846367120876,-0.011571942832495583,-0.096183266995769
7,-0.25237304826696827,-0.06622971898096582,-0.16911278348661052,-0.19775835801826896,-0.16846456336908414
8,-0.145977909358235,-0.03515776875139239,-0.18299274949322605,-0.2642875233747504,-0.18298411645465712
9,-0.24985706607039543,0.004210979930664055,-0.05721940091688464,-0.16541034241269098,-0.1260536853432878
10,-0.08217323694042034,-0.06465434528872238,-0.21261030802993436,-0.13280126285906493,-0.03147764404270061
11,-0.1501338018869143,-0.13342624626415983,-0.1493474132181408,-0.007533284699097546,0.047603955562990075
12,-0.2742120679886529,-0.2436111923674717,0.04743293624972473,-0.0019196169397442371,0.025008881362635366
13,-0.2819239386724134,-0.1904628329119906,-0.05374389883832344,-0.0043713850820386695,-0.0005595645796174791
14,-0.20504156874424756,-0.20485914667580404,-0.11572749386026249,0.07784105145317292,0.03774691765643903
15,-0.2774835304097489,-0.24265662528982085,-0.030339506514502818,0.029764939485542458,-0.009398753766524428
16,0.015216264567403971,-0.15786341778160037,-0.16459300646755046,0.09750371027215612,-0.010125337504326605
17,-0.19025860580204498,-0.22158097000519986,0.09836659910427888,0.006193241889727589,-0.012537351292112288
18,-0.14311466620858374,-0.2614598685778686,0.07896190904957942,0.09561714213347973,0.10235402034250635
19,-0.24141660568332188,-0.296894489436136,0.09158248954568883,0.16432427173611686,0.027298359087569547
20,0.30805115320355997,-0.14216844707772966,-0.00871417109021192,0.1718788008387619,-0.07087076020119115
21,-0.17791369381082758,-0.26087257642718475,-0.0011211965510133201,0.061294811409659145,0.016038703767503146
22,-0.25530354777654074,-0.2561520123418712,0.04830211762831286,0.051791546612987106,0.11760203957409837
23,-0.23426300847274337,-0.2503574735502622,-0.03882023929015528,0.12069764536960019,-0.02915737774120123
24,0.16672533295474576,-0.21717485652656487,-0.1793693647898671,0.24096569183072028,0.06206934758971697
25,-0.3177587943145805,-0.25479549506050675,0.06108226899301812,0.08805576771071816,-0.08467037436627083
26,-0.287094759422926,-0.19757699323044325,0.011167052915200572,0.03147800729374114,-0.03298185795855718
27,-0.3891854159188287,-0.18860595866341268,0.054440886328854625,0.04261489271553904,-0.030410291439493756
28,-0.20597901863598805,-0.1843180276590057,-0.0009766062279259352,0.05143066969988937,0.008414798458119412
29,-0.19411379197487513,-0.25428347800855,-0.013604297761351547,0.1250021451940482,0.1451113544776482
