doc_id,A,B,C,D,E
0,0.9497651018830886,1.3419354753359969,1.351103665391648,1.3367271618055527,1.3153982765478036
1,0.9270607595269927,1.3323701347678842,1.343816677206478,1.3171257777388417,1.3446609964657046
2,0.9634454153833663,1.298193241279918,1.3285784715929456,1.3146589733058778,1.3395621750393552
3,1.274874210267225,1.1573791323631135,1.3026373545913599,1.3300788715148886,1.342983331513026
4,1.3245044586227817,1.134886956227027,1.2834714520630188,1.3451147930200853,1.3262010896930183
5,1.3424568165154875,1.1747534454054431,1.3152243819738878,1.357789440233947,1.3805243321644507
6,1.31623456581217,1.1368253937931774,1.2865288594339535,1.3214469440837582,1.3437708686160195
7,1.3029795090265974,1.15604900681649,1.252977248492742,1.32710127308836,1.3465871311025162
8,1.3441966882836809,1.2956952930097358,1.049043598357348,1.3596841138493059,1.3232297396663466
9,1.3372133264975228,1.2954645057261815,0.9904246309776347,1.336027786393105,1.3485085186437933
10,1.3266310088979065,1.1677671720046898,1.2544216448565855,1.343880104740419,1.3328122788808916
11,1.3247075804663742,1.1440524750214758,1.2849153953508332,1.3429452646389657,1.3584723133858552
12,1.3295326604378401,1.1431178700439448,1.2895862846767978,1.3314374902474575,1.3477631687852458
13,1.314922539181672,1.1582598869793952,1.3109164548020193,1.3389486644949424,1.362081681940392
14,1.3180733640873181,1.1801639831772415,1.3000912861744411,1.3187354617760962,1.3574010159248573
15,1.35378077977826,1.1689308233208022,1.2678115041278544,1.3531006027008572,1.3635663209346294
16,1.3437959163651978,1.1784041466828163,1.2604194083432516,1.3494922036075134,1.3732566767406158
17,1.3443109249098986,1.2682167851415407,0.968443802094235,1.3344689667201028,1.3466043396458585
18,1.3332129318084387,1.2914468501785492,1.0132391750297662,1.3104628882430722,1.3364659868355118
19,1.3196478818137867,1.2715464468088202,1.0176558139501843,1.3308630525371472,1.3539693303156046
20,1.3199234924705752,1.2853842136234357,0.9999462410536223,1.3154862916723307,1.3190263965634716
21,1.3197696125376384,1.2808299825290048,0.9779477235862005,1.321353733006147,1.275895586036856
22,0.9513257361974923,1.3087470203954976,1.299468338335535,1.304361953491054,1.3092438591215558
23,0.9315131709854907,1.332293048828549,1.3329434605602084,1.2380085515393235,1.291174451658146
24,1.2225861841737804,1.3352679536685148,1.3299149283843403,0.9951851335980747,1.2298860046080309
25,1.3158718886571332,1.3400187433823445,1.3115325785154304,0.9713461401732648,1.3061388340009807
26,1.2909028822060988,1.3226117570736506,1.3182302436490285,0.9706405630804298,1.2608547231289247
27,1.305726950570128,1.3465416180246341,1.3457111479746033,0.9596547238399863,1.2769443173895116
28,1.2854845774144963,1.3399738548687667,1.3444095682472834,1.024602577731697,1.274937571899268
29,1.3139857179951295,1.33184374553941,1.3395250981379638,1.0347088429847997,1.287994169447677
30,1.3336200686339266,1.347675242641313,1.3266080746326736,1.0148443725465603,1.2771506611814079
31,1.350117513685817,1.344431402753773,1.3226803198107864,1.0433645070953135,1.2908357923689318
32,1.3034284872353488,1.3432314850620983,1.3287898301670806,0.9826040229718302,1.2613869196788006
33,1.3000405651894409,1.3317967921082368,1.3302365425111096,1.0288585440147238,1.259022055446074
34,1.3088305460315386,1.3402180493466274,1.3269628352389293,1.1698534452316047,0.9931230672818742
35,1.3447602465120387,1.3629085899095303,1.332693677011751,1.3015011674463215,0.9724345359147022
36,1.3415462715473634,1.3563219630523022,1.3088644943881544,1.3000371181165171,0.9092840410874455
37,1.3012780278457783,1.3469566739957493,1.3422204495755246,1.3014821308005344,0.9727885073162413
38,1.2761454295970172,1.3420180802760473,1.3280487759401696,1.2444064232319074,0.9632746773328398
39,1.3474871890653422,1.3692867482605025,1.3358096801661359,1.3178103446628784,0.9422307565521946
