cluster_letter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
A,1.3182048101233226,1.318431146131448,1.3173953987398896,1.3744389139700457,1.3470157464715884,1.375393059349943,1.377871030988639,1.3962403405448027,1.3784779859288567,1.386411461932181,1.3819717465425918,1.3752757659389534,1.3642316128556724,1.356228568190616,1.3436167527149623,1.388154370264697,1.3816582037482663,1.3788917389857762,1.3878694672422123,1.3634386860172802,1.355088108966701,1.3871516016083396,1.337958473464065,1.3446141130379006,1.3520190246577555,1.349723804352581,1.3585569677728067,1.3588362257938198,1.3484056867572272,1.3586513223384218,1.3325501088591174,1.349321642222558,1.375551498910663,1.346616135606045,1.3398207187421394,1.3323217018635143,1.3800910458636613,1.3577091018151228,1.369437485211575,1.357790239900699,1.3720216600906594,1.384060390970531,1.3432602719999303,1.355642740519846,1.3825664680639773,1.3751454300152006,1.3436236776726367,1.3536877242580188,1.3766780217270973,1.3514015606424807,1.3074673702682946,1.3517364581362783,1.3564629058235593,1.3395462256097723,1.3227985107950726,1.3316920138740276,1.3597923989968999,1.341873615581616,1.3503149627453337,1.3696113625479882,1.3524227456421638,1.3474223818913036,1.3369130804690612,1.356717414721099,1.356861240149697,1.3508504025376116,1.3670279325386394,1.367271734226162,1.338139377706686,1.3763160874633433,1.3639649166155698,1.3685841491620117,1.3596426363028924,1.3651915418091871,1.3528377295759757,1.356029181229034,1.3595953685219593,1.3569201871516008,1.342943618456961,1.3845813165046315,1.3754818278149414,1.3414888287095676,1.378402803950406,1.3530831981662048,1.3585670738785776,1.3485518452996657,1.344411340945403,1.3553321356585206,1.3547143290518173,1.3441434376481884,1.3255445696620727,1.295153610044339,1.298428409517633,1.3526359156937577,1.3259190319965843,1.354610387799101,1.3363478335052166,1.3556463358307118,1.380172047047274,1.2976882869078934,1.322886385250265,1.3352055622191892,1.3622701571089921,1.3318436098026292,1.3726751570231892,1.3062830594270778,1.3699182830648853,1.3076651135195099,1.33733186594293,1.3377382566021723,1.339256906397528,1.304889860181293,1.35299509098539,1.3824998865153404,1.337306436660523,1.3610220557163213,1.3353645582555589,1.3435585157502432,1.3402011210962501,1.3152610537581133,1.3517721967748155,1.3547026462964782,1.3361513578654276,1.3201818662472269,1.3562567127368612,1.3496340687865693,1.3598591901853743,1.322351439545049,1.3211696215032762,1.2022854818745543,1.2125171106024413,1.2378869276195463,1.2524647712773558,1.2183177733522188,1.2583667267138623,1.2817688602526447,1.2485044513113075,1.2762741081403792,1.2314071538046525,1.2297220605176253,1.2821003222167833,1.3076362151931942,1.3331786941510577,1.2697161316783192,1.2197463058511013,1.2853007880800247,1.2788111880962842,1.2186196720992133,1.2770066091594279,1.2985537017730377,1.1958638443406762,1.2907741224187972,1.2458134034724804
B,1.4020735326336717,1.4014011681872556,1.3632599211793515,1.3075097534834204,1.2459186965396598,1.2966654824677517,1.2728317089452659,1.3208382993862253,1.2802095833138287,1.3056580209900321,1.2818571657116546,1.2721116882775871,1.2732334531527576,1.252435270886751,1.2389850371877669,1.3092412594212886,1.312311035719246,1.2881744099153996,1.3202037592241875,1.2898988481802878,1.2611375869497818,1.3211825594204052,1.2886053686092682,1.3062288997688087,1.3415902283484769,1.2772699889211043,1.3115588743216076,1.3148497280363662,1.3078427949870124,1.3137194994316959,1.2815541418288887,1.2984954564711808,1.36937579417648,1.3512930803592695,1.3089527989690086,1.3484819369995038,1.3797907781053198,1.3574256916455871,1.3799220481032766,1.3484115091626885,1.3654487758673388,1.3758980318950815,1.3271479509868127,1.3375567008252103,1.3846137499158115,1.3561380274169796,1.3383437002843095,1.3588084550059516,1.367763045659454,1.3321663829098225,1.392262356858052,1.3246094759246065,1.2860351032943345,1.2857009301533524,1.3674564243128637,1.329189010013251,1.3195803198391944,1.3276789284911796,1.3191186571882254,1.3468270707845258,1.3173252742702728,1.3336620160049488,1.2907053900907184,1.3173527181241245,1.3289691911938517,1.31847701994193,1.3352727357169067,1.3496434842220266,1.296155228100538,1.3466507610671294,1.3427993092809627,1.3492806621855655,1.3354726672577608,1.3443582882305691,1.3256284634076658,1.3196138123450862,1.3365458089515083,1.3340604172141732,1.3144893599899208,1.3533332894464167,1.3379215064312437,1.3090367109313832,1.361481752297343,1.3346068752589895,1.3352241010490071,1.3089398465430013,1.3304905351149048,1.3161209261488782,1.3107003629035796,1.3214001607389332,1.2844696191156229,1.2817912476612052,1.2770042220988762,1.344993579330752,1.2389843303796948,1.2745650449807886,1.2158772056689051,1.2598037035895564,1.3852045617738016,1.2710164430956699,1.3361753925610411,1.3095429496435982,1.3372797369377567,1.2908200851259803,1.3606409511760778,1.2787487225544196,1.3595974233523591,1.2809307873125495,1.3134367319570937,1.3176569182005577,1.3224582365735174,1.2692304450091572,1.3409095517069956,1.3918661243397719,1.305509150861254,1.3524781252624807,1.3031060250386577,1.3299321530063406,1.3264848844251849,1.2984924401179607,1.3521014081356217,1.3208653910376829,1.3172910234919657,1.287590305014538,1.348173789921775,1.361945713946486,1.2951037809885904,1.2955460040240256,1.3229236425658588,1.274894597017557,1.321682187311004,1.3817171807958846,1.39111095991905,1.387508014447066,1.343326395652868,1.3561065572643143,1.333154440734593,1.3405736335033522,1.3214168244570377,1.2865742616345586,1.3738209791498723,1.3898953380280916,1.3969819881140662,1.396385147399155,1.3861071969436087,1.3800961069797366,1.380042810332566,1.3785177488239744,1.3722158507081703,1.3857464590354893,1.3777132655318067,1.3637593282053677,1.363409896824272
C,1.4073438497429922,1.4062649414733814,1.3735160909625606,1.378476597901367,1.2999249903757495,1.3596214783443408,1.3401204973485703,1.3757690608840674,1.354740779151906,1.3545746389976376,1.3417081970327471,1.3199487700799342,1.339403254871925,1.29193322966378,1.295635147424814,1.3703367929581127,1.355121746542843,1.3259431376374387,1.3657422750965473,1.3296544786660334,1.309206197293798,1.3626411612762617,1.2319430638397957,1.2048785527941765,1.2788816845650186,1.2874929861697937,1.2586217684102814,1.2453576281750705,1.233655133242486,1.2311350627436632,1.2087469458532003,1.2402844892931375,1.3110771725359127,1.2559146777365944,1.234316672121195,1.2807111188558067,1.3465912895793746,1.2698469940709274,1.2672414175403433,1.2634063614329258,1.3065052139021174,1.2849001664470627,1.2576490764622013,1.2459405998327977,1.3351825911906101,1.2944974109281357,1.2548310386091612,1.2560291564358932,1.289576967380979,1.2412844475715368,1.3587884004541857,1.2536528629491164,1.3267474801191044,1.3032354221346052,1.3301929614592711,1.2542647596626373,1.2556427674942015,1.2406342319080466,1.2292518739440101,1.276875400403718,1.2528696934933052,1.2468312313162457,1.1939686267633864,1.2266789839190704,1.2461747596907555,1.2421621053307863,1.2750874090273574,1.2995131141085328,1.2360073601716315,1.2751129244112829,1.2516366949780278,1.2800667730695459,1.2607291730534875,1.2822368630404755,1.2293201952672939,1.2424631351551512,1.271258111368857,1.2726760350480921,1.2311940319225536,1.267684969088797,1.256416424357704,1.2114464268875276,1.3034118258365746,1.2480666062654227,1.286558410256896,1.2405864434079263,1.2740701068094826,1.2239587735860025,1.2560646850780133,1.215826137007023,1.2040720814834172,1.1978885490876514,1.1882736041643154,1.2627682042866417,1.2684542684900804,1.3358218085910414,1.2849611201644255,1.3194891578686456,1.381314603480306,1.2838803645103,1.322602669027374,1.282551553967846,1.313729189745435,1.2461073059153465,1.3542679047977748,1.2520888647800192,1.349046819689668,1.2563078833469794,1.2947610697814003,1.3148478660267946,1.3151040537354368,1.244390573426636,1.3135273492570843,1.3979803393574548,1.2799505047406314,1.343896207877732,1.2670931509182617,1.291151367549219,1.2892327838701059,1.2617122097751536,1.3286040965757453,1.2940155239733817,1.296152634672952,1.2651554366730307,1.3359474933195916,1.361760306661354,1.3346391291673514,1.2837082958880306,1.3021234450875168,1.2434566320659026,1.2998051389206688,1.3713221047109403,1.38612982289044,1.3819295423741842,1.332949166903833,1.3449014912514872,1.3206241776531218,1.322864855388443,1.3053571577984215,1.2903383398814612,1.3685283235138734,1.389208383237995,1.3962695101827196,1.3888197802022135,1.3578591076772375,1.3640084639378502,1.3734312574958976,1.3538070899652477,1.352347714807096,1.3879378641100704,1.3553492308607271,1.3566496502449454,1.350990680607648
D,1.4001055751561562,1.3956291754909342,1.380281172531278,1.3700251898242055,1.2920659861775583,1.344184495495886,1.3335707597519548,1.3722571472419005,1.3517528317224514,1.351461585582175,1.3363863065508876,1.3119485588293336,1.3266343505990825,1.2831479259013234,1.2830739252688397,1.352679576118292,1.3539228212844163,1.3216240256997336,1.3649226738687004,1.3252994646365945,1.3047928735764422,1.3602064887280463,1.2638668447284458,1.2802480270064045,1.323005286869575,1.3085832074744428,1.3072165955874442,1.291758616741927,1.2714566372280838,1.2836296247088375,1.2546283860607028,1.2767928273880285,1.3620392342409418,1.3309828250359352,1.2959561698059017,1.319083593413996,1.3722185802730384,1.3403882657680726,1.363592019476254,1.327249698186857,1.3552112894212278,1.3659832977306954,1.2898607977390315,1.3116467846180184,1.3657285714577725,1.336052185898892,1.2981081261058203,1.3375892403100733,1.3576339395394252,1.3132902092287566,1.3851544326250804,1.3131631239876573,1.322177869112521,1.3227122442190071,1.3492621493091888,1.2943160172097066,1.3011630613434555,1.2918545281353973,1.2958202267199044,1.3348579132501333,1.2839150048334393,1.2961883195197725,1.2483523467774371,1.2947642785649547,1.2990863892542137,1.2910980875692382,1.3161474146444188,1.3294629577077357,1.2472278825589302,1.3241144509439462,1.3120345534044928,1.3170534212291356,1.3102087555651842,1.3181215277169653,1.2884354239591935,1.2865951414432684,1.3122348860074713,1.3004757799609754,1.2822805653715854,1.3371483598914788,1.3145083440710812,1.2617368525449892,1.3448356752769617,1.3059360833983946,1.2980426210655056,1.2455092419465597,1.2958977036670865,1.2876645945718683,1.2964793699298878,1.2796509610081859,1.232733183005661,1.2382414910117299,1.2309942580612965,1.3211580344576637,1.2572838920347793,1.3157053347776526,1.2436036011227352,1.3035912167384853,1.2392241627684533,1.1574087116492453,1.159995249564078,1.162996384782356,1.1936285192064013,1.1098954285491938,1.2340667794652986,1.1324196629202852,1.233336866483108,1.0985046397126133,1.1846647904649157,1.1641363930562987,1.2001796714003912,1.1117936430403688,1.2323420464926056,1.235531149774632,1.1511451025998158,1.2424115756867382,1.1772912840248584,1.2178652246165695,1.1557221726119307,1.137722528907862,1.2176904033507867,1.1807485763755483,1.1643506022787073,1.1424913952390248,1.2086580724556375,1.2396554306471936,1.3055452540157149,1.1632373624348409,1.1945275489533553,1.1754835723413697,1.2641404382911618,1.3652685175692387,1.375806901657731,1.3738409133166125,1.3139354235188399,1.3255499910171693,1.2947549695582328,1.2935012708141314,1.2784236417597696,1.2362686067827198,1.321096891007299,1.3554833614608854,1.3902354181228647,1.3895911237412157,1.3662026390501874,1.353098121019475,1.3542007438111343,1.3611873960073628,1.3451830794002337,1.3678477237525868,1.3666456449037674,1.3312402215278865,1.3372922908108158
