cluster_letter,cluster_label,n,ord,gloss,top_terms
A,9,10,0,kaj,"kaj, b'it, winaq, tz'aq, aj, ulew, qa"
B,1,9,6,kaqix,"kaqix, sipakna, k'ajolab', wuqub', kab'raqan, junajpu, jul"
C,3,8,15,q'apoj,"q'apoj, xcha', jun, kame, junajpu, ajal, kik'"
D,4,4,17,xpeq,"xpeq, b'e, samajel, uk', xe'ik'ow, kumatz, xib'alb'a"
E,5,13,18,xib'alb'a,"xib'alb'a, kame, xecha', b'a, k'ate, k'ajolab', junajpu"
F,2,5,24,kati't,"kati't, qati't, jun, chowen, ix, b'atz', che'"
G,6,9,49,b'alam,"b'alam, tojil, k'ab'awil, kitze, q'ij, b'i', q'aq'"
H,8,9,58,b'alam,"b'alam, amaq', e, aj, kitze, k'o, tojil"
I,7,2,61,q'apojib',"q'apojib', tojil, k'ul, e, kaib', xtaj, xpuch'"
J,10,11,69,ajaw,"ajaw, ja, ajawab', tinamit, aj, pop, nim"
