cluster_letter,cluster_label,n,ord,gloss,top_terms
A,2,7,"(1, 1)",le',"le', ajawab', q'amja, ajpop, ajaw, chokoj, nim"
B,6,9,"(1, 2)",ta,"ta, xa, kaj, winaq, wi, e, ulew"
C,3,18,"(2, 2)",ta,"ta, k'u, jun, xa, junajpu, xcha', wi"
D,4,9,"(4, 4)",ta,"ta, b'alam, amaq', tojil, wi, xa, e"
E,5,4,"(5, 2)",ta,"ta, puch, ajaw, xa, amaq', ajpop, ajawab'"
F,1,4,"(5, 5)",unim,"unim, ajaw, ja, jun, nim, lolmet, b'elejeb'"
