cluster_letter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
A,1.240763701168269,1.2316157611209737,1.1911850713750614,1.2654901315155758,1.1926780946838371,1.176427432030843,1.1827465788840743,1.1904058389520973,1.2940691880955872,1.2899461927944145,1.2803945668596002,1.2959559743931675,1.2995348169158736,1.2644719327841203,1.2738149004437467,1.2615447582487769,1.314429550467207,1.2698358434671975,1.2958126033795816,1.2958033696593254,1.2997761813496689,1.243389448857223,1.2675773993981991,1.2510790441097182,1.3168955467790653,1.316041157068414,1.3250141122515817,1.2606946227254492,1.261217847386721,1.316247058748147,1.2407288134901897,1.2713620412910736,1.3085400926360498,1.260812711557601,1.270733067461635,1.2995536844188373,1.2937747950509375,1.2964763379738635,1.1998540551566308,1.2084008953920298,1.2317198174200281,1.2793177372333566,1.3378875157721595,1.1907792214079655,1.2311810663935394,1.1887399306587796,1.2295591355649669,1.3799479908826513,1.3640889027587035,1.2821432881662869,1.290315318215882,1.2773360910317098,1.3346859927904422,1.303991460379073,1.2774184391001888,1.2654287669752045,1.2569245740489752,1.2963114298135376,1.280146170205382,1.3097652669538429,1.2930603217678833,1.2789910074020419,1.2747780473693222,1.2509655582692234,1.3041358707575537,1.3654793086451928,1.2963692480579578,1.2826024611210316,1.3188037412306175,1.3659345600314914,1.3956166033718802,1.3897488306840213,1.3868740910394286,1.3011520355630324,1.331774988925984,1.2838779215795428,1.3600930450720063,1.2841396241488596,1.2897390509575468,1.3745112706169456,1.3877178775570862,1.3695156237769404,1.3885143821226826,1.3758514587145985,1.381680975966953,1.3800349522753188,1.3597064806186272
B,1.3496754159983941,1.2996042731713662,1.257224204632756,1.3215025581360709,1.2748173938373832,1.261692685698729,1.2608782273338273,1.226557520260352,1.2195600628202614,1.1582122384521811,1.1080908580130062,1.169782103661621,1.1633656234530376,1.1328954023457476,1.3187582634767276,1.1218704816466916,1.1606932627536577,1.11153587581007,1.163112382931273,1.1223669764399675,1.1487714878514699,1.0964528585300846,1.1504262407254269,1.0941609914119956,1.1943451453656317,1.1439077422204709,1.1804190896876976,1.092170206656507,1.282450428210097,1.2104987182923916,1.2883049973091425,1.137017492208996,1.1632893483836289,1.1419466903828843,1.312569022631845,1.1757141530149366,1.1579014472347509,1.153394692248524,1.2137337482853314,1.2392572774721202,1.3237422891241737,1.3509996682309489,1.3301081729842763,1.2797203175915328,1.3231894297509124,1.288077186322634,1.2353305597116253,1.363759962825313,1.3543904263356288,1.2464048907590568,1.2554383517898127,1.2199062418135844,1.2908848808081048,1.2648362831352697,1.2460046512599594,1.2364777032011214,1.19970815214916,1.2567483383090503,1.211407236544805,1.2385242567048917,1.2209766819701828,1.2211032604491456,1.2363904568468944,1.2224758967182552,1.2745081910128635,1.3495924786444757,1.2634395144688724,1.2452976882344113,1.289810817266088,1.363001847589025,1.3780513988980856,1.375009835352058,1.3723331171289457,1.2752021047742952,1.3124041888881237,1.2628615151817695,1.3636391528414649,1.2825046658310177,1.2839116314893246,1.3600638359079527,1.3888332618295256,1.3522084063685325,1.3866079602661803,1.3422222227944223,1.379206505276429,1.3583249663335006,1.3446815914680148
C,1.3421013085363267,1.3046137921980778,1.2575475027637,1.3296566241495822,1.2782412108473211,1.2714351709247513,1.2594551629087338,1.2201448308000258,1.2920709298090125,1.246900924356269,1.2403018851918541,1.2720912077380122,1.2789564743996997,1.233156166032121,1.340545166990684,1.231752461475274,1.277487984222028,1.2322317382612549,1.2780247561852651,1.2529123644457287,1.2650006853932514,1.200357907807437,1.246146096313471,1.1940557701277899,1.2879237016159253,1.2716446450341947,1.3011789986998046,1.2205468769364662,1.3106159138120608,1.2448363345281226,1.2948528429292008,1.244245414094707,1.2852677136962265,1.2249271480278463,1.3307890055501956,1.2650093826093307,1.2549024221659895,1.2586949672788244,1.2355891962337955,1.2517321735679419,1.3155740298679017,1.3508493782671989,1.1388268790079161,1.2314670310565332,1.330823100332842,1.2847926808217265,1.0469085630021058,1.1662030748755852,1.1276409889336747,1.0694207056497587,1.0574950581039049,1.0251910481364845,1.2581848471002768,1.2046270878687324,1.037351473793754,1.03287949333853,1.053262568998476,1.0696663661931909,1.0984833561399374,1.0861962033965353,1.0657580832170115,1.0340385484706678,1.0572132216415957,1.0582069201815318,1.1242158791442771,1.3301232266425793,1.1839866868941682,1.2018690984615619,1.2665330342469077,1.342581280208002,1.3744552002509194,1.3614059622129717,1.375589230159838,1.2442986269441247,1.2780112744249,1.234241770587959,1.3402701771074483,1.2175415016405085,1.2482169600938817,1.3039366742803402,1.3624220779006875,1.344938274885393,1.3677636860133802,1.3519219234655147,1.3471081867947767,1.3601972826806905,1.3273892220645709
D,1.3334951802980561,1.3295085540303604,1.2905107671451985,1.3547951391363808,1.3324057401221405,1.3095083575377635,1.2967021232244975,1.2903168345513676,1.3223940995571806,1.2989498118507137,1.3013976862779473,1.3205074837054238,1.323753427378881,1.2931801924313995,1.36382578484003,1.2655798768788442,1.3139004114589292,1.2838184462284252,1.3095753019798766,1.3036258600395598,1.313516886378259,1.2684411877025588,1.298463122880659,1.2734281687587814,1.3319187810085213,1.3267198012835677,1.3397216149837488,1.2872844822997707,1.34553579604938,1.326249094040403,1.3272002202719093,1.293691982308384,1.338441279822686,1.2879285466982322,1.34465057538139,1.3007399053716497,1.2927649732921453,1.290544249901545,1.2766701244102552,1.3018827327136129,1.3439904912812815,1.3650769803174994,1.3399632325048711,1.2957892015761938,1.349643449150933,1.3219728609070496,1.2154096778256611,1.3334249781802758,1.323319849426395,1.251108719097594,1.2974659138871611,1.2698121732416203,1.1951302301121454,1.1953166533995094,1.2403483040999257,1.2329988435195718,1.2394015880754843,1.2743152025393372,1.2609055497000834,1.291306512400608,1.2685781029250924,1.2430381223436524,1.2401165366662568,1.232942859110853,1.263327136676914,1.2405259658164378,1.145479250747608,1.118844024854726,1.1386533832250738,1.278949105092568,1.3020698568765205,1.2874168097058496,1.2385932225874285,1.1441885703126906,1.1841922856916678,1.122565710597693,1.1984284617550254,1.1551242533164081,1.1536677748011945,1.2481295517668252,1.3546323815713144,1.2594528120918647,1.3456854896550294,1.275005387674145,1.3470079790375917,1.2821981614257099,1.22880959745174
E,1.3631370841724983,1.3787057179670834,1.390426903376017,1.4077313717886437,1.3935634357808067,1.372620504203087,1.3428756993796611,1.369979898276523,1.37424217341844,1.3716176301557728,1.359549505660626,1.393289502611576,1.392051466513901,1.3682994851254204,1.400042391651284,1.2941485093434462,1.3446856558299036,1.324696351439265,1.3421383545391858,1.3699031769038894,1.3784256086814963,1.360278453930803,1.3657936489390365,1.362007101655345,1.3645883278498507,1.3858936638233452,1.399986726600078,1.360547048254274,1.3801517996198793,1.3705776292045508,1.3788755201102312,1.3625174551443238,1.3838605171296836,1.3699499557637538,1.3876346475656955,1.3545805310138876,1.3054344566057796,1.339151332316735,1.322078393211715,1.3818817299817683,1.3916392832006232,1.386826736343197,1.3563933726332371,1.3852333257225782,1.3760318663574387,1.400120115996396,1.2796347443456726,1.3962833188715715,1.3730599747944945,1.352066580553733,1.382953397641878,1.3777190597811184,1.3648913260804942,1.3397433312701998,1.3473133051930903,1.3380618465266017,1.3424689351769648,1.3650895627254787,1.3538268489633358,1.3682725969746423,1.3500204408405299,1.3672635123742232,1.3684976157280435,1.3549449225849264,1.3326297354009313,1.3012374408388359,1.3546605980404325,1.2189694815138958,1.2556843380292693,0.9085669695882216,0.8797987755974684,0.8671914495782106,1.242289946851793,1.2557696413830524,1.3459134580587595,1.2254725953257168,1.2268468884507677,1.2403068453858095,1.285823495943517,1.335020833903233,1.3681470177678625,0.7909189560533947,1.2948891354305843,0.7759797141076347,1.2879947722106992,0.7776329156586387,1.2201001110908682
F,1.376081072533385,1.3634810672882363,1.3895014925433966,1.3935729671046444,1.3749008340287554,1.3947422572617105,1.3809879444428592,1.3685450708967384,1.3750146333591589,1.3789283012889573,1.369584647103679,1.395811222288413,1.3874017757347497,1.3837399730784916,1.4000937026238611,1.369000082530322,1.3846844369183655,1.3733098205323937,1.3788821209174014,1.3747709191392101,1.3843202270731698,1.3974444726759285,1.3890749394910664,1.3798570616023855,1.4044253127839703,1.3994031035857875,1.3969546482096653,1.383208410854106,1.4055067697699488,1.3913597394090544,1.3887743788823776,1.3809660860106636,1.3999601343586328,1.3907116941015554,1.3932156979952897,1.390514859266122,1.3679552285562984,1.3796631196889548,1.3778628250501164,1.3875894073561366,1.3968670294560301,1.3853891343724947,1.3409370276757528,1.3695197824674465,1.3931726221908303,1.3936464361649816,1.32970956195052,1.3675181299917814,1.3553374351824663,1.3574605569991638,1.3599691025724996,1.368769380909817,1.3844418275526007,1.3824114426930214,1.371313191794376,1.3554894540807698,1.3667133093075268,1.3749483499312642,1.3870983805332304,1.391334205335542,1.3673052274925641,1.3629940015055289,1.355164239292745,1.3332578105046646,1.3184443391928533,1.3764098716682767,1.3615098973554238,1.307742574686901,1.3382788311134244,1.33359888084877,1.3278970108654198,1.2850623618253791,1.3908418853958542,1.287929570422248,1.3358439357082939,1.3332279557256985,1.36542897487788,1.328431508863131,1.3583843258300072,1.3332838389523507,0.7421261424285618,1.3304869654495455,0.7083984826691117,1.33377783877762,0.8223792975805028,1.2912387930515579,1.352462810474566
