doc_id,D,C,E,A,B
0,3.335408462106752e-23,2.688715091029638e-27,1.2351841869532457e-12,0.02530334477341381,6.0215643633208575e-24
1,5.92916351957691e-14,4.592568223236574e-21,6.1225995494655875e-25,0.023596179617075892,5.738731836746779e-20
2,1.2796830542066745e-30,8.117610506432447e-25,7.639830662588118e-36,0.025077091415060378,7.005192883349894e-26
3,1.448391100889651e-20,1.8729986183579623e-17,1.2568294740909871e-38,0.0262106756464716,3.0880891327644757e-12
4,9.768468890174258e-15,1.9732146182920626e-16,3.961440432194233e-13,0.011116905532123982,0.014219971139828074
5,1.5573490823510328e-13,3.054456977873133e-25,1.1374126509132535e-17,2.7574441788538815e-08,0.021549665863791444
6,1.780629681898204e-28,8.507354604473066e-19,4.027201859272828e-17,4.48344845476824e-23,0.023313680255002214
7,4.2411282571686535e-27,9.819350716311075e-23,2.3631745726133306e-34,6.219299624268071e-26,0.019187545099221617
8,1.6227265607718565e-24,1.1086966239496999e-24,1.1979488227041238e-41,4.416412556817302e-34,0.021694587685624416
9,8.904096600452512e-26,9.194145921178795e-23,5.0294977674245585e-33,2.82130921673435e-19,0.027344805346227685
10,4.105923653047216e-19,1.7956331103246177e-18,2.3176307470983013e-27,1.4729998149929525e-12,0.02251369686839377
11,7.480624538182688e-17,0.016763307855158505,0.0015382040461760105,0.00655085490815776,3.455628206334981e-14
12,4.0418869096321303e-20,0.02229628973725863,0.0004346992337384501,6.651630809792268e-22,3.6727040038185105e-09
13,3.869987868368084e-21,0.021784587121796387,1.0493128688138803e-28,4.037117411330256e-18,1.8182401144616887e-23
14,3.8116853608545345e-05,0.023063216290662054,6.572399268065696e-07,3.8174066163371973e-13,1.083537102238264e-12
15,8.131430192788277e-15,0.014196228665017647,0.001870556485337131,0.0005054720744420751,0.007667805920507716
16,6.367571295392208e-17,0.018142083122334403,4.236288680192153e-17,1.8113749093735408e-14,0.0057295969954146726
17,6.099666096331636e-20,0.016453082504975,3.0379037297274727e-19,3.76584227828921e-14,0.004357573087829579
18,4.973375927004985e-10,0.02138477935351547,4.6409151461776884e-18,3.482966779537712e-05,3.2055091492425745e-09
19,6.641123863762077e-14,0.020651296569962778,6.357837797902063e-18,0.00031233715160229977,6.630571056997854e-10
20,7.14835252457346e-07,0.024270612822694753,5.04840968079447e-17,0.0010495759904353428,5.1120573359278605e-20
21,5.9192180810104226e-05,0.01843524141538181,8.047323553133493e-22,4.841714236175304e-11,0.005615110163606223
22,3.5236972490558906e-15,0.0254820871688154,6.491275086906736e-28,1.7031410918392794e-18,1.8793324850064678e-14
23,1.335068654125021e-28,0.0018801587085632528,1.1841386844268876e-38,6.619620689624365e-33,0.01878945034827665
24,1.1767881391455916e-18,0.02515931977384248,2.176538531252722e-19,4.976167900996798e-10,3.6682205638327e-07
25,5.47865367321864e-24,0.018658896838294407,1.1447046334690268e-23,5.804991934049085e-34,1.0561543949086363e-13
26,7.047160671267625e-16,0.02070279722993715,5.194514913809243e-36,4.1967694832172386e-20,2.1980046530856177e-05
27,2.3956646928013027e-05,0.01952051199139889,3.0905340970438137e-24,3.855774409805267e-28,6.574500655324281e-14
28,2.5138565070196163e-08,0.02573980029810916,8.845794160653565e-21,1.6722585999149162e-07,6.725707742680757e-08
29,8.291751325853355e-19,0.023809530969001857,1.4449745044312938e-24,1.3471849333001044e-20,2.982834531631376e-14
30,1.3040922205576876e-15,0.028571259381866766,1.829545651633124e-24,2.950172595459238e-22,4.75878280523616e-14
31,3.770445306909225e-15,0.02500138771988883,1.3829981302031442e-07,1.6051351949678973e-15,1.649690428670119e-13
