doc_id,0,1,2,3,4
0,-0.020577919458615306,0.12909583819870749,0.4572876789857783,-0.2474313131611013,-0.16428788793299004
1,-0.03710027908926456,-0.015553470060796933,0.37263976604604815,-0.22727380741940742,-0.0781271493344374
2,-0.044535714985484046,0.06038449637465542,0.47022366760374595,-0.20486008309579407,-0.07981780504691861
3,-0.06347951865440354,-0.003908416841567624,0.3686244647846181,-0.07489506334409445,-0.09847455565270158
4,-0.23160481343946776,-0.0722203890287078,0.2276601126619598,0.33469845313673596,-0.24386000462036816
5,-0.23690035023515657,0.026912185794104534,0.06874677745564005,0.26443882929767215,-0.07253584368915597
6,-0.23850840018093378,-0.12507932265852084,0.2014018740449937,0.4514760751305409,-0.21217004502519554
7,-0.24320279260850855,-0.18187815618955036,0.12506886191009312,0.5333469712118486,-0.2374090261249261
8,-0.22626408045056082,-0.13057447477557946,0.16794670469117035,0.3945020426116053,-0.1551281031042508
9,-0.25072050227191184,-0.06682028441735104,0.11955225919914758,0.11465131820731009,0.04684583766770704
10,-0.26679047213283075,0.11336992118130929,-0.2198605632735612,-0.16434389611150882,-0.0625670788455065
11,-0.303034779886461,-0.007461142704913987,-0.249387794276468,-0.23085553850087026,-0.10922042926339717
12,-0.2685748727807906,-0.022848220379966352,-0.10254024578003303,-0.15462708708333917,0.000999250769469658
13,-0.2373727341354513,0.045435250605951834,-0.10534327150192971,-0.10344388069537,-0.020696456102239944
14,-0.2555596573588558,-0.09956808034498296,0.049994012286562646,0.029261665434352525,0.3094275998261723
15,-0.21468036631879223,-0.11578406096781488,0.09553059940451013,0.16944976859186403,0.5334889975048761
16,-0.22350678265555857,-0.12583726283797708,0.1050441117206651,0.05160479654626906,0.5995145870482883
17,-0.10289135405894977,-0.13106353401058765,0.1017134495296169,0.004017495699792577,0.41624256138622956
18,-0.2125172128068405,-0.10147093214029901,0.0022313841155953275,-0.03040439666330507,0.16740354662930892
19,-0.26595723446929576,-0.05874645021648746,-0.20107182312755723,-0.0832836049905109,0.020743303577824824
20,-0.3092387885619191,-0.09641105774103945,-0.2325841019503586,-0.1855970271711007,-0.07939412624012315
21,-0.3041914221611325,-0.05275750876133968,-0.28141358090706653,-0.16705037074161977,-0.16412672310812482
22,-0.30268990431209,-0.10891709449189532,-0.1815373496106075,0.054490537184013345,-0.10539683204221874
23,-0.2167461354983172,-0.17588270612282478,-0.21310275110061278,-0.11988156297698256,0.03233013946205686
24,-0.277959242701576,-0.10202712658093202,-0.14976571115033638,-0.14418798642154526,0.0652542984842734
25,-0.24776064017228017,-0.047559964697155434,-0.24642883089504192,-0.11538246341022544,-0.14423173514513368
26,-0.2308347293885381,0.1480415273726111,-0.2665303515571347,-0.11926455905721463,-0.0869882879106721
27,-0.13752523874445588,0.10781770782918079,0.03312025409737992,-0.21485119763802063,0.014802377985805883
28,-0.03212173655421732,0.0446731430921548,0.347904865271588,-0.24849620182575294,-0.0959295009155624
29,0.14481434319495612,-0.0002649370643333314,0.3409791156647059,-0.2786181598197197,-0.16387920437916562
30,0.33445589634374573,-0.039477043122530364,0.22773946782944338,-0.18132429924766713,-0.0659658237627178
31,0.46197680340067127,-0.2672335539165863,-0.14853464058087118,-0.0155227659070745,-0.03523773086684811
32,0.4165092417907588,-0.3396591548481457,-0.1965491505513014,-0.04835626103226295,-0.0839380503676323
33,0.3606221379247968,-0.15572354205046665,0.04092825615395174,-0.03416942155149036,0.05204837667701542
34,0.47288746606396787,-0.23152587272002229,-0.03320386094079098,-0.015702299525558343,0.05727535829662258
35,0.3336152849428988,-0.1542069231651481,0.12216730195865515,-0.05395401429922226,0.09037640965913009
36,0.28687641791914975,-0.10842080421171486,-0.01864949495508976,0.02473232384219261,0.09783953344514573
37,0.40016553078035133,-0.19470557991078108,-0.14315063701447323,0.08571959402445926,-0.02202940899934074
38,0.2374301554502529,-0.1169936613451001,-0.23996625567425708,0.15997369405563,-0.14776155248781672
39,0.2870539881467907,-0.10749073866720152,-0.26342684404015143,0.13175740375690823,-0.15371232749820704
40,0.4054702054340476,-0.20044939342515325,-0.09999088450124793,-0.0023209173620660495,-0.018462713588237693
41,0.45322103478809656,-0.16023935139830706,-0.08003339316646402,0.027468464128368772,0.006817565645884361
42,0.2508447808964253,0.015681411002173427,0.03716119632732106,-0.03610193831981269,0.04894775643125004
43,0.2660107156303258,0.30304266244921413,-0.023954728010249348,0.14598574834163502,0.20284389672625158
44,0.1587274745744148,0.42329475077000733,-0.07585320648616842,0.13138515886592317,0.15503778562175696
45,0.10345526599908235,0.6383395721823036,-0.19319966624809745,0.09879479879424387,-0.02437778612529019
46,0.16718755664390333,0.41859786407834815,-0.006906357259870754,0.07344419749615365,0.01580449436863101
47,0.16096178851566625,0.4887026392981988,-0.019196727231829178,0.11402254724555862,0.030851249792414104
48,0.23017823640108903,0.33683557138588266,0.0015683359313639806,0.014832111068903446,-0.06412879488696263
49,0.0703833512312697,0.618535670200977,-0.09305229588298698,0.09214612270065532,0.024960056060028303
