topic_letter,topic_id,top_terms,gloss,ord
A,4,"alom, k'ajolom, b'it, chawaxoq, tz'aqol, b'itol, xkino'jij, raxakaqulja, qatz'aq, qab'it",alom,0
B,0,"ch'o, xib'alb'a, kati't, xpeq, uje', wak, iwati't, mixkina', xb'alanq'e, xech'akatajik",ch'o,16
C,5,"lal, kaqix, sipakna, tukur, xtaj, xpuch, omuch', k'ajolab', q'apojib', walib'",lal,20
D,3,"chowen, b'atz', rixoqil, xqakamuj, kekamoq, xuk'ajolaj, pom, kiyachwach, ajb'ix, ajsu'",b'atz',32
E,2,"unim, ajal, ch'okoj, ajpop, q'amja, nija'ib'ab', ajtzik', utasel, ule'el, b'elejeb'",unim,34
F,1,"amaq', tulan, tamub', k'itze', ilokab', tojil, ukab'awil, tinamit, awlix, iq'ib'alam",amaq',100
