chunk_80_id,term_str,n
1,ab'aj,1
1,ab'anel,1
1,aj,5
1,al,1
1,alay,1
1,alom,2
1,amaq'il,1
1,aq,1
1,aq'ab',1
1,are',4
1,atok'ol,1
1,awaxib'al,1
1,b'i,2
1,b'i',3
1,b'i'nam,1
1,b'i'oq,1
1,b'i'xik,1
1,b'is,1
1,b'isol,1
1,b'itol,3
1,ch'ab'al,1
1,ch'aqa,1
1,che',1
1,che'xik,1
1,chi,4
1,chik,4
1,chik'is,1
1,chikop,1
1,chirech,1
1,cho,2
1,christianoil,1
1,chuch,1
1,chuchaxik,4
1,chupan,1
1,chuqenel,1
1,dios,1
1,e,7
1,eta'manel,1
1,ewal,1
1,i'yom,2
1,ilb'al,3
1,ilol,1
1,ja',2
1,jul,1
1,jun,3
1,junajpu,2
1,k'a,4
1,k'a'amaxik,2
1,k'ajol,1
1,k'ajolom,2
1,k'aslem,2
1,k'eche'laj,1
1,k'iche',4
1,k'im,1
1,k'o,5
1,k'olem,1
1,k'olik,3
1,k'u'x,2
1,k'u'xlanel,1
1,k'u'xlay,1
1,k'ut,2
1,k'utunisaxik,1
1,kab'antaj,2
1,kachamamoq,1
1,kachamanik,1
1,kaj,12
1,kakotz',1
1,kakotz'ob'ik,1
1,kalolinik,1
1,kamal,1
1,kamolob'ik,1
1,kamul,2
1,kar,1
1,kasilanik,1
1,kasilob'ik,1
1,katolona',1
1,katz'ininik,1
1,katz'ininoq,1
1,katz'inonik,1
1,ki,2
1,la',3
1,laq,1
1,li'anik,1
1,lo,1
1,maja,3
1,mamom,2
1,matzanel,1
1,mawi,1
1,mej,1
1,mujib'al,1
1,muqutal,1
1,na'oj,2
1,nab'e,3
1,naqi,3
1,nim,2
1,nima'q,2
1,ojer,3
1,pa,11
1,palo,5
1,pe'oxik,1
1,petenaq,1
1,popo,1
1,puch,5
1,q'alaj,1
1,q'alajob'isaxik,1
1,q'equ'm,1
1,q'ukumatz,3
1,q'uq',1
1,qa,1
1,qajaw,1
1,rach,2
1,ramaq',1
1,raxa,2
1,raxon,1
1,re,3
1,rech,2
1,remanik,3
1,retaxik,1
1,ri,3
1,ri',1
1,ronojel,5
1,ruk',1
1,rumal,3
1,saq,2
1,saqi,1
1,saqil,5
1,saqirib'al,1
1,saqtetoj,1
1,sel,1
1,sis,1
1,siwan,1
1,ta,3
1,tap,1
1,tepew,2
1,tikarib'al,1
1,tinamit,1
1,tukel,4
1,tz'aqol,3
1,tz'ib'am,1
1,tz'ikin,1
1,tz'uk,2
1,tz'ukuxik,1
1,tzij,5
1,tzijoxik,5
1,u,33
1,ucha'n,1
1,ulew,4
1,utiw,1
1,wa'e,3
1,wach,2
1,waral,2
1,wi,8
1,winaq,2
1,winaqirem,1
1,wuch',1
1,wuj,1
1,wujil,1
1,xa,8
1,xb'an,1
1,xchiqak'am,1
1,xchiqatikib'a',1
1,xchiqatz'ib'aj,2
1,xchiqelesaj,1
1,xe',1
1,xe'nab'al,1
1,xkib'an,1
1,xkitzijoj,1
1,xma,2
1,xmuqane,1
1,xpiyakok,1
1,xukut,1
1,xukutaxik,1
1,yakalik,1
1,yuq,1
2,alom,1
2,apachinaq,1
2,aq'ab'al,2
2,are',2
2,at,3
2,b'alam,1
2,b'anatajik,1
2,b'e,1
2,b'i',2
2,b'it,3
2,ch'ata,1
2,ch'i'pi,2
2,ch'ob'ol,1
2,chajal,2
2,chawaxoq,2
2,che',1
2,cheltaj,1
2,chi,6
2,chijamataj,1
2,chik,4
2,chikopil,1
2,chiwinaqir,2
2,chuchaxik,1
2,chupan,1
2,chuxoq,1
2,e,2
2,ja',5
2,ju,2
2,jupacha,1
2,juraqan,3
2,juyub',8
2,k'a'am,2
2,k'ab'awil,1
2,k'ajolom,1
2,k'an,1
2,k'aslem,2
2,k'eche'laj,1
2,k'isisil,1
2,k'o,2
2,k'oje'ik,1
2,k'oleje',1
2,k'u,2
2,k'u',1
2,k'u'x,6
2,k'ut,13
2,kab',1
2,kacha',1
2,kaj,8
2,kaqulja,5
2,ke'uchaxik,1
2,keje',5
2,ki,5
2,kib',2
2,kiej,1
2,kixno'jintaj,1
2,koj,1
2,kuk',2
2,kumal,3
2,kumatz,1
2,laqel,1
2,lib'aj,1
2,ma,1
2,may,1
2,mi,1
2,na'oj,1
2,na'ojixik,1
2,nab'e,3
2,nawal,1
2,nay,2
2,nima'q,2
2,no'jixik,1
2,oxib',1
2,pa,1
2,pachajil,1
2,pe,1
2,pu,1
2,puch,5
2,pupuje'ik,1
2,pus,1
2,q'ala'ib'al,1
2,q'equ'mal,2
2,q'ijilab'al,1
2,q'o'l,1
2,q'ukumatz,4
2,qa,4
2,rach,1
2,raqan,1
2,raxa,2
2,re,1
2,ri,14
2,ri',6
2,rib',1
2,ronojel,1
2,rox,1
2,ruk',1
2,rumal,1
2,rutzinik,1
2,saq,2
2,saqiro,1
2,saqiroq,1
2,sochoj,1
2,suk',2
2,sutz',1
2,ta,24
2,taq,1
2,taq'aj,2
2,tepew,3
2,ti',1
2,tz'aq,3
2,tz'ikin,1
2,tz'ukik,1
2,tz'ukuxik,1
2,tzij,3
2,tzuqul,1
2,u,29
2,uleuj,1
2,ulew,8
2,utz,1
2,wa',1
2,wach,1
2,waral,2
2,wi,8
2,winaq,3
2,winaqil,1
2,winaqirem,1
2,winaqirik,5
2,winaqiroq,1
2,xa,7
2,xatulik,1
2,xax,1
2,xb'antaj,1
2,xb'inije'ik,1
2,xch'aw,1
2,xch'ob'och'ox,1
2,xchutzinik,1
2,xe',1
2,xe'ul,1
2,xeb'isonik,1
2,xecha',4
2,xek'oje',1
2,xena'ojinik,1
2,xeriqo,1
2,xk'oje',1
2,xk'olo,2
2,xk'utunije'ik,1
2,xkalaj,2
2,xki'kot,1
2,xkib'isoj,1
2,xkik'u'xlaj,1
2,xkikuch,1
2,xkina'ojij,1
2,xkino'jij,3
2,xna'ojixik,1
2,xo'l,1
2,xpe,1
2,xta',1
2,xul,1
2,xuxik,1
2,xwinaqir,2
2,xwinaqirik,2
3,alom,4
3,are',1
3,at,1
3,b'alam,1
3,b'anoj,1
3,b'e,1
3,b'i',2
3,b'inib'al,1
3,b'it,1
3,b'itol,3
3,b'ixik,1
3,ch'ab'al,2
3,ch'i'pi,1
3,ch'ob'il,1
3,ch'uti,2
3,chajal,1
3,chakab'al,1
3,che',3
3,chi,7
3,chib'ij,1
3,chik,8
3,chik'am,1
3,chik'oje',1
3,chikach'ik,1
3,chikop,4
3,chilolinik,1
3,chipatanij,1
3,chiqab'an,1
3,chiri',1
3,chitz'ininik,1
3,chuch,1
3,chuq'ab',2
3,chuwach,2
3,chuwi',2
3,chuxik,1
3,chuxoq,1
3,i,9
3,iwecha',1
3,iwib',1
3,ix,3
3,ju,3
3,jujunal,1
3,juraqan,1
3,k'a,1
3,k'a'am,3
3,k'ajolom,4
3,k'ate,1
3,k'eche'laj,2
3,k'im,1
3,k'o,4
3,k'u,3
3,k'u'x,2
3,k'ut,12
3,k'uxun,1
3,kaj,3
3,kajkaj,1
3,kaqulja,2
3,katk'oje',1
3,katwar,1
3,keje',4
3,kek'aralajik,1
3,kewech'elajik,1
3,kewojonik,1
3,ki,5
3,kib',3
3,kib'il,3
3,kiej,7
3,kinuk',1
3,kipoq'o',1
3,kitij,1
3,kitijitob'ej,1
3,kixch'awajetaj,1
3,kixch'awoq,2
3,kixcha',1
3,kixjain,1
3,kixjalatajik,1
3,kixk'iritaj,1
3,kixochochin,1
3,kixpoq',1
3,kixsik'inoq,1
3,kochoch,2
3,koj,1
3,kojiq'ijarisaj,1
3,kojiq'ijila',1
3,kojisik'ij,1
3,kumatz,1
3,lo,1
3,ma,2
3,mawi,8
3,mi,7
3,mixsik'inik,1
3,mixyonolikinik,1
3,molajil,1
3,na,2
3,nima,2
3,nimanel,1
3,oj,4
3,pa,6
3,patan,1
3,pu,2
3,puch,2
3,q'ij,1
3,q'ijilab'al,1
3,q'ijilonel,1
3,q'ijiloxik,1
3,qa,4
3,qajaw,1
3,qe,1
3,raxa,1
3,re,1
3,ri,8
3,ri',1
3,rochoch,1
3,ronojel,2
3,rumal,4
3,saq'ul,1
3,sik'iy,1
3,siwan,2
3,suk'u,1
3,ta,9
3,taq,2
3,tijtob'exik,1
3,tio'jil,2
3,tz'aq,2
3,tz'aqol,3
3,tz'ikin,9
3,tzij,1
3,u,8
3,ulew,4
3,utz,2
3,wa',1
3,wach,1
3,warab'al,2
3,waral,2
3,wi,14
3,winaq,2
3,xa,6
3,xa'on,1
3,xb'anataj,1
3,xcha',1
3,xe',1
3,xe'uchax,2
3,xe'uchaxik,5
3,xe'uxik,1
3,xech'akataj,1
3,xech'awik,2
3,xecha',2
3,xekamisaxik,1
3,xepixab'axik,1
3,xeti'ik,1
3,xiwech,1
3,xixch'awik,1
3,xkib'ano,1
3,xkich'ik,1
3,xkino'jij,1
3,xkipatanij,1
3,xkisipaj,1
3,xkita,1
3,xkitzijoj,1
3,xma,3
3,xnawachir,1
3,xqajal,1
3,xraj,3
3,xuk'amo,1
3,xutzin,2
3,xutzinik,3
3,xutzininaqa,1
3,xuya'o,1
3,xwachinik,1
3,xwinaqir,1
3,ya',1
3,yakalib'al,2
4,aj,16
4,alom,2
4,anom,1
4,apanoq,1
4,aq,1
4,are',1
4,b'ana',1
4,b'anik,2
4,b'enaq,1
4,b'i,1
4,b'i',2
4,b'it,8
4,b'itaxik,1
4,b'itoj,1
4,b'itol,2
4,b'ixik,1
4,ch'ut,1
4,cha',1
4,chata,1
4,chawaxoq,1
4,che,1
4,che',1
4,chel,1
4,chi,6
4,chi',1
4,chi'umar,1
4,chi'umarik,1
4,chib'anatajik,1
4,chib'inik,1
4,chich'aw,1
4,chik,6
4,chik'utun,1
4,chike,1
4,chikech,1
4,chimala',1
4,chimuqun,1
4,chinawachir,1
4,chipoq'otajik,1
4,chiq'ajaj,1
4,chiqab'ano,1
4,chiqak'otaj,1
4,chiqawinaq,2
4,chire,1
4,chirech,2
4,chirij,1
4,chiyojomanik,1
4,churiqo,1
4,chutzin,1
4,chuwach,1
4,chuxoq,3
4,e,3
4,i,1
4,i'yom,1
4,ixim,1
4,ja',1
4,jolom,1
4,ju,1
4,jun,1
4,junajpu,4
4,jupacha,2
4,juraqan,1
4,k'ajolom,2
4,k'ate,1
4,k'olol,1
4,k'u,3
4,k'u'l,1
4,k'ulu',1
4,k'ut,7
4,k'uwal,1
4,kamul,2
4,katoq',1
4,ke'uchaxik,1
4,keje',1
4,ki,4
4,kib',1
4,kitija',1
4,kixuchaxik,1
4,ko,1
4,kojna'b'ax,2
4,kojsik'ix,1
