term_str,n,gloss
0,3,
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
a,49,
abah,27,
abanel,1,
abanoh,1,
abi,2,
abix,7,
abixic,4,
abixom,1,
ac,1,
aca,1,
acaab,1,
acab,59,
acaba,1,
acabal,2,
acah,2,
acahau,2,
acalab,1,
acam,2,
acan,5,
acanic,1,
acanoc,12,
acaroc,5,
acarroc,1,
acavitz,1,
ach,1,
achac,1,
achbilai,2,
achbilan,1,
achih,10,
achihab,2,
achihal,1,
achihil,1,
achihilal,1,
achinac,1,
achuch,1,
acuil,1,
acul,1,
ah,95,
aha,6,
ahache,2,
ahal,8,
ahalcana,3,
ahalmez,3,
ahalpuh,1,
ahaltocob,2,
aham,8,
ahamche,5,
ahau,133,
ahauab,115,
ahaual,1,
ahauar,1,
ahauarem,15,
ahavab,4,
ahavah,1,
ahbatena,1,
ahbit,7,
ahbix,5,
ahbiz,1,
ahcab,1,
ahcah,1,
ahcahb,11,
ahcahb:,1,
ahchoc,1,
ahchoce,1,
ahcot,3,
ahe,1,
ahi,12,
ahilam,1,
ahilan,12,
ahilatal,1,
ahlabal,7,
ahloε,2,
ahmac,1,
ahnaoh,4,
ahnim,1,
ahoxbal,1,
ahpatan,1,
ahpop,31,
ahpopcam,1,
ahpopcamha,4,
ahpopol,1,
ahpu,95,
ahqiquina,1,
ahqiquinaha,2,
ahquibaha,1,
ahquih,1,
ahquix,1,
ahquixb,11,
ahqun,1,
ahrelebal,1,
ahtinamit,1,
ahtzac,5,
ahtzibenai,1,
ahtzic,4,
ahuchan,1,
ahvqhan,1,
ahxayabah,1,
ahxob,1,
ahzib,1,
ahzibab,1,
ahzic,1,
ahzivan,1,
ahzu,4,
al,16,
ala,2,
alaba,1,
alabilaxic,1,
alac,1,
alachinac,1,
alai,1,
alal,1,
alanel,1,
alay,1,
alcual,2,
alib,1,
alibla,1,
alom,17,
alubic,1,
ama,1,
amac,116,
amactan,1,
amaquel,4,
amaquelab,1,
amaquil,1,
anam,1,
anavi,1,
anilabic,1,
anim,6,
anom,1,
aon,3,
apa,26,
apachina,1,
apachinac,1,
apan,1,
apanoc,10,
apetic,1,
apon,2,
aponoc,8,
aqui,1,
aqux,1,
araroc,1,
araxal,1,
are,350,
areba,1,
arecut,4,
arepu,1,
arepuch,1,
areri,3,
areta,6,
at,58,
ata,1,
ataca,2,
atala,1,
atalabe,2,
atan,3,
ate,1,
atin,1,
atit,36,
ato,1,
atoob,1,
atzaca,1,
atziac,1,
atzih,1,
atziiac,3,
atziyac,1,
au,1,
auazinic,1,
aue,1,
auech,1,
auetaam,1,
auib,1,
auilix,3,
auiquicab,1,
aulix,24,
auvmal,1,
aval,1,
ave,4,
ave;,1,
avech,1,
avecha,1,
avi,1,
avila,1,
avilix,3,
avion,1,
avitzmal,1,
avlix,4,
avmal,1,
avq,1,
avvmal,1,
aztapulul,1,
aε,3,
aεab,3,
aεabal,3,
ba,11,
ba:,1,
bac,21,
bah,2,
bal,5,
bala,28,
bala-xeqha,1,
balam,175,
balamacab,2,
balami,1,
balamiha,1,
balamil,1,
balamquitze,1,
bam,1,
ban,1,
bano,3,
banoh,9,
banol,5,
baquil,4,
bare,1,
bari,2,
bate,6,
batena,1,
batz,27,
batza,1,
be,43,
beal,1,
bec,5,
behoh,1,
beleh,2,
belehe,1,
beleheb,19,
beletac,1,
benac,1,
benam,1,
beyaa,1,
bi,29,
bic,2,
bichoc,1,
bih,1,
biih,1,
bil,1,
binibal,2,
biquitahic;,1,
bit,23,
bitic,1,
bitoh,1,
bitol,20,
bix,8,
bixic,2,
biz,4,
bizol,1,
bizonic,1,
bocotahic,1,
bocotahinac,1,
boh,3,
bolah,1,
bolol,1,
bulih,1,
butic,2,
buz,1,
bÿ,1,
bÿc,2,
bÿh,2,
bÿnic,1,
ca,122,
caal,1,
caam,15,
caanic,1,
cab,23,
caba,3,
cabac,1,
cabaha,1,
cabal,6,
caban,5,
cabana,1,
cabano,1,
cabantah,2,
cabarinac,1,
cabauil,34,
cabavil,10,
cabavilal,1,
cabchÿal,1,
cabe,3,
cabec,1,
cabi,4,
cabicac,1,
cabichal,8,
cabihir,1,
cabil,1,
cabin,1,
cabiquilahic,1,
cabit,3,
cabix,4,
cabixic,3,
cablahu,1,
cabobal,1,
cabolovic,1,
cabracan,11,
cabrracan,7,
cabÿh,5,
cac,5,
caca,3,
cacab,1,
cacabal,1,
cacabano,1,
cacabauil,1,
cacacah,1,
cacachaah,1,
cacachaquimah,1,
cacacoho,1,
cacah,6,
cacahau,5,
cacahtanabec,1,
cacal,1,
cacamaihah,1,
cacamic,3,
cacamuchih,1,
cacan,12,
cacanahic,1,
cacanaht,1,
cacanao,2,
cacanic,2,
cacaraih,1,
cacat,2,
cacatat,1,
cacatocobah,1,
cacatzinin,1,
cacaxibih,1,
cacaxico,1,
cacaxuuic,1,
cacay,1,
cacaya,3,
cacayaco,1,
cacazilanic,1,
cach,1,
cacha,8,
cachac,2,
cachacanic,1,
cachacom,1,
cachacon,2,
cachamanic,1,
cachapa,2,
cachape,1,
cachapo,1,
cachbil,1,
cachbilan,3,
cache,1,
cachelic,1,
cachi,2,
cachihilal,2,
cachiri,1,
cachob,1,
cachocon,1,
cachopih,1,
cachuc,1,
cachuch,2,
cachui,2,
cachuiu,1,
cachuiub,1,
caco,1,
cacomouabal,1,
cacoto,1,
cacotzobic,1,
cacou,1,
cacouil,1,
cacoxou,1,
cacoxouic,1,
cacoycot,1,
cacraxutzinic,1,
cactarin,1,
caculha,16,
cacupupic,1,
cacurulah,1,
cacvacavoh,1,
cah,63,
caha,3,
cahanic,1,
cahanican,2,
cahau,38,
cahaual,1,
cahauarem,11,
cahauaxic,1,
cahauixel,2,
cahavarem,1,
cahb,6,
cahbaha,1,
cahbic,3,
cahcab,1,
cahcah,1,
cahchamÿal,1,
cahe,2,
cahi,2,
cahib,23,
cahibcut,1,
cahic,2,
cahichah,1,
cahichal,2,
cahim,1,
cahinac,1,
cahizabal,3,
cahmul,1,
cahoc,10,
cahol,1,
caholab,1,
caholal,1,
cahouic,1,
cahtacmul,1,
cahulhut,1,
cahurux,1,
cahuyubal,2,
cahzel,1,
cai,1,
caib,46,
caibchic,1,
caie,1,
caien,1,
caiih,1,
cal,11,
cala,4,
calabil,2,
calah,26,
calaixic,1,
calal,1,
calaon,1,
calata,11,
calaxic,6,
calcual,3,
cale,1,
caleh,1,
calel,1,
calem,3,
calibal,3,
caluh,1,
cam,4,
cama,8,
camac,2,
camal,1,
camalotz,1,
camam,6,
camavi,1,
camaxic,1,
camazotz,1,
camba,1,
cambal,1,
came,71,
came?,1,
camel,1,
camha,18,
camhail,1,
camic,24,
camiheic,1,
caminac,5,
camizabal,2,
camizah,2,
camizai,2,
camizanel,5,
camizax,2,
camizaxic,4,
camo,4,
camob,1,
camoc,3,
camol,7,
camolobic,1,
camolre,2,
camouan,1,
camouanic,1,
camovabal,1,
camtah,1,
camu,1,
camucu,1,
camucunic,1,
camuhibal,1,
camul,6,
can,4,
cana,5,
canab,4,
canabah,1,
canabe,6,
canabih,1,
canah,2,
canahoc,4,
canaohixic,1,
canchahelebbalam,1,
canic,1,
canicou,1,
canih,1,
canimar,1,
canimaxic,1,
canna,1,
canoc,23,
cante,1,
canti,3,
canu,1,
canubico,1,
canubÿh,1,
canuchihchic,1,
canunao,1,
canuraih,1,
canutaco,1,
canutao,4,
canutzucuh,1,
caoqueb,1,
cap,1,
capatan,2,
cape,1,
capetic,1,
capixab,2,
capixabah,1,
capoh,29,
capohib,19,
caporoh,1,
caqha,14,
caqhauic,1,
caqhauoc,1,
caquehoh,1,
caquetamah,1,
caquiban,2,
caquibano,5,
caquibÿh,1,
caquic-xeqha,1,
caquicaztah,1,
caquichic,1,
caquichih,1,
caquicot,1,
caquicouizah,1,
caquiculu,1,
caquih,3,
caquihiloxic,1,
caquihtala,1,
caquil,2,
caquilo,3,
caquina,3,
caquinao,2,
caquinic,1,
caquinuc,1,
caquiqahol,1,
caquirixic,1,
caquiro,1,
caquitac,1,
caquitao,1,
caquitzonoh,1,
caquitzucuh,1,
caquix,38,
caquixaha,1,
caquixcachohih,1,
caquixha,1,
caquixibih,1,
caqux,1,
caquÿc,1,
car,4,
caracoh,1,
carah,6,
carahtah,1,
caraih,1,
carchah,1,
caretamah,1,
caril,1,
carilo,1,
castillan,2,
cat,15,
cata,1,
catacahal,1,
catacan,1,
catah,1,
catahic,4,
catahin,2,
catan,1,
catanaic,1,
catanalah,1,
catanic,1,
catarih,1,
catat,1,
catbe,3,
catbec,2,
catcamic,1,
catchaahic,1,
catchoconic,1,
cate,178,
catecut,2,
catei,2,
catel,2,
catelic,1,
catem,2,
cateviri,1,
cati,1,
catic,1,
catical,1,
catiha,3,
catilo,1,
catilovic,1,
