parte,capit,sent,token,token_str,token_lemma,token_pos,token_dep,term_str
0,1,0,0,Este,este,PRON,nsubj,este
0,1,0,1,es,ser,AUX,cop,es
0,1,0,2,el,el,DET,det,el
0,1,0,3,principio,principio,NOUN,ROOT,principio
0,1,0,4,de,de,ADP,case,de
0,1,0,5,las,el,DET,det,las
0,1,0,6,antiguas,antiguo,ADJ,amod,antiguas
0,1,0,7,historias,historia,NOUN,nmod,historias
0,1,0,8,de,de,ADP,case,de
0,1,0,9,este,este,DET,det,este
0,1,0,10,lugar,lugar,NOUN,nmod,lugar
0,1,0,11,llamado,llamado,ADJ,amod,llamado
0,1,0,12,Quiché,Quiché,PROPN,obj,quiche
0,1,0,13,.,.,PUNCT,punct,
0,1,1,0, , ,SPACE,nummod,
0,1,1,1,Aquí,aquí,ADV,obj,aqui
0,1,1,2,escribiremos,escribir,VERB,ROOT,escribiremos
0,1,1,3,y,y,CCONJ,cc,y
0,1,1,4,comenzaremos,comenzar,VERB,conj,comenzaremos
0,1,1,5,las,el,DET,det,las
0,1,1,6,antiguas,antiguo,ADJ,amod,antiguas
0,1,1,7,historias,historia,NOUN,obj,historias
0,1,1,8,",",",",PUNCT,punct,
0,1,1,9, , ,SPACE,appos,
0,1,1,10,el,el,DET,det,el
0,1,1,11,principio,principio,NOUN,obj,principio
0,1,1,12,y,y,CCONJ,cc,y
0,1,1,13,el,el,DET,det,el
0,1,1,14,origen,origen,NOUN,conj,origen
0,1,1,15,de,de,ADP,mark,de
0,1,1,16,todo,todo,DET,det,todo
0,1,1,17,lo,él,PRON,det,lo
0,1,1,18,que,que,PRON,obj,que
0,1,1,19,se,él,PRON,obj,se
0,1,1,20,hizo,hacer,VERB,acl,hizo
0,1,1,21,en,en,ADP,case,en
0,1,1,22,la,el,DET,det,la
0,1,1,23,ciudad,ciudad,NOUN,obl,ciudad
0,1,1,24,de,de,ADP,case,de
0,1,1,25,Quiché,Quiché,PROPN,nmod,quiche
0,1,1,26,",",",",PUNCT,punct,
