parte,capit,abuela,abuelo,abuelos,acab,acabaron,acaso,acerca,acá,además,aflijáis,agregó,agua,ah,ahau,ahora,ahpop,al,alegraron,alegría,allá,allí,amanecer,amaneció,amanezca,anda,animales,ante,antes,apariencia,aquel,aquellos,aquéllos,aquí,arrojaron,asiento,asimismo,así,aunque,aurora,aves,avilix,avispas,ay,bajo,balam,barrancas,bejucos,bien,blanco,boca,bosque,bosques,brazos,buena,bueno,buenos,buscar,cabeza,cabezas,caculhá,cada,cakchiqueles,camhá,caminaban,camino,caminos,campo,camé,cantar,caquix,cara,caras,casa,casas,causa,cavec,cayó,celebraron,cerbatana,cerros,chi,chipi,cielo,ciertamente,cima,ciudad,claramente,coger,comenzaron,comenzó,comer,comida,como,con,condición,conocer,consejo,contar,contaremos,contemplaban,contestaron,contestó,continuación,contra,convirtieron,corazones,corazón,cosa,cosas,cotuhá,creado,creador,creados,cual,cuales,cuando,cuanto,cuatro,cumbre,cuya,cuyo,cuyos,cómo,dado,dando,dar,daremos,darles,decir,decía,decían,dejado,dejaron,del,delante,demás,dentro,derrota,descendencia,desde,deseaban,despidieron,después,destrucción,destruidos,detrás,dice,dicen,dicho,diciendo,dientes,dieron,dijeron,dijo,dio,dios,dioses,directamente,diremos,dirigieron,dirigiéndose,diréis,dispusieron,dolor,donde,dos,durante,día,días,dónde,echó,ella,ellas,ellos,embargo,encontraron,entonces,entrar,entraron,entre,era,eran,es,eso,esos,esta,estaba,estaban,estado,estando,estas,este,esto,estos,estrella,estrellas,estuvieron,está,están,exclamaron,existencia,familias,faz,figura,fin,formado,formador,formados,frente,fue,fuego,fueran,fueron,galel,generación,gente,gentes,gloria,gran,grande,grandes,grandeza,gritos,gucumatz,ha,habiendo,hablaban,hablaron,habló,habéis,había,habían,hacavitz,hacen,hacer,hacia,haciendo,hacía,hacían,han,haremos,hasta,hay,haya,he,hecha,hechas,hecho,hechos,hemos,hicieron,hijas,hijo,hijos,historia,hizo,hombre,hombres,hoy,hubiera,hueso,huesos,hun,hunahpú,huracán,iba,iban,id,ido,igualmente,ilocab,inmediatamente,instante,instrumentos,iqui,ir,ixbalanqué,ixmucané,ixpiyacoc,jefe,juego,jugar,junto,juntos,jóvenes,lado,le,lejos,les,levantando,león,llama,llamaba,llamaban,llamada,llamadas,llamado,llamados,llaman,llamaron,llegaban,llegada,llegado,llegar,llegaron,llegó,llenaron,llenó,llevaban,llevando,llevaron,lo,luego,lugar,luna,luz,madre,madres,mahucutah,manera,manos,mar,marcharon,matar,maíz,me,medio,memoria,mensajeros,mi,miedo,mientras,mis,misma,mismo,mismos,montaña,montañas,monte,montes,muchacho,muchachos,muchas,mucho,muchos,muerte,muerto,muertos,mujer,mujeres,multiplicaron,murieron,muy,muñecos,más,mí,nacieron,nacimiento,nada,naturaleza,ni,nietos,nihaib,nim,nimá,ninguna,no,noche,nombre,nombres,nos,nosotros,noticia,nuestra,nuestras,nuestro,nuestros,nuevamente,nueve,nuevo,numerosos,obra,obras,oh,ojos,orden,oriente,origen,orilla,os,oscuridad,otra,otras,otro,otros,oyeron,padre,padres,palabra,palabras,palo,para,parte,partes,pasaron,patria,pecho,pelota,pensaban,pequeñas,pequeños,pero,pie,piedra,piedras,piernas,plumas,poco,podemos,poder,podían,porque,posible,preguntaron,preguntó,presencia,primer,primera,primeras,primero,primeros,principio,prodigio,prodigiosos,progenitores,pronto,pudieron,pudo,pueblo,pueblos,puede,pues,puesto,punta,punto,pusieron,pájaros,quedado,quedaron,quedó,quemaron,queremos,querían,quiché,quichés,quien,quienes,quisieron,quitzé,quién,qué,ramas,raxa,razón,realidad,realmente,recibieron,reino,reunieron,rey,reyes,ruina,rápidamente,río,ríos,sabiduría,sabios,sabía,sabían,sacerdotes,sacrificadores,salida,salieron,sangre,sea,sean,seguida,segundo,según,sentían,ser,será,serán,señal,señor,señores,si,sido,siempre,sin,sino,sobre,sol,sola,solamente,solo,somos,son,soy,suelo,superficie,sus,sí,sólo,tal,también,tampoco,tamub,tan,tanto,te,tened,tenemos,tengáis,tenía,tenían,tepeu,tercero,terminada,tiempo,tierra,tigre,tigres,toda,todas,todavía,todo,todos,tohil,tomaron,traer,traían,traído,tres,tribus,tristeza,tu,tulán,tuvieron,tziquinahá,tú,un,una,uno,unos,vamos,vasallos,vayan,ve,veces,vemos,vencer,vencido,vencidos,vengan,venid,venido,venís,ver,veras,verdad,verdaderamente,vez,veían,vida,vieja,vientre,vieron,vinac,vinieron,vino,vista,volveremos,volvió,vosotros,vucub,vueltas,vuestra,vuestras,vuestro,vuestros,xibalbá,ya,yo,zipacná,árbol,árboles,él,ésta,éste,éstos,únicamente
0,1,0.1515504148228106,0.17123101395361226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179483320498712,0.0,0.0,0.0,0.10094624518062792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07176694967879346,0.0,0.0,0.0,0.09673184915237332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249295082576949,0.0,0.0,0.07061319460993647,0.179483320498712,0.0,0.0,0.0,0.0,0.0,0.07658501175611816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089741660249356,0.07872031569326643,0.0,0.0,0.0,0.03156479602855894,0.0,0.16307036095341135,0.0,0.0,0.0,0.089741660249356,0.10081340796558376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09469438808567683,0.0,0.0,0.07061319460993647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06619134291882953,0.0,0.0,0.0,0.0,0.0,0.0,0.060557561427932324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477292249189468,0.10081340796558376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03588347483939673,0.0,0.040009628111946596,0.0,0.0,0.0,0.04477292249189468,0.0,0.0,0.0,0.0,0.08954584498378935,0.0409053502173024,0.0,0.0,0.0,0.0,0.04477292249189468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450495462930408,0.08197598185486718,0.0,0.0,0.171879233105247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049194774183001624,0.0,0.0,0.0,0.0757752074114053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05579426704798425,0.0,0.0,0.052983216455493795,0.09450495462930408,0.06232377064423725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10596643291098759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197598185486718,0.09450495462930408,0.0,0.0,0.0,0.0,0.0,0.0,0.07061319460993647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10333622755086876,0.1246475412884745,0.089741660249356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23554123875479852,0.0,0.06419708654987129,0.0,0.17123101395361226,0.06419708654987129,0.0,0.0,0.0,0.0,0.18900990925860817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07308653420236924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450495462930408,0.0,0.03156479602855894,0.0,0.0,0.05579426704798425,0.0,0.0,0.0,0.04277866612293644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089741660249356,0.0,0.0,0.07872031569326643,0.0,0.0,0.06232377064423725,0.0,0.0,0.06232377064423725,0.0,0.0,0.0,0.08197598185486718,0.0,0.0,0.09450495462930408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034375846621049394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03829250587805908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249295082576949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06832323982242115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19857402875648855,0.08561550697680613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477292249189468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197598185486718,0.0,0.0,0.060557561427932324,0.1589496493664814,0.0,0.0,0.0,0.0,0.0,0.27897133523992124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05730189526633158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450495462930408,0.16395196370973436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2568465209304184,0.0,0.0,0.0,0.0,0.0,0.0,0.08197598185486718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08001925622389319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21023847877613913,0.0,0.0,0.0,0.0,0.05391946116586454,0.0,0.03535546604672682,0.0,0.0,0.0,0.0,0.09586928084580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01916681125322758,0.0,0.0,0.0,0.1550051467850312,0.0,0.0,0.0,0.0,0.0,0.0,0.0437866783677593,0.0,0.0504789080762603,0.0504789080762603,0.0,0.0,0.0,0.0,0.047934640422900576,0.0,0.04573069553376118,0.0,0.0,0.0,0.0,0.0,0.22865347766880595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504789080762603,0.0,0.09586928084580115,0.39947567637993786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10226785949002659,0.01759371013045742,0.0,0.0,0.0,0.0,0.0,0.0,0.03649419817190046,0.0,0.0,0.0,0.0,0.0,0.1655881414455603,0.04573069553376118,0.0,0.0,0.0,0.04204769575522783,0.0,0.0,0.0,0.10116018425202009,0.0,0.0,0.0,0.0,0.0,0.0,0.026924253725694347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15174027637803014,0.0,0.0,0.037717355388061216,0.0,0.0,0.0,0.0,0.0,0.030607253504227702,0.0,0.0,0.0,0.0,0.0,0.0,0.047934640422900576,0.0,0.0,0.06004023189532661,0.0,0.0,0.03234623611675917,0.0,0.0,0.0,0.0,0.0,0.0,0.047934640422900576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020013410631775537,0.0,0.0,0.09379628985599209,0.0,0.0,0.07883073941118326,0.0,0.0,0.12822453685420185,0.03234623611675917,0.0,0.10685378071183488,0.047830047591453394,0.06554759234198411,0.0,0.0,0.0,0.0,0.0,0.026924253725694347,0.0,0.0,0.0,0.0,0.0,0.0,0.0437866783677593,0.0,0.0437866783677593,0.0,0.0,0.0504789080762603,0.0437866783677593,0.0,0.0,0.11016915727439595,0.0,0.0,0.018759257971198418,0.0,0.0,0.0,0.0,0.04204769575522783,0.0,0.0,0.047830047591453394,0.0437866783677593,0.0,0.242847567794746,0.029801968463399452,0.0,0.0,0.07071093209345364,0.0,0.0,0.11686912748831312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03145385288277566,0.0,0.0,0.0,0.047934640422900576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033289639698328155,0.14142186418690728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121423783897373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08490141887901043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04047459463245767,0.10287075984828317,0.0,0.0,0.0,0.0,0.020013410631775537,0.0,0.0,0.11315206616418365,0.0,0.0,0.0,0.0,0.0,0.033289639698328155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033289639698328155,0.0,0.047934640422900576,0.0,0.0,0.0,0.0,0.020905793865759047,0.0,0.0,0.0,0.0,0.0,0.0,0.04674765099532525,0.0,0.1009578161525206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03429025328276106,0.0,0.0,0.0,0.0,0.0,0.1951923291263009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047934640422900576,0.10606639814018046,0.03903846582526018,0.13405153603773926,0.0,0.0,0.0,0.0,0.0,0.10116018425202009,0.10606639814018046,0.028300472959670142,0.0,0.0,0.0,0.0,0.0685494330952828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08094918926491534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08409539151045566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04573069553376118,0.0504789080762603,0.0,0.019584683428560085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04047459463245767,0.0,0.03535546604672682,0.0,0.0504789080762603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437866783677593,0.04573069553376118,0.0,0.0769620192247745,0.0,0.0,0.0504789080762603,0.0,0.0504789080762603,0.0,0.0,0.0,0.0,0.0,0.0,0.020013410631775537,0.0,0.0,0.0,0.030607253504227702,0.04573069553376118,0.0,0.047934640422900576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04204769575522783,0.0,0.0,0.09586928084580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437866783677593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03649419817190046,0.0,0.0,0.0,0.056600945919340284,0.0,0.0,0.0,0.0,0.0,0.03535546604672682,0.0,0.0,0.0,0.043698394894656066,0.0,0.0,0.05255382627412218,0.037717355388061216,0.0,0.047830047591453394,0.0,0.0,0.0437866783677593,0.017222794087225688,0.0580683047629151,0.10685378071183488,0.0,0.019584683428560085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751467134710372,0.0504789080762603,0.0504789080762603,0.0,0.2830047295967014,0.0,0.0,0.04204769575522783,0.0,0.037717355388061216,0.08940590539019835,0.0,0.0,0.0,0.0,0.0,0.0,0.03429025328276106,0.0,0.0,0.04047459463245767,0.0,0.0,0.0,0.07071093209345364,0.06271738159727713,0.01797315372195485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028300472959670142,0.0,0.0,0.0,0.09146139106752237,0.0,0.0,0.0,0.0,0.06469247223351834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07807693165052036,0.0,0.0,0.030607253504227702,0.0,0.0
1,2,0.14388330622754045,0.054189413789343555,0.0,0.0,0.0,0.0,0.029907947008582566,0.0,0.0,0.0,0.0,0.024912588334528047,0.0,0.0,0.012661831774840628,0.0,0.11713687251502711,0.0,0.0,0.0,0.03971169731107247,0.023980551037923407,0.0,0.0568010180995888,0.0,0.08379019636413525,0.0,0.0,0.0,0.0,0.020947549091033812,0.0,0.02271205923943601,0.0,0.0,0.0,0.18367614882242206,0.0,0.0284005090497944,0.11963178803433026,0.0,0.0,0.0,0.025942907765088334,0.0,0.0,0.11963178803433026,0.05415259271944695,0.0,0.019723579965879586,0.0284005090497944,0.0568010180995888,0.0,0.0,0.0,0.0284005090497944,0.0,0.02312966765117755,0.0,0.054189413789343555,0.04250780920088637,0.0,0.0,0.027094706894671777,0.0,0.0,0.0,0.0,0.0,0.0,0.041895098182067624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284005090497944,0.05917073989763876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03635524426584006,0.04169596929245348,0.0,0.027094706894671777,0.0,0.0,0.0,0.0,0.02162222969238938,0.0,0.02162222969238938,0.0,0.0,0.0,0.0654055531750901,0.0,0.0,0.0,0.0284005090497944,0.24912588334528044,0.023980551037923407,0.0,0.0,0.08990369082718104,0.0,0.01720227168051839,0.0,0.0,0.0,0.0284005090497944,0.031904380833958586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987158776957471,0.0,0.0,0.02234693081208942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08379019636413525,0.0,0.0,0.016351388293772525,0.20157964596702355,0.0353143808977903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031904380833958586,0.0,0.018134308977123023,0.0,0.0,0.0,0.0,0.0,0.0474305049334173,0.0,0.0,0.05557280403880097,0.0,0.0,0.10898056018279081,0.034068088859154015,0.026474464874048316,0.012661831774840628,0.019164628407683314,0.0,0.03798549532452188,0.056677078934515165,0.012945300608474567,0.0,0.029907947008582566,0.0,0.014169269733628791,0.025890601216949135,0.015952190416979293,0.0,0.0,0.0,0.028338539467257583,0.0,0.0,0.0,0.0,0.10377163106035334,0.0,0.0,0.029907947008582566,0.25942907765088336,0.0,0.0,0.06527346654894076,0.0,0.0,0.05557280403880097,0.0,0.0,0.0,0.0,0.0,0.016767578338202912,0.0,0.014169269733628791,0.0,0.0,0.04796110207584681,0.0706287617955806,0.0,0.0568010180995888,0.12568529454620286,0.0,0.0,0.0,0.0,0.0,0.0,0.1341523988537832,0.023980551037923407,0.0,0.0,0.0,0.0,0.07782872329526501,0.0,0.06704079243626826,0.0284005090497944,0.0,0.0,0.0,0.0,0.05188581553017667,0.03944715993175917,0.052971571346685446,0.024912588334528047,0.0,0.016767578338202912,0.0,0.019723579965879586,0.20947549091033812,0.0467059543640532,0.0,0.0,0.0,0.0,0.0,0.06707031335281165,0.04796110207584681,0.029907947008582566,0.0,0.0,0.0,0.0,0.0,0.0,0.016767578338202912,0.0,0.0,0.0,0.0,0.12971453882544168,0.14953973504291282,0.0,0.0,0.0,0.0,0.0,0.0,0.02234693081208942,0.027697236767318736,0.0,0.1422915148002519,0.0,0.0,0.0,0.01765719044889515,0.0,0.0,0.0,0.016351388293772525,0.03944715993175917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021297613184550382,0.03715904715083487,0.0,0.0,0.0,0.040632855074533514,0.0,0.0,0.027697236767318736,0.0568010180995888,0.0,0.0,0.0,0.10377163106035334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027094706894671777,0.023980551037923407,0.0,0.02162222969238938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029907947008582566,0.0,0.0,0.0852015271493832,0.0,0.0,0.0,0.0,0.041895098182067624,0.02312966765117755,0.09266062705916911,0.0,0.0,0.0284005090497944,0.029907947008582566,0.0,0.2297538765583515,0.0,0.016767578338202912,0.0353143808977903,0.11078894706927495,0.04250780920088637,0.0,0.013538148179861738,0.07889431986351834,0.03832925681536663,0.052971571346685446,0.025942907765088334,0.0,0.03832925681536663,0.0,0.023980551037923407,0.05981589401716513,0.0,0.02162222969238938,0.0,0.0,0.0,0.0,0.077843257273422,0.0,0.07473776500358414,0.0,0.0,0.023980551037923407,0.0,0.03944715993175917,0.0,0.0,0.0,0.025942907765088334,0.08122528547833119,0.0,0.0,0.0,0.0,0.0,0.0,0.0284005090497944,0.0,0.06704079243626826,0.0761523776404309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03635524426584006,0.04796110207584681,0.0,0.0,0.0,0.0,0.0,0.0568010180995888,0.0,0.02234693081208942,0.03944715993175917,0.0,0.0,0.1794476820514954,0.0,0.07473776500358414,0.0852015271493832,0.0,0.0,0.029907947008582566,0.0474305049334173,0.0,0.0,0.02234693081208942,0.0,0.16256824136803066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024912588334528047,0.02162222969238938,0.06284264727310143,0.0,0.0,0.0,0.02234693081208942,0.0,0.0568010180995888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02312966765117755,0.0,0.029907947008582566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02234693081208942,0.041895098182067624,0.027094706894671777,0.05539447353463747,0.0,0.05188581553017667,0.0,0.07889431986351834,0.033535156676405824,0.054189413789343555,0.0,0.055907716772278036,0.0,0.04785657125093787,0.020947549091033812,0.0,0.018635905590759345,0.0,0.07767180365084742,0.020316427537266757,0.0,0.0155686514546844,0.0,0.0,0.014169269733628791,0.0,0.0,0.025942907765088334,0.13265499637174927,0.06880908672207356,0.025323663549681255,0.0,0.011603612211190169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08938772324835768,0.05030273501460874,0.05188581553017667,0.0,0.029907947008582566,0.0,0.15090820504382624,0.0,0.05981589401716513,0.0,0.0,0.02234693081208942,0.0,0.03635524426584006,0.0,0.027094706894671777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568010180995888,0.0,0.10473774545516906,0.049545396201113166,0.03194641977682557,0.03883590182542371,0.02312966765117755,0.020316427537266757,0.0,0.0,0.029907947008582566,0.05188581553017667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019723579965879586,0.0,0.016767578338202912,0.0,0.040632855074533514,0.0,0.0,0.0568010180995888,0.0,0.0462593353023551,0.0,0.0,0.02312966765117755,0.025942907765088334,0.0,0.0,0.040632855074533514,0.0,0.0,0.11498777044609988,0.024912588334528047,0.06938900295353265,0.08648891876955753,0.0,0.05064732709936251,0.0,0.0,0.0,0.06938900295353265,0.0,0.0,0.018134308977123023,0.0,0.0
