w0,w1,n
con,gusto,1
con,halagos,2
con,inquietud,1
con,ixtah,1
con,la,17
con,las,3
con,liga,1
con,lo,3
con,los,12
con,motivo,1
con,nosotros,8
con,nuestra,2
con,nuestras,2
con,nuestros,1
con,oir,1
con,que,3
con,quien,1
con,quienes,1
con,sacar,1
con,seguridad,2
con,su,12
con,sus,7
con,tardanza,1
con,tizate,1
con,todos,1
con,troncos,1
con,un,4
con,una,2
con,vosotras,1
con,vosotros,2
con,vuestras,1
con,vuestros,1
conache,y,1
concebido,inmediatamente,1
concedeles,buenos,1
concedeles,la,1
concertando,y,1
concha,colorada,1
concha,de,1
conchas,de,1
concluido,,1
condenados,a,1
condenados,por,1
condicion,,2
condicion,de,6
condicion,no,2
condicion,y,1
conducia,al,1
conducia,directamente,1
conducirse,,1
condujo,iqui,1
conejo,,3
conejo,cuando,1
conejo,llevan,1
conejo,por,1
conejo,salio,1
conejo,y,1
conferenciaban,entre,1
conferenciaron,en,1
conferenciaron,sobre,1
confia,en,1
confirieron,los,1
congregados,en,1
congregaron,y,1
conjuntas,de,1
conmuevo,toda,1
conoce,la,1
conoce,tambien,1
conocemos,ahora,1
conocemos,hoy,1
conocemos,la,1
conocemos,lo,1
conocer,,1
conocer,al,1
conocer,ante,1
conocer,el,1
conocer,las,1
conocer,todo,1
conocer,vuestra,1
conocerlo,todo,1
conocian,y,1
conocido,varon,1
conocidos,los,1
conocimiento,de,2
conocimientos,de,1
conozco,vuestras,1
conquista,,1
conquistado,las,1
conquistado,sus,1
conquistaron,,1
conquistaron,los,1
conquisto,y,1
consecuencia,,1
conseguido,que,1
conseguir,que,1
conseguir,una,1
conseguir,y,1
conseguiran,infundirnos,1
consejo,,5
consejo,a,1
consejo,de,3
consejo,en,2
consejo,entre,1
consejo,las,1
consejo,nuevamente,2
consejo,para,1
consejo,toda,1
consejo,todos,4
consejos,a,2
consejos,os,1
consentimiento,para,1
consideracion,ni,1
consignado,primero,1
consigo,al,1
consiguieron,,1
consistencia,,1
consolo,su,1
construccion,de,1
construyeron,,1
construyeron,de,1
construyeron,edificios,1
construyeron,el,1
construyeron,sus,1
construyeron,una,1
consuelo,de,1
consulta,,1
consulta,acerca,1
consulta,los,1
consultado,balarnquitze,1
consultando,entre,1
consultar,acerca,1
consultarlo,entre,1
consultaron,entonces,1
consultaron,entre,1
consuman,,1
consumiera,el,1
consumieron,los,1
consumio,,1
contaban,,2
contaban,como,1
contaban,todo,1
contada,por,1
contadnos,,1
contar,la,3
contar,las,1
contar,los,2
contaremos,ahora,4
contaremos,como,3
contaremos,el,1
contaremos,la,2
contaremos,su,1
contemplaban,con,1
contemplaban,el,1
contemplaban,en,1
contemplaban,huncame,1
contemplaban,todavia,1
contemplad,el,1
contener,el,1
contener,la,2
contenia,,1
contenido,era,1
contentos,,2
contentos,con,1
contentos,se,1
contestando,,1
contestareis,,2
contestaron,,24
contestaron,aquellos,2
contestaron,ellos,1
contestaron,estos,3
contestaron,la,1
contestaron,las,1
contestaron,los,1
contestaron,todos,1
contestaronlos,muchachos,1
contesto,,9
contesto,el,7
contesto,ella,1
contesto,este,1
contesto,ixmucur,1
contesto,la,2
contesto,tohil,1
contesto,zipacna,1
contigo,,1
continuacion,cada,1
continuacion,cogio,1
continuacion,comenzaron,1
continuacion,entraron,2
continuacion,fueron,1
continuacion,interrogo,1
continuacion,les,1
continuacion,regresaron,1
continuacion,se,5
continuacion,vino,1
continuad,vuestro,1
continuado,lo,1
continuamente,para,1
continuaron,su,1
contoneandose,,1
contoneandose,a,1
contra,el,1
contra,la,1
contra,los,2
contra,otros,1
contra,sus,1
contra,vucub,1
contra,vuestros,1
contrariedad,y,1
contuvo,la,1
convencio,a,1
convenidos,para,1
conversacion,,1
conversaran,sobre,1
conversaron,,1
convertia,en,4
convertido,en,1
convertidos,en,1
conviene,,2
conviene,moler,1
conviene,que,3
convirtieron,en,4
convirtieron,estos,1
convirtieron,igualmente,1
copal,ante,2
corazon,,5
corazon,ante,1
corazon,arrancado,1
corazon,cuando,1
corazon,de,17
corazon,del,21
corazon,dentro,1
corazon,el,1
corazon,en,2
corazon,estara,1
corazon,hecho,1
corazon,no,1
corazon,se,1
corazon,sea,1
corazon,y,1
corazones,,11
corazones,a,2
corazones,alla,1
corazones,ardian,1
corazones,cuando,1
corazones,de,4
corazones,desean,1
corazones,estaban,5
corazones,lloraban,1
corazones,os,1
corazones,por,3
corazones,que,1
corazones,se,4
corazones,y,4
cornisa,del,1
corona,y,1
coronas,,1
coronas,y,2
corral,y,1
corre,entre,1
correr,y,1
correrpero,los,1
corresponde,,1
corria,de,1
corria,rapidamente,1
corrian,a,1
corrian,de,1
corrian,persiguiendolo,1
corriendo,inmediatamente,1
corriendo,libremente,1
corrientes,de,1
corrieron,,1
corrieron,a,1
corrieron,al,1
corrio,apresuradamente,1
corrio,uno,1
corro,yo,1
corta,distancia,1
cortaban,las,1
cortadas,como,1
cortadas,por,1
cortado,,1
cortado,con,1
cortado,los,1
cortado,un,1
cortadoras,,1
cortados,,1
cortados,de,1
cortados,y,2
cortando,las,1
cortando,los,1
cortantes,y,1
cortar,,2
cortar,las,2
cortar,para,1
cortarlas,,2
cortarles,la,1
cortaron,la,1
cortas,las,1
cortes,,1
corteza,y,1
corto,la,1
corto,uno,1
cosa,a,1
cosa,alguna,1
cosa,lo,1
cosa,os,1
cosa,que,2
cosa,quereis,1
cosa,roja,1
cosas,,3
cosas,colgadas,1
cosas,cuando,2
cosas,de,1
cosas,hicieron,1
cosas,ocultas,1
cosas,podridas,1
cosas,que,2
cosas,y,1
cosechar,una,1
costa,,1
costa,llamada,1
costado,,1
costado,de,1
costumbre,de,1
costumbres,,1
costumbres,semejantes,1
costura,porque,1
cotorra,vulgarmente,1
cotuha,,9
cotuha,e,2
cotuha,y,2
cotzbalam,y,1
cotzibaha,,1
coyobacoh,,1
coyote,,4
coyote,y,1
creacion,,3
creacion,de,3
creacion,del,1
creacion,sera,1
creacion,y,5
creada,nuestra,2
creada,por,1
creado,,6
creador,,6
creador,al,1
creador,de,1
creador,ni,1
creador,y,19
creadores,de,1
creadores,y,3
creados,,4
creados,en,1
creados,los,2
creados,y,8
crear,nos,1
crear,y,1
crearon,los,1
crecido,en,1
crecieron,la,1
crecieron,las,1
crecimiento,de,2
crecio,el,1
crecio,rapidamente,1
creianlas,tribus,1
creo,el,1
creyeron,que,1
crezcanlos,que,1
criaron,en,1
crias,de,2
criatura,,3
criatura,humana,1
criaturas,,4
criaturas,y,1
criminales,y,1
cristianismo,,1
cruce,de,1
cruz,,1
cuadrupedos,y,2
cual,cayo,1
cual,desaparecio,1
cual,era,1
cual,es,3
cual,fue,1
cual,habia,1
cual,hacia,1
cual,llego,1
cual,no,1
cual,obligaba,1
cual,se,2
cual,solamente,1
cual,termino,1
cual,tuvo,1
cuales,colgaba,1
cuales,eran,3
cuales,le,1
cuales,les,1
cuales,se,2
cuando,,1
cuando,a,1
cuando,abandonaron,1
cuando,abrieron,1
cuando,aclare,2
cuando,aconsejaron,1
cuando,amanece,1
cuando,amaneciera,1
cuando,amanecio,7
cuando,amanezca,3
cuando,aparecieron,3
cuando,aparecio,1
cuando,aquellos,1
cuando,caian,1
cuando,caminaban,2
cuando,cantaron,1
cuando,cayo,1
cuando,celebraron,3
cuando,comenzo,1
cuando,comparecio,1
cuando,conferenciaban,1
cuando,construyeron,1
cuando,contaban,2
cuando,de,2
cuando,dejaron,1
cuando,desaparecieron,1
cuando,designaron,1
cuando,despertaron,1
cuando,el,5
cuando,ella,1
cuando,ellas,1
cuando,ensalzaron,1
cuando,entraron,1
cuando,entro,1
cuando,eran,1
cuando,escuchaban,1
cuando,estaban,2
cuando,este,4
cuando,estemos,1
cuando,estuvieron,2
cuando,fue,5
cuando,fueron,2
cuando,fui,1
cuando,fuisteis,2
cuando,hablaron,5
cuando,hablo,1
cuando,hadan,1
cuando,hicieron,1
cuando,hieda,1
cuando,iba,1
cuando,ibamos,1
cuando,iban,3
cuando,la,4
cuando,las,4
cuando,le,1
cuando,les,4
cuando,llegaban,4
cuando,llegamos,2
cuando,llegaron,30
cuando,llego,5
cuando,llegueis,2
cuando,lo,15
cuando,los,14
cuando,meditaron,1
cuando,miraban,1
cuando,muera,1
cuando,mueren,1
cuando,murieron,2
cuando,murio,1
cuando,nace,1
cuando,nacieron,1
cuando,nacio,1
cuando,nazca,1
cuando,nombraron,1
cuando,nos,2
cuando,ocurrio,1
cuando,ofrecieron,1
cuando,oraban,1
cuando,os,2
cuando,oyeron,3
cuando,pasaron,4
cuando,pedian,1
cuando,pongais,1
cuando,por,2
cuando,pusieron,1
cuando,regresaron,1
cuando,salga,1
cuando,salgo,1
cuando,salieron,1
cuando,salio,1
cuando,se,35
cuando,seco,1
cuando,subian,1
cuando,surgieron,2
cuando,surgio,1
cuando,te,1
cuando,tengais,1
cuando,terminaron,1
cuando,tiraban,1
cuando,trataron,1
cuando,veian,1
cuando,ven,1
cuando,vencierona,1
cuando,venga,1
cuando,vengan,1
cuando,venian,2
cuando,vieron,2
cuando,vinieron,7
cuando,vinimos,1
cuando,vivian,1
cuando,ya,4
cuantiosos,rescates,1
cuanto,a,4
cuanto,acabo,1
cuanto,al,1
cuanto,despertaron,1
cuanto,encontraban,1
cuanto,habia,1
cuanto,la,1
cuanto,yo,1
cuarta,generacion,4
cuarta,vez,2
cuarto,de,1
cuarto,iquibalam,1
cuarto,lugar,1
cuarto,senor,1
cuatro,,1
cuatro,angulos,1
cuatro,animales,1
cuatro,calabazas,1
cuatro,caminos,4
cuatro,casas,2
cuatro,cuando,1
cuatro,de,1
cuatro,eran,1
cuatro,fueron,1
cuatro,grandes,1
cuatro,hombres,2
cuatro,jicaras,3
cuatro,llamados,1
cuatro,los,1
cuatro,mensajeros,2
cuatro,nuestros,1
cuatro,partes,1
cuatro,pies,1
cuatro,puntos,2
cuatro,rincones,3
cuatro,se,1
cuatro,senores,2
cuatro,veces,2
cuatro,y,1
cuatrocientos,caminaban,1
cuatrocientos,muchachos,14
cubierta,la,1
cubierto,de,1
cubiertos,de,1
cubre,este,1
cubren,las,1
cubriendose,cada,1
cubrieron,de,1
cubrio,de,3
cubrio,la,1
cuchillo,de,1
cuchillo,depedernal,1
cuchillos,,1
cuchumacuic,,1
cuchumaquic,,7
cuchumaquic,cuando,1
cuchumaquic,y,1
cuclillas,en,1
cuello,,1
cuello,y,1
cuenta,de,1
cuenta,las,1
cuenta,que,1
cuentan,,2
cuentas,amarillas,1
cuentas,tu,1
cuerda,de,1
cuerda,que,1
cueros,,3
cuerpo,,2
cuerpo,de,1
cuervo,,1
cuestas,,1
cuestas,a,1
cuestas,cuando,1
cuestas,en,1
cuevas,,1
cuha,era,1
cuidaban,de,1
cuidad,de,1
cuidado,con,1
cuidado,de,1
cuidadosamente,,1
cuidando,,1
cul,y,1
culbd,y,1
culebra,,6
culebra,al,1
culebra,que,1
culebra,y,2
culebras,,4
culebras,en,1
culpa,,1
culpa,se,1
cumatz,,1
cumbre,de,4
cumbre,del,2
cumplase,asi,1
cumplian,con,1
cumplian,sus,1
cumplid,vuestro,1
cumplido,nuestra,1
cumplido,seis,1
cumplir,asi,1
cumplirian,su,1
curada,perfectamente,1
curadme,los,1
curadme,primero,1
curamos,los,1
curar,,1
curaron,los,1
custodia,,1
custodia,que,1
custodiar,,1
cux,,2
cuya,apariencia,1
cuya,casa,1
cuya,culpa,1
cuya,figura,1
cuya,figuras,1
cuya,fruta,1
cuya,historia,1
cuya,madre,1
cuyas,miradas,1
cuyas,varas,1
cuyo,contenido,1
cuyo,interior,1
cuyo,nombre,1
cuyo,oficio,1
cuyo,reinado,1
cuyos,corazones,1
cuyos,diversos,1
cuyos,instrumentos,1
cuyos,nombres,4
cuzivan,,1
da,a,1
da,la,1
da,una,1
da,verguenza,1
daba,gusto,1
daba,por,1
daba,vueltas,1
dabais,nuestra,1
daban,cuenta,1
daban,de,1
daban,el,1
dad,a,1
dadme,algo,1
dadme,un,1
dadnos,a,1
dado,,1
dado,alguna,1
dado,el,1
dado,mi,1
dado,por,1
dado,una,1
dador,de,2
dados,a,2
dados,y,1
dadselas,a,1
dales,sus,1
damos,gracias,2
dan,,1
dan,el,1
dan,limosna,1
dan,lo,1
dando,a,1
dando,diente,1
dando,el,1
dando,gritos,2
dando,las,1
dando,muchas,1
dando,saltos,1
dando,vueltas,3
dandole,de,1
dandoles,sus,1
dano,,1
dano,a,1
danos,buena,1
danos,muchos,1
danos,nuestra,1
dar,a,1
dar,cuando,1
dar,de,1
dar,la,1
dar,las,1
dar,muestras,1
dar,parte,2
dar,su,1
dar,verguenza,1
dar,vueltas,1
dare,su,1
dareis,,1
dareis,a,1
dareis,manana,1
dareis,para,1
daremos,,1
daremos,con,1
daremos,dinero,1
daremos,entre,1
daremos,muerte,1
daremos,principio,1
daremos,tu,1
daremos,un,1
daremos,vuestra,3
darle,muerte,1
darle,nada,1
darles,a,2
darles,gracias,1
darles,las,1
darles,muerte,3
darles,su,1
darles,una,1
darnos,muerte,1
darnos,un,1
darse,a,1
darselos,a,1
das,prisa,1
de,,5
de,abejas,1
de,abejorros,1
de,achaclboy,1
de,acompanarlos,1
de,acuerdo,2
de,adornos,1
de,agua,4
de,aguila,1
de,aguilas,1
de,ahalmez,1
de,ahalpuh,1
de,ahau,1
de,ahauquiche,5
de,ahpop,2
de,ahpopachih,1
de,alegria,13
de,alimentarte,1
de,alla,12
de,alli,2
de,amarillo,1
de,andar,1
de,angustia,2
de,animales,3
de,aquel,1
de,aquella,1
de,aquellos,8
de,aqui,2
de,arbol,1
de,arboles,1
de,arcos,1
de,atormentar,1
de,autoridad,1
de,avilix,3
de,avispas,1
de,baba,1
de,balam,1
de,balamacab,3
de,balamquitze,12
de,barranco,1
de,barro,1
de,batena,1
de,batenaba,1
de,beber,1
de,bruces,1
de,buena,1
de,buscar,1
de,buscarlos,1
de,cabracan,3
de,cada,19
de,cadauno,1
de,cal,2
de,caldo,1
de,camazotz,1
de,cantar,1
de,caracol,1
de,carinimac,1
de,castigo,2
de,caucho,1
de,cavec,12
de,cayala,1
de,cerbatana,2
de,chamiabac,1
de,chile,2
de,chipicaculha,1
de,chipilin,3
de,chulimal,1
de,chumilaha,1
de,chuvimiquina,1
de,cielo,1
de,claridad,1
de,colera,1
de,combatientes,1
de,comer,3
de,comerlo,1
de,comerselos,1
de,comida,1
de,como,2
de,conducirse,1
de,conocerlo,1
de,consultarlo,1
de,contener,1
de,contrariedad,1
de,corazon,1
de,corral,1
de,coyote,1
de,crear,1
de,cuando,1
de,cuatro,1
de,culebras,2
de,dar,1
de,darles,2
de,de,1
de,decir,1
de,deleites,1
de,deseo,1
de,despojarlo,1
de,dia,1
de,dieciseis,1
de,dios,3
de,dioses,1
de,distinto,1
de,dividir,1
de,dolor,1
de,dominar,1
de,donde,20
de,dos,2
de,el,2
de,ella,1
de,ellas,1
de,ello,1
de,ellos,17
de,encantamiento,1
de,enganamos,1
de,enterrarlos,1
de,entrar,1
de,entre,4
de,escudos,3
de,esculpir,1
de,ese,2
de,esmeraldas,1
de,espadana,1
de,espanto,2
de,esperar,2
de,esta,29
de,establecer,1
de,estas,2
de,este,8
de,esto,3
de,estos,11
de,estrellas,1
de,existencia,1
de,experiencia,1
de,familias,1
de,flechas,2
de,flores,4
de,formar,1
de,frio,5
de,frutas,2
de,frutos,1
de,fuego,1
de,gales,1
de,gallo,1
de,garza,1
de,gato,1
de,goma,2
de,gracias,1
de,grana,1
de,grandes,2
de,grandeza,1
de,granizo,2
de,gritos,1
de,guerra,1
de,gumarcaah,2
de,haber,3
de,haberse,3
de,hacer,3
de,hacerle,1
de,hambre,1
de,harapos,1
de,hombres,8
de,hombrespeces,1
de,horno,1
de,hueso,4
de,hun,3
de,hunahpu,18
de,hunahpuqoy,1
de,hunbaiz,1
de,hunbatz,4
de,huncame,7
de,hunchouen,1
de,hunhunahpu,16
de,huntoh,1
de,huracan,4
de,igual,1
de,igualar,1
de,ilocab,7
de,inteligencia,2
de,introducirse,1
de,iquibalam,1
de,ir,3
de,ira,1
de,irse,1
de,ixpiacoc,1
de,izmachi,2
de,jocotes,1
de,juego,4
de,jugar,2
de,la,214
de,labranza,2
de,las,82
de,lejos,1
de,leon,2
de,llocab,1
de,lo,6
de,lodo,1
de,los,229
de,maca,1
de,madera,4
de,madrugada,1
de,magia,2
de,mahucutah,3
de,maiz,15
de,mala,1
de,manera,1
de,manifestar,1
de,mantener,1
de,masa,1
de,matar,1
de,matarlos,1
de,matasanos,1
de,medir,1
de,mensajero,1
de,metal,1
de,mi,7
de,miquina,1
de,mis,1
de,moler,4
de,mono,1
de,monos,1
de,monte,5
de,morir,2
de,muchachos,2
de,muchas,3
de,mucho,1
de,muchos,1
de,muelas,1
de,mujer,1
de,nacer,1
de,nance,1
de,nances,1
de,naturaleza,1
de,nihaib,13
de,ninguna,3
de,no,1
de,noche,3
de,nosotros,16
de,nuestra,17
de,nuestras,1
de,nuestro,2
de,nuestros,6
de,nuevo,23
de,ocote,3
de,oirla,1
de,orden,2
de,otro,1
de,pahac,1
de,pajaros,1
de,palo,10
de,papagayo,1
de,parecer,1
de,parte,1
de,paxil,2
de,pedernal,2
de,pelota,16
de,pena,1
de,pensar,1
de,petatayub,1
de,pie,2
de,piedra,3
de,piedras,1
de,pino,2
de,pintar,1
de,pixil,1
de,plata,2
de,pluma,1
de,plumas,1
de,pobreza,1
de,podre,1
de,ponerselas,1
de,poseerlas,1
de,pueblos,2
de,puhuy,1
de,puntapies,1
de,que,17
de,queerna,1
de,quibaha,1
de,quicab,5
de,quiche,1
de,quien,2
de,quienes,1
de,quitarle,1
de,rabinal,5
de,ramas,1
de,raxacaculha,1
de,regreso,1
de,rencor,1
de,repente,1
de,representartes,1
de,reyes,11
de,robles,1
de,rocio,1
de,rodillas,1
de,rojas,1
de,rojo,1
de,ropas,1
de,rostro,1
de,sabrosos,1
de,sacarle,1
de,saliva,1
de,salud,1
de,sangre,5
de,sed,2
de,seguro,1
de,sembrar,1
de,senores,2
de,ser,3
de,seres,1
de,si,1
de,siete,4
de,solo,1
de,su,50
de,sus,56
de,sustentar,2
de,tablas,2
de,tal,1
de,tamano,1
de,tamub,12
de,tapar,1
de,tecpan,1
de,tecum,1
de,temor,1
de,tentacion,1
de,terror,1
de,tierra,2
de,tigre,4
de,tigres,3
de,tirar,1
de,tocar,1
de,toda,2
de,todas,7
de,todo,5
de,todos,16
de,tohil,14
de,tohu,1
de,tormento,2
de,tres,1
de,tristeza,3
de,tu,3
de,tuhalaha,1
de,tuhalha,1
de,tulan,3
de,tulanzuiva,2
de,tziquinaha,6
de,tzite,2
de,un,27
de,una,15
de,uno,1
de,uocab,1
de,uvila,1
de,vagabundos,1
de,valentia,1
de,varon,1
de,veinticuatro,1
de,venado,1
de,vencer,2
de,vencerlos,1
de,ver,4
de,veras,7
de,verdad,3
de,vivo,1
de,vosotras,1
de,vosotros,4
de,vuc,1
de,vucamag,1
de,vucub,1
de,vucubcame,2
de,vucubcaquix,17
de,vucubhunahpu,1
de,vuestra,8
de,vuestro,6
de,vuestros,2
de,xelahuh,1
de,xibalba,97
de,xibalbaeste,1
de,xic,1
de,xoyabah,1
de,zaccabaha,1
de,zaculeu,2
de,zapotes,1
de,zaquic,1
de,zipacna,5
de,ziyaha,1
de,zotzu,1
debajo,del,2
debe,a,1
debe,ser,2
debeis,decir,1
debeis,sacrificarme,1
debeis,tolerar,1
debeis,tomar,1
debeis,vernos,1
debemos,perecer,1
deben,dar,2
deben,envanecerse,1
deben,ser,2
deber,y,1
debia,aparecer,1
debia,entrar,2
debia,ir,1
debian,hacer,3
debian,ser,1
debo,morir,1
decadencia,de,1
decapitado,,1
decayeron,sus,1
decia,,3
decia,cabracan,1
decia,en,2
decia,vucubcaquix,1
decia,zipacna,3
decian,,8
decian,alla,1
decian,asi,1
decian,cuando,1
decian,despreciando,1
decian,ellos,1
decian,en,2
decian,entre,4
decian,hablando,1
decian,las,1
decian,los,4
decian,mientras,1
decian,todos,2
decid,,2
decidles,cuando,2
decidles,que,1
decima,generacion,2
decimo,de,2
decimocuarta,generacion,1
decimocuarto,de,1
decimotercera,generacion,1
decimotercero,de,1
decir,,2
decir,los,1
decir,su,1
decir,vuestra,1
decirle,a,1
decirlo,su,1
deciros,y,1
decis,,1
decis,y,1
decisiones,y,1
declaracion,,1
declaracion,de,1
declarad,si,1
declarar,la,1
declarar,sus,1
dedicadas,a,1
dedos,lo,1
defensas,,1
defensores,de,1
defieras,,1
dehacerlo,,1
deificados,,1
deis,,1
deis,un,1
dejaban,,1
dejad,hecha,1
dejado,advertidos,1
dejado,de,1
dejado,entre,1
dejado,por,1
dejado,robar,2
dejado,sembradas,1
dejado,y,1
dejamos,,1
dejamos,de,1
dejamos,la,1
dejan,a,1
dejan,ver,1
dejando,a,1
dejando,largas,1
dejandolos,,1
dejandose,vencer,1
dejar,la,1
dejaremos,caer,1
dejaremos,en,2
dejaron,,2
dejaron,algunas,1
dejaron,alla,1
dejaron,asi,1
dejaron,hijos,1
dejaron,sembradas,2
dejaron,sus,2
dejaron,tras,1
dejeis,que,1
dejeis,robar,1
dejes,,1
dejo,balamquitze,1
dejo,caer,1
dejo,la,1
dejo,para,1
del,agua,5
del,aguila,1
del,ahpop,2
del,alba,3
del,amanecer,2
del,anca,1
del,anochecer,1
del,arbol,17
del,asiento,1
del,azadon,1
del,barranco,4
del,bosque,1
del,camino,1
del,campo,3
del,cangrejo,1
del,cantaro,2
del,cerro,1
del,cielo,30
del,consejo,1
del,corazon,5
del,coyote,1
del,creador,1
del,cuchillo,1
del,cuello,1
del,cuerpo,1
del,cux,2
del,desierto,1
del,dia,2
del,dios,13
del,dolor,2
del,edificio,3
del,engrandecimiento,1
del,envoltorio,1
del,frio,2
del,frioy,1
del,fuego,3
del,galel,2
del,gato,1
del,gavilan,1
del,gran,1
del,hogar,1
del,hombre,11
del,hoyo,5
del,hunahpu,1
del,iboy,1
del,jardin,3
del,jicaro,1
del,juego,7
del,leon,3
del,linaje,1
del,lugar,2
del,mar,4
del,monte,6
del,murcielago,1
del,nacimiento,1
del,nombre,1
del,ocote,1
del,odio,1
del,ojo,1
del,olor,1
del,orador,1
del,oriente,4
del,otro,2
del,padre,2
del,palo,1
del,patio,1
del,pecho,2
del,peligro,1
del,poder,3
del,poderio,1
del,pueblo,5
del,puno,1
del,que,2
del,quiche,16
del,quichey,1
del,raton,1
del,reinado,1
del,reino,8
del,rey,10
del,rio,3
del,sapo,1
del,segundo,1
del,senor,9
del,senorio,1
del,sexto,1
del,sitio,1
del,sobaco,1
del,sol,20
del,suelo,1
del,techo,2
del,templo,3
del,tigre,2
del,tzite,1
del,valor,1
del,venado,1
del,vientre,1
delante,de,7
delante,del,4
delante,un,1
deleites,,1
delgadas,y,1
deliberaron,entre,1
delos,rabinaleros,1
delos,senores,1
demas,,2
demas,animales,1
demas,frutos,1
demas,senores,3
demas,tribus,1
demonio,,1
demonios,,2
demonios,me,1
demonios,que,2
demostraban,su,2
demostracion,de,2
den,algo,1
dentro,,2
dentro,de,19
dentro,del,3
dentro,la,1
depedernal,,1
depositar,la,1
derecha,,2
derecha,la,1
derecho,a,1
derecho,al,1
derramarse,la,1
derrame,su,1
derrames,de,1
derribaban,a,1
derribado,en,1
derribando,para,1
derribar,todas,1
derribarlas,,1
derribo,las,1
derrochaban,los,1
derrota,,1
derrota,de,4
derrota,y,2
derrotados,por,1
derrotaron,alla,1
derrotas,dijeron,1
derrumbo,el,1
desalojaron,del,1
desampares,,1
desaparece,la,1
desaparecer,los,1
desapareceran,,1
desaparecian,inmediatamente,1
desaparecido,,1
desaparecieron,,1
desaparecieron,alla,1
desaparecieron,dejando,1
desaparecieron,sus,1
desaparecio,al,1
desaparicion,y,1
desarrollaron,su,1
desarrollo,a,1
desataban,sino,1
desatad,vuestros,1
desataronlos,tres,1
desbarataron,y,1
descansaban,desde,1
descansaron,sus,1
descendencia,,4
descendencia,de,1
descendencia,del,1
descendencia,por,1
descendencia,y,1
descender,a,1
descender,de,1
descendientes,,1
descendientes,que,1
descendieron,de,1
descorazonaron,los,1
describir,el,1
descripcion,y,1
descubierto,,1
descubierto,el,1
descubierto,una,1
descubrieran,sus,1
descubrieron,lo,1
descubrieron,y,1
desde,antier,1
desde,el,10
desde,entonces,4
desde,la,3
desde,lejos,1
desde,lo,2
desde,luego,1
desde,que,1
desde,su,1
deseaban,era,1
deseaban,los,2
deseaban,que,1
deseaban,sus,2
deseabanlo,asi,1
deseais,,1
deseamos,jugar,1
desean,,2
desean,nuestros,1
desean,sus,1
desean,ver,1
desean,verdaderamente,1
deseando,reinar,1
deseando,tener,1
deseas,,1
desenvolverse,,1
desenvolvieron,el,1
deseo,,1
deseo,de,1
deseo,y,1
deseos,,1
deseos,de,2
desesperados,corrian,1
desgracia,,3
desgracia,ni,1
desgracia,para,1
desgraciada,de,1
desgraciada,me,1
desgraciadamente,hubiera,1
desgraciado,de,1
desgraciados,de,3
deshabitados,,1
deshacia,,1
deshechos,los,1
deshicieron,su,1
deshonestidad,,1
deshonra,lo,1
deshonrada,,1
desierto,hablaran,1
designada,asimismo,1
designaron,sus,1
designaron,tambien,1
desmontado,fue,1
desmorono,los,1
desnudado,las,1
desnudaos,ante,1
desocupe,,1
despacharon,a,2
despacharon,cuando,1
despedazaban,a,1
despedazad,a,1
despedazadnos,uno,1
despedazados,por,1
despedazaron,al,1
despedian,el,1
despedian,una,1
despedida,,1
despedida,y,1
despedimos,de,1
despedirnos,,1
despertaron,,1
despertaron,quisieron,1
despide,,1
despidieron,,4
despidieron,de,4
despidieron,y,1
despidieronse,de,1
despidio,a,1
despido,lleno,1
despoblaron,su,1
despojada,de,1
despojado,,1
despojarlo,de,1
despreciando,a,1
despues,,3
despues,a,1
despues,al,1
despues,canto,1
despues,comenzaremos,1
despues,de,10
despues,en,1
despues,fue,1
despues,iban,1
despues,llegaron,1
despues,llego,1
despues,nuestro,1
despues,os,1
despues,por,1
despues,que,2
despues,regaban,1
despues,resucitareis,1
despues,retonaron,1
despues,se,1
despues,sentaron,1
despues,seran,1
despues,te,1
despues,y,1
desquiciaron,la,1
destino,,1
destroza,la,1
destrozadas,las,1
destrozaron,las,2
destruccion,,1
destruccion,de,4
destruccion,y,3
destruida,,1
destruida,su,1
destruidos,,2
destruidos,hunbatz,1
destruidos,segun,1
destruidos,y,2
destruiremos,,1
destruyo,los,1
desvan,de,1
desventurados,,1
detohily,de,1
detras,,2
detras,de,2
detras,ni,2
detulan,,1
detuvieron,,1
detuvieron,aguardando,1
detuvo,,1
detziquinaha,,1
deuna,casa,1
devolverlos,al,1
devoran,a,1
devoraremos,,1
devoro,las,1
devuelvan,enteros,1
devuelvan,este,1
dia,,14
dia,a,2
dia,de,1
dia,dieron,1
dia,en,2
dia,junto,1
dia,las,1
dia,llegaban,1
dia,los,1
dia,se,1
dia,siguiente,2
dia,tambien,1
dia,volvieron,1
dia,y,2
diariamente,,1
dias,,6
dias,beberemos,1
dias,caminaba,1
dias,los,1
dias,para,1
dias,queremos,1
dias,se,4
dias,subia,1
dibujo,del,1
dibujos,pinto,1
dice,,1
dice,ahora,1
dice,el,1
dice,en,1
dice,esto,1
dice,que,1
dice,vuestra,1
dicen,,1
dicen,en,1
dicen,las,1
dicen,los,4
dicen,nuestras,1
dicen,que,2
dicenlos,mensajeros,1
dicho,,3
dicho,a,7
dicho,al,4
dicho,el,1
dicho,los,2
dicho,por,5
dicho,tohil,1
dicho,vuestra,1
diciendo,,3
diciendo,asi,1
diciendo,entre,1
diciendo,toda,1
diciendoles,,1
diciendose,todos,1
dieciseis,mil,1
diecisiete,hombres,2
diente,,1
diente,con,1
dientes,,3
