parte,capit,ent_str_norm,n
1,6,LAVIEJAYELVIEJO,1
1,6,LLAMABASEELVIEJO,1
1,6,LLEVANDOELBRAZODE,1
1,6,NANCE,1
1,6,SACARONLE,1
1,6,SENOR,9
1,6,SENORSONNUESTROSNIETOS,1
1,6,SOCORREDME,1
1,6,TODOESTOSEDEBEAQUEDOSDEMONIOSME,1
1,6,UNGUSANO,1
1,6,VUCUBCAQUIX,20
1,6,YOOS,1
1,6,ZAQUINIMAC,1
1,6,ZAQUINIMATZIIS,1
1,7,ASIDIJERONLOSCUATROCIENTOSMUCHACHOS,1
1,7,BAJA,1
1,7,ELSABIAQUELOQUERIANMATAR,1
1,7,ENTONCESLOSMUCHACHOS,1
1,7,ENTONCESTEOCUPAREMOSMANANA,1
1,7,HASTADONDEVAS,1
1,7,HIEDA,1
1,7,LOSCUATROCIENTOSCAMINABANDESPUESDEHABERCORTADOUNGRANARBOLPARAVIGAMADREDESUCASA,1
1,7,LOSCUATROCIENTOSMUCHACHOS,1
1,7,LUEGODIJERONMANANAVEREMOSYPASADOMANANA,1
1,7,MOTZ,1
1,7,NISIQUIERAUNO,1
1,7,PASADOSESTOSTRESDIAS,1
1,7,PORULTIMOLOS,1
1,7,UNASTRAIANENLABOCALOSCABELLOS,1
1,7,VUCUBCAQUIX,2
1,7,YESTANDOEBRIOSLOSCUATROCIENTOSMUCHACHOS,1
1,7,YLLENOSDEALEGRIADIJERONAHORA,1
1,7,YLUEGO,1
1,7,ZIPACNA,14
1,8,ALLAENELFONDODELBARRANCO,1
1,8,ALPIEDELCERRO,1
1,8,ANTIER,1
1,8,ELCORAZONDELOSDOSJOVENESESTABALLENODERENCORPORQUELOSCUATROCIENTOSMUCHACHOS,1
1,8,HUNAHPU,7
1,8,IXBALANQUE,7
1,8,MEAUAN,2
1,8,NOQUEREMOS,1
1,8,NUNCAMASVOLVIOZIPACNA,1
1,8,PESCADO,1
1,8,PORNADAIRIAMOSACOGERLO,1
1,8,QUISO,1
1,8,SALIOSE,1
1,8,SIGUEPORLAVEGADELRIO,1
1,8,SOLOPORUNPRODIGIO,1
1,8,SOLOTIENES,1
1,8,VENID,1
1,8,VUCUBCAQUIX,1
1,8,YESTOSLEDIJERONPERODEVERAS,1
1,8,ZIPACNA,13
1,9,ACLARE,1
1,9,ACONTINUACIONLESPREGUNTO,1
1,9,AQUIESTOYMOVIENDOLASMONTANAS,1
1,9,ASICOMOLATIERRA,1
1,9,ASILOENCONTRARONLOSMUCHACHOS,1
1,9,ATARONLE,1
1,9,CABRACAN,14
1,9,CHIPICACULHA,1
1,9,COMOOSLLAMAIS,1
1,9,CORAZONDELCIELO,1
1,9,DADME,1
1,9,DIERONLE,1
1,9,DONDELAVISTEIS,1
1,9,ESTAESNUESTRAVOLUNTAD,1
1,9,ESTENUESTROPAJARO,1
1,9,HUNAHPU,8
1,9,HURACAN,3
1,9,IXBALANQUE,8
1,9,LLEVADLE,1
