parte,capit,ord,ent_str,ent_str_norm
1,2,53,Hunahpú-Vuch,HUNAHPUVUCH
1,2,54,Hunahpú-Utiú,HUNAHPUUTIU
1,2,55,Nim-Ac,NIMAC
1,2,56,Nimá Tziís,NIMATZIIS
1,2,57,Señor de la esmeralda,SENORDELAESMERALDA
1,2,58,Señor de los hermosos platos,SENORDELOSHERMOSOSPLATOS
1,2,59,Señor de la verde jicara,SENORDELAVERDEJICARA
1,2,60,Toltecat,TOLTECAT
1,2,61,Echad,ECHAD
1,2,62,tzité Hágase,TZITEHAGASE
1,2,63,Así les fue dicho a los adivinos,ASILESFUEDICHOALOSADIVINOS
1,2,64,A continuación vino la adivinación,ACONTINUACIONVINOLAADIVINACION
1,2,65,—¡Suerte ! ¡ Criatura !,SUERTECRIATURA
1,2,66,tzité,TZITE
1,2,67,Ixpiyacoc Y la vieja,IXPIYACOCYLAVIEJA
1,2,68,Chiracán Ixmucané,CHIRACANIXMUCANE
1,2,69,Juntaos,JUNTAOS
1,2,70,declarad,DECLARAD
1,2,71,Creador y el Formador,CREADORYELFORMADOR
1,2,72,aclare,ACLARE
1,2,73,Corazón del Cielo,CORAZONDELCIELO
1,2,74,Tepeu,TEPEU
1,2,75,Gucumatz !,GUCUMATZ
1,2,76,Buenos,BUENOS
1,2,77,Y al instante,YALINSTANTE
1,2,78,Creador,CREADOR
1,2,79,Formador,FORMADOR
1,2,80,Ya no se acordaban del Corazón del Cielo,YANOSEACORDABANDELCORAZONDELCIELO
1,2,81,Por esta razón,PORESTARAZON
1,2,82,Creador,CREADOR
1,2,83,Formador,FORMADOR
1,3,0,Una inundación,UNAINUNDACION
1,3,1,Corazón del Cielo,CORAZONDELCIELO
1,3,2,De tzité,DETZITE
1,3,3,Creador y el Formador,CREADORYELFORMADOR
1,3,4,Creador y el Formador,CREADORYELFORMADOR
1,3,5,Creador y su Formador,CREADORYSUFORMADOR
1,3,6,Una resina abundante vino del cielo,UNARESINAABUNDANTEVINODELCIELO
1,3,7,El llamado,ELLLAMADO
1,3,8,Xecotcovach,XECOTCOVACH
1,3,9,Camalotz,CAMALOTZ
1,3,10,Cotzbalam,COTZBALAM
1,3,11,El Tucumbalam,ELTUCUMBALAM
1,3,12,Corazón del Cielo,CORAZONDELCIELO
1,3,13,Huracán,HURACAN
1,3,14,Mucho mal nos hacíais,MUCHOMALNOSHACIAIS
1,3,15,holi,HOLI
1,3,16,holi,HOLI
1,3,17,hiqui,HIQUI
1,3,18,Este era el tributo,ESTEERAELTRIBUTO
1,3,19,Moleremos,MOLEREMOS
1,3,22,Y a su vez sus comales,YASUVEZSUSCOMALES
1,3,23,Dolor y sufrimiento nos causabais,DOLORYSUFRIMIENTONOSCAUSABAIS
1,3,24,Nuestra boca y nuestras caras,NUESTRABOCAYNUESTRASCARAS
1,3,26,Las piedras del hogar,LASPIEDRASDELHOGAR
1,3,27,Desesperados,DESESPERADOS
1,3,28,Así fue la ruina de los hombres,ASIFUELARUINADELOSHOMBRES
1,3,29,Dicen,DICEN
1,3,30,Creador y el Formador,CREADORYELFORMADOR
1,4,0,Aún no había sol sin embargo,AUNNOHABIASOLSINEMBARGO
1,4,1,Vucub-Caquix,VUCUBCAQUIX
1,4,2,Y decía,YDECIA
