term_str,token_str,stop,vnorm
haciendo,haciendo,True,27.53676
existen,existen,True,31.643087
llevan,llevan,False,34.712864
provemos,Provemos,False,0.0
olvidéis,olvidéis,False,18.648426
cejas,cejas,False,32.856655
aparezca,aparezca,False,22.504168
séptimo,séptimo,False,20.549314
oírlas,oírlas,False,21.483892
recogiéndolas,recogiéndolas,False,0.0
merecerla,merecerla,False,21.374807
soportaba,soportaba,False,22.589666
atended,atended,False,0.0
lxtoh,lxtoh,False,0.0
buhos,Buhos,False,10.273948
oigo,oigo,False,27.171492
apretadme,apretadme,False,0.0
sra,Sra,False,31.65562
hacerle,hacerle,False,28.940266
advertencias,advertencias,False,23.111713
blanca,blanca,False,24.704185
mundo,mundo,False,36.81446
vinimos,vinimos,False,20.923117
admiración,admiración,False,25.174198
diciéndoles,diciéndoles,False,16.759562
bajada,bajada,False,28.26526
junto,junto,True,29.917961
engañarlos,engañarlos,False,21.442776
bajaron,bajaron,False,32.917645
profetas,profetas,False,25.993656
han,han,True,92.118996
sacó,sacó,False,38.26753
esto,Esto,True,42.859966
acausa,acausa,False,0.0
arrancó,arrancó,False,21.000565
invocad,Invocad,False,0.0
naciones,naciones,False,38.978863
quedó,quedó,True,40.906586
puedo,puedo,True,42.59862
ardiendo,ardiendo,False,23.863005
correr,correr,False,26.639112
consultarlo,consultarlo,False,22.799814
aguacero,aguacero,False,21.569017
estas,estas,True,43.52887
rojos,rojos,False,29.925137
ordenadamente,ordenadamente,False,21.982111
derramarse,derramarse,False,21.20338
encuentren,encuentren,False,25.893093
completaron,completaron,False,23.484262
decían,decían,False,26.62883
traeremos,traeremos,False,26.144821
enseguida,enseguida,True,14.889251
certeza,certeza,False,21.587624
perecían,perecían,False,23.149412
reinos,reinos,False,36.12578
caminamos,caminamos,False,26.65575
es,es,True,86.37725
de,de,True,60.041386
vienes,vienes,False,23.65492
jugaron,jugaron,False,32.736893
colocaron,colocaron,False,28.725595
tablas,tablas,False,28.038063
vecinas,vecinas,False,25.383692
pudiesen,pudiesen,False,28.76646
xebalax,Xebalax,False,0.0
zarzas,zarzas,False,22.455517
quema,Quema,False,22.566229
barrios,barrios,False,33.416885
virtud,virtud,False,24.429686
fundador,Fundador,False,24.393568
parados,parados,False,31.683659
caracol,caracol,False,19.644209
imperio,imperio,False,30.547474
amarillo,amarillo,False,18.516985
fuego,Fuego,False,30.780672
probad,Probad,False,17.862728
enemigos,Enemigos,False,21.61963
símbolo,símbolo,False,24.821394
tentación,tentación,False,25.826149
existieron,existieron,False,26.01463
horizonte,horizonte,False,20.07924
gusano,gusano,False,24.074245
terminado,terminado,False,22.380001
valor,valor,False,41.61897
subida,subida,False,30.350718
devoró,devoró,False,18.948376
llevadle,Llevadle,False,0.0
pedro,Pedro,False,36.147305
dolores,dolores,False,31.844147
y,y,True,43.300953
alimentan,alimentan,False,27.528738
prisioneros,prisioneros,False,22.038551
corta,corta,False,27.903498
alta,alta,False,44.95477
podre,podre,False,34.32265
alguaciles,alguaciles,False,17.582434
mil,mil,False,64.915886
lloraban,Lloraban,False,0.0
grana,grana,False,26.133488
digan,digan,False,25.906437
aparecían,aparecían,False,26.74349
sostén,sostén,False,20.402794
respeto,respeto,False,30.539553
destrucción,destrucción,False,26.837988
admirables,admirables,False,21.04307
menean,menean,False,17.78471
ii,II,False,84.81286
señoras,Señoras,False,23.700968
buhos,buhos,False,14.98688
patas,patas,False,35.637253
puertas,puertas,False,28.598675
pino,pino,False,34.036377
levantó,levantó,False,24.100428
colguemos,colguemos,False,19.984497
fosos,fosos,False,34.27528
saben,saben,True,31.569885
h,h,False,71.0196
robar,robar,False,36.256935
miraban,Miraban,False,30.644363
rabinal,Rabinal,False,17.403343
mordidos,mordidos,False,22.944283
anda,Anda,False,20.826008
encuentro,encuentro,False,22.805964
volvieron,volvieron,False,30.474403
formación,formación,False,37.09418
quede,quede,False,37.096416
formador,Formador,False,23.614151
concertando,concertando,False,20.550985
calavera,calavera,False,17.18695
seguir,seguir,False,41.53935
dirigió,dirigió,False,27.948227
